"Layer 1","MSE","User Time","CPU Time","Reutilized"
33,0.192624806969683,0.09,0,0
34,0.363260052112047,0.08,0,0
35,0.212724899973787,0.11,0,0
36,0.200306608870001,0.06,0.04,0
37,0.130335007162315,0.09,0.02,0
38,0.242725596315729,0.08,0.02,0
39,0.405748443507516,0.1,0.03,0
40,0.282416099086539,0.1,0.02,0
41,0.268896071137878,0.09,0.01,0
42,0.198853785190577,0.08,0.04,0
43,0.712857436508132,0.09,0.03,0
