"","Layer.1","Layer.2","Layer.3","Layer.4","MSE","User.Time","CPU.Time","Reutilized"
"4835",18,20,16,19,0.165107998497278,0.0499999999999972,0,0
"469",15,19,20,24,0.16511159416218,0.0599999999999996,0,0
"10402",22,17,19,19,0.165113392698241,0.0499999999999972,0,0
"10403",22,16,25,24,0.165114321236292,0.0800000000000125,0,0
"470",15,24,24,25,0.165132064560242,0.0700000000000003,0,0
"471",15,17,23,24,0.165142124856149,0.0600000000000001,0,0
"4836",18,15,23,16,0.165143591412154,0.0499999999999972,0,0
"10404",22,24,19,16,0.165149603598924,0.0799999999999983,0,0
"1761",16,22,21,20,0.16515191199127,0.0299999999999976,0,0
"7716",20,23,23,17,0.165153774909712,0.0699999999999932,0,0
"472",15,23,17,24,0.165154204792806,0.0600000000000005,0,0
"12086",23,22,22,16,0.165159413962514,0.039999999999992,0,0
"3403",17,25,21,19,0.16516581781839,0.0700000000000003,0,0
"3404",17,19,23,17,0.165171312898628,0.0599999999999987,0,0
"14886",25,17,23,NA,0.165171715132856,0.0700000000000003,0,0
"473",15,19,15,20,0.165177696019446,0.0700000000000003,0,0
"3405",17,16,25,20,0.165182379391602,0.0700000000000003,0,0
"9134",21,17,24,24,0.165182478920785,0.0599999999999881,0,0
"14887",25,18,18,25,0.165188576928902,0.0699999999999932,0,0
"14888",25,15,19,25,0.165189977893766,0.039999999999992,0,0
"6363",19,22,15,24,0.165195070158176,0.0600000000000023,0,0
"6364",19,24,15,15,0.16519847368722,0.0399999999999991,0,0
"6365",19,21,25,16,0.16520498151634,0.0499999999999972,0,0
"3406",17,20,23,24,0.165210432409862,0.0799999999999983,0,0
"9135",21,16,24,18,0.165214222626352,0.0400000000000063,0,0
"1762",16,16,19,15,0.165215535407951,0.0399999999999991,0,0
"474",15,24,17,25,0.165215550843197,0.0800000000000001,0,0
"14889",25,21,16,25,0.165217096359346,0.0600000000000023,0,0
"4837",18,23,25,19,0.165218584040081,0.0899999999999963,0,0
"475",15,18,22,22,0.165218692624906,0.0800000000000001,0,0
"4838",18,24,17,20,0.165224203877791,0.0600000000000023,0,0
"14890",25,23,15,15,0.165225140834535,0.0699999999999932,0,0
"13472",24,21,16,18,0.165229247891067,0.0599999999999881,0,0
"3407",17,18,22,23,0.165235738566103,0.0599999999999987,0,0
"476",15,25,16,16,0.165236116482244,0.0299999999999994,0,0
"477",15,25,24,20,0.165238119427172,0.0800000000000001,0,0
"478",15,19,16,19,0.165238963352805,0.0299999999999994,0,0
"479",15,23,24,25,0.165250062135869,0.0800000000000001,0,0
"3408",17,15,19,22,0.165252358003614,0.0700000000000003,0,0
"1763",16,18,24,25,0.165259228251072,0.0599999999999987,0,0
"480",15,21,16,18,0.165272897224175,0.0599999999999996,0,0
"1764",16,18,17,23,0.165273216048648,0.0800000000000001,0,0
"1765",16,23,22,23,0.165274642143012,0.0800000000000018,0,0
"6366",19,15,21,24,0.165274968171236,0.0700000000000003,0,0
"481",15,19,18,23,0.165275851794079,0.0300000000000002,0,0
"482",15,17,17,18,0.165280654805715,0.0299999999999998,0,0
"12087",23,24,23,18,0.165288265851225,0.0600000000000023,0,0
"14891",25,19,19,21,0.165292404351097,0.0799999999999841,0,0
"13473",24,24,21,20,0.165293810168005,0.0900000000000034,0,0
"12088",23,25,18,22,0.165304403769001,0.0900000000000034,0,0
"14892",25,15,23,17,0.165304836074846,0.0599999999999881,0,0
"12089",23,19,22,21,0.165306716693905,0.0799999999999983,0,0
