"Layer 1","Layer 2","Layer 3","Layer 4","MSE","User Time","CPU Time","Reutilized"
26,26,26,26,0.0801105071734795,0.15,0.01,0
26,26,26,27,0.0998080685872157,0.16,0.02,0
26,26,26,28,0.0521414890354463,0.17,0.01,0
26,26,26,29,0.0589678388944653,0.16,0.01,0
26,26,26,30,0.0735400434704988,0.18,0,0
26,26,26,31,0.0489329839156181,0.16,0.02,0
26,26,26,32,0.0927367613878764,0.15,0.03,0
26,26,26,33,0.0910275655870338,0.17,0.02,0
26,26,26,34,0.119237764545777,0.18,0,0
26,26,26,35,0.130783402175386,0.17,0.03,0
26,26,26,36,0.0528929249946428,0.14,0.05,0
26,26,27,26,0.117833304078876,0.16,0,0
26,26,27,27,0.0832293244598027,0.15,0,0
26,26,27,28,0.0764695604056822,0.17,0,0
26,26,27,29,0.0768548804638833,0.19,0,0
26,26,27,30,0.0681197718766808,0.15,0,0
26,26,27,31,0.100809965997773,0.14,0,0
26,26,27,32,0.0927440166917364,0.18,0,0
26,26,27,33,0.0983530550120354,0.17,0,0
26,26,27,34,0.0975260301002208,0.17,0,0
26,26,27,35,0.0776207091261192,0.17,0,0
26,26,27,36,0.0605534461836844,0.17,0,0
26,26,28,26,0.0558232495695531,0.17,0,0
26,26,28,27,0.0768480738824936,0.18,0,0
26,26,28,28,0.0993034705509672,0.17,0,0
26,26,28,29,0.064114859028163,0.18,0,0
26,26,28,30,0.147085418961565,0.18,0,0
26,26,28,31,0.0980546880738277,0.16,0,0
26,26,28,32,0.0888077179886454,0.16,0,0
26,26,28,33,0.0865619042580899,0.16,0,0
26,26,28,34,0.0949482678600874,0.19,0,0
26,26,28,35,0.0501758525807206,0.16,0,0
26,26,28,36,0.0679514158826649,0.17,0,0
26,26,29,26,0.0881420588623265,0.17,0,0
26,26,29,27,0.0690277009306951,0.19,0,0
26,26,29,28,0.0892772620585273,0.14,0,0
26,26,29,29,0.0755771734270067,0.17,0,0
26,26,29,30,0.0716209366381378,0.15,0,0
26,26,29,31,0.107316539630634,0.16,0,0
26,26,29,32,0.083817280577512,0.17,0,0
26,26,29,33,0.0684034550767424,0.19,0,0
26,26,29,34,0.0928742156234149,0.19,0,0
26,26,29,35,0.0838675917165147,0.19,0,0
26,26,29,36,0.0804731358930999,0.17,0,0
26,26,30,26,0.0742640270432023,0.12,0.02,0
26,26,30,27,0.0600537298486563,0.17,0,0
