"Layer 1","Layer 2","Layer 3","Layer 4","MSE","User Time","CPU Time","Reutilized"
1,1,1,1,0.0985200906109893,0.00999999999999998,0,0
1,1,1,2,0.0985183139208513,0.02,0,0
1,1,1,3,0.163479673405476,0.03,0,0
1,1,1,4,0.0981094400980553,0.02,0,0
1,1,1,5,0.168752426766406,0.03,0,0
1,1,1,6,0.0977422894550313,0,0,0
1,1,1,7,0.0969105827161069,0.00999999999999998,0,0
1,1,1,8,0.0977674727876593,0.02,0,0
1,1,1,9,0.0980017288507587,0.02,0,0
1,1,1,10,0.0975111399927327,0.02,0,0
1,1,2,1,0.0981845872468721,0,0.01,0
1,1,2,2,0.0981290562384652,0.02,0,0
1,1,2,3,0.0979559302466821,0.01,0,0
1,1,2,4,0.0982765247180545,0,0,0
1,1,2,5,0.0975299137090015,0.02,0,0
1,1,2,6,0.0979851871100057,0,0,0
1,1,2,7,0.0972425855187185,0.02,0,0
1,1,2,8,0.0979882668051545,0.02,0,0
1,1,2,9,0.0980521624704975,0.02,0,0
1,1,2,10,0.210798995074625,0.02,0,0
1,1,3,1,0.0981269588035505,0.02,0,0
1,1,3,2,0.0979991861324492,0.02,0,0
1,1,3,3,0.098053943485933,0.02,0,0
1,1,3,4,0.097937498751543,0,0,0
1,1,3,5,0.0980912855966128,0,0,0
1,1,3,6,0.0979517671870362,0,0,0
1,1,3,7,0.0974004882909171,0,0,0
1,1,3,8,0.0984317404780885,0.00999999999999995,0,0
1,1,3,9,0.0988256795503605,0,0,0
1,1,3,10,0.0981535848080382,0.02,0,0
1,1,4,1,0.0982258599103497,0,0,0
1,1,4,2,0.0979772976742382,0.02,0,0
1,1,4,3,0.0984895996550636,0,0,0
1,1,4,4,0.0981553141381325,0,0,0
1,1,4,5,0.0977429862149725,0,0,0
1,1,4,6,0.0982525420162164,0.00999999999999995,0,0
1,1,4,7,0.0984301801960482,0.02,0,0
1,1,4,8,0.0966869514875166,0.02,0,0
1,1,4,9,0.098407389041461,0,0,0
1,1,4,10,0.0987983122924003,0,0,0
1,1,5,1,0.0983371771422425,0,0,0
1,1,5,2,0.0979286489473515,0.00999999999999995,0,0
1,1,5,3,0.0982205628122612,0.02,0,0
1,1,5,4,0.0978784096639002,0.02,0,0
1,1,5,5,0.0980962445636144,0,0,0
1,1,5,6,0.0985861327489369,0.01,0,0
1,1,5,7,0.0984857432597027,0,0,0
1,1,5,8,0.0980173930475418,0,0,0
1,1,5,9,0.0978416405304961,0.00999999999999995,0,0
1,1,5,10,0.0981935133938742,0.01,0,0
1,1,6,1,0.0983865229183614,0,0,0
1,1,6,2,0.0980965174136238,0,0,0
1,1,6,3,0.0982705303527743,0,0,0
1,1,6,4,0.0982383472352515,0,0,0
1,1,6,5,0.0978821254922026,0,0,0
1,1,6,6,0.0983965893235696,0.01,0,0
1,1,6,7,0.175376971938866,0.03,0,0
1,1,6,8,0.0984588481882584,0.01,0,0
1,1,6,9,0.0975716662588837,0,0,0
1,1,6,10,0.0979465655059708,0,0,0
1,1,7,1,0.0980833377694203,0.02,0,0
1,1,7,2,0.0982043521402503,0,0,0
1,1,7,3,0.0976562762833305,0.01,0,0
1,1,7,4,0.098345774921574,0.02,0,0
1,1,7,5,0.0977418424564458,0.03,0,0
1,1,7,6,0.0979440973196292,0,0,0
1,1,7,7,0.0976541590719588,0.02,0,0
1,1,7,8,0.0987212834186307,0,0,0
1,1,7,9,0.0984536011589712,0.01,0,0
1,1,7,10,0.0977903516481802,0,0,0
1,1,8,1,0.0980804322164216,0.01,0,0
1,1,8,2,0.0982415027393434,0.02,0,0
1,1,8,3,0.17174320910132,0,0,0
1,1,8,4,0.0982579296184995,0,0,0
1,1,8,5,0.0984944714308802,0.02,0,0
1,1,8,6,0.0983032903485141,0,0,0
1,1,8,7,0.0984583276030173,0,0,0
1,1,8,8,0.0984353903126233,0.02,0,0
1,1,8,9,0.0983582045169572,0.01,0,0
1,1,8,10,0.0981383669919151,0,0,0
1,1,9,1,0.0984548202249228,0.01,0,0
1,1,9,2,0.0980505173747573,0.0099999999999999,0,0
1,1,9,3,0.098065194326683,0.0099999999999999,0,0
1,1,9,4,0.0979741321035419,0.02,0,0
1,1,9,5,0.0985514177814345,0,0,0
1,1,9,6,0.0981952056865199,0,0,0
1,1,9,7,0.16611370710794,0.02,0,0
1,1,9,8,0.0977485362031715,0.02,0,0
1,1,9,9,0.097834630317168,0,0,0
1,1,9,10,0.0970666218489673,0.01,0,0
1,1,10,1,0.0982625226279163,0.02,0,0
1,1,10,2,0.0983705025980818,0.02,0,0
1,1,10,3,0.0984126678989898,0,0,0
1,1,10,4,0.0982723287051643,0,0,0
1,1,10,5,0.0979728658376583,0,0,0
1,1,10,6,0.0977147626012778,0.02,0,0
1,1,10,7,0.0986036874478041,0,0,0
1,1,10,8,0.0964794092139489,0.02,0,0
1,1,10,9,0.214536379804197,0.04,0,0
1,1,10,10,0.0981491548365974,0.0199999999999999,0,0
1,2,1,1,0.0980475859740453,0,0,0
1,2,1,2,0.097860750193307,0,0,0
1,2,1,3,0.0982726367862076,0,0,0
1,2,1,4,0.0981656824976124,0.01,0,0
1,2,1,5,0.0972284609924291,0.02,0,0
1,2,1,6,0.0959947561292495,0.02,0,0
1,2,1,7,0.0978302942531294,0.01,0,0
1,2,1,8,0.0969696237917552,0,0,0
1,2,1,9,0.0970130295721519,0.02,0,0
1,2,1,10,0.0981031685110017,0.01,0,0
1,2,2,1,0.0981401951943692,0,0,0
1,2,2,2,0.0980184629253508,0,0,0
1,2,2,3,0.0983075339265746,0,0,0
1,2,2,4,0.0980925889673003,0.01,0,0
1,2,2,5,0.0982869722406542,0.02,0,0
1,2,2,6,0.0979364299007473,0,0,0
1,2,2,7,0.0978692200747487,0.02,0,0
1,2,2,8,0.0981074351666869,0,0,0
1,2,2,9,0.098010926917909,0.0199999999999999,0,0
1,2,2,10,0.0975773711785242,0.02,0,0
1,2,3,1,0.0973036688314043,0.01,0,0
1,2,3,2,0.0980648668487962,0,0,0
1,2,3,3,0.097104592729357,0,0,0
1,2,3,4,0.216677464602193,0.02,0,0
1,2,3,5,0.097904981127607,0.02,0,0
1,2,3,6,0.216763220272718,0.02,0,0
1,2,3,7,0.0977200253693934,0.02,0,0
1,2,3,8,0.0981705970620131,0.01,0,0
1,2,3,9,0.215657833082144,0.03,0,0
1,2,3,10,0.215140849503462,0.01,0,0
1,2,4,1,0.098167320624279,0.01,0,0
1,2,4,2,0.0983071934109376,0.01,0,0
1,2,4,3,0.0981755851557466,0,0,0
1,2,4,4,0.0979626296014582,0,0,0
1,2,4,5,0.23193708602568,0.0299999999999999,0,0
1,2,4,6,0.098774461667746,0.0099999999999999,0,0
1,2,4,7,0.165051776783687,0.0099999999999999,0,0
1,2,4,8,0.0981656531271766,0,0,0
1,2,4,9,0.0979015894974954,0.01,0,0
1,2,4,10,0.0972622358737789,0.01,0,0
1,2,5,1,0.164945429853487,0.02,0,0
1,2,5,2,0.0981648265224776,0,0,0
1,2,5,3,0.0983506219578774,0,0,0
1,2,5,4,0.0981989842752676,0.0099999999999999,0,0
1,2,5,5,0.161760912657955,0.0099999999999999,0,0
1,2,5,6,0.172404926504628,0.04,0,0
1,2,5,7,0.169060510831659,0.02,0,0
1,2,5,8,0.0977807945642963,0,0,0
1,2,5,9,0.208275325203655,0.02,0,0
1,2,5,10,0.098117112840563,0.02,0,0
1,2,6,1,0.0982299196723242,0.01,0,0
