"Layer 1","Layer 2","MSE","User Time","CPU Time","Reutilized"
7,7,0.522359755463999,0.00999999999999998,0,0
7,8,0.524697452253397,0.00999999999999998,0,0
7,9,0.378028764310996,0.02,0,0
7,10,0.493942912605702,0.02,0,0
7,11,0.547486090093713,0,0,0
7,12,0.401549097090608,0.03,0,0
7,13,0.377241109602028,0.02,0,0
7,14,0.47976522915848,0.02,0,0
7,15,0.394731014794959,0.00999999999999998,0.01,0
7,16,0.582210617781376,0.00999999999999998,0,0
7,17,0.390625958851645,0.03,0,0
8,7,0.439006176756554,0.02,0,0
8,8,0.405424878839858,0.02,0,0
8,9,0.397099098553894,0.02,0,0
8,10,0.4916443423693,0.02,0,0
8,11,0.52956569338208,0.00999999999999998,0,0
8,12,0.426339348197265,0.02,0,0
8,13,0.476388909300527,0.03,0,0
8,14,0.425994978763173,0.02,0,0
8,15,0.403726149183636,0.01,0,0
8,16,0.382174335857406,0.02,0,0
8,17,0.410255494144478,0.02,0,0
9,7,0.416953607618266,0.02,0,0
9,8,0.407436531383068,0.02,0,0
9,9,0.382368606696885,0.00999999999999995,0,0
9,10,0.431918121206014,0.01,0,0
9,11,0.464146313165328,0.00999999999999995,0,0
9,12,0.394822818154144,0.03,0,0
9,13,0.401532066256969,0.01,0,0
9,14,0.46171984867748,0.02,0,0
9,15,0.559360777788593,0.01,0,0
9,16,0.431761075348947,0.02,0,0
9,17,0.572846010437648,0.03,0,0
10,7,0.474451009082314,0.02,0,0
10,8,0.429206567318849,0.00999999999999995,0,0
10,9,0.438106182972223,0.00999999999999995,0,0
10,10,0.41809452811285,0.01,0,0
10,11,0.46963600218699,0.02,0,0
10,12,0.409692277713647,0.00999999999999995,0,0
10,13,0.400168859326775,0.01,0,0
10,14,0.509613942488474,0.03,0,0
10,15,0.4561791963039,0.02,0,0
10,16,0.565238858680068,0.03,0,0
10,17,0.441189875440988,0.02,0,0
11,7,0.446625385000744,0.02,0,0
11,8,0.393708612892907,0.02,0,0
11,9,0.579823429546455,0.01,0,0
11,10,0.393818150079803,0,0,0
11,11,0.409880463234067,0.02,0,0
11,12,0.471018257869093,0.01,0,0
11,13,0.567988071439716,0.01,0,0
11,14,0.453495978256356,0.02,0,0
11,15,0.455323783499574,0.02,0,0
11,16,0.471955229564182,0.04,0,0
11,17,0.428767879872773,0.02,0,0
12,7,0.38322017498201,0.02,0,0
12,8,0.409561752578544,0.01,0,0
12,9,0.559390238715214,0.02,0,0
12,10,0.416474761678805,0.0099999999999999,0,0
12,11,0.418713009540053,0.01,0,0
12,12,0.400436124272155,0.01,0,0
12,13,0.413618586380267,0.02,0,0
12,14,0.579644101806253,0.02,0,0
12,15,0.407616099642643,0.03,0,0
12,16,0.489652500543335,0.03,0,0
12,17,0.832289687828613,0.03,0,0
13,7,0.47889413185626,0.01,0,0
13,8,0.420812254621389,0.02,0,0
13,9,0.439127265054805,0.02,0,0
13,10,0.403414636874337,0.04,0,0
13,11,0.424555136704267,0.02,0,0
13,12,0.497310031179374,0.03,0,0
13,13,0.532410826001555,0.02,0,0
13,14,0.452511683923357,0.01,0,0
13,15,0.496645345818272,0.0299999999999999,0,0
13,16,0.458669325124312,0.01,0,0
13,17,0.67014329073341,0.02,0,0
14,7,0.50110535092861,0.01,0,0
14,8,0.400057787908962,0.02,0,0
14,9,0.425337977915801,0.03,0,0
14,10,0.407395593325201,0.02,0,0
14,11,0.632719266752074,0.02,0,0
14,12,0.463974122364886,0.01,0,0
14,13,0.382828703268025,0.02,0,0
14,14,0.572233122942275,0.03,0,0
14,15,0.41484564437779,0.0299999999999999,0,0
14,16,0.427565837682024,0.02,0,0
14,17,0.608088513453732,0.03,0,0
15,7,0.590909294439032,0.02,0,0
15,8,0.468021985718331,0.02,0,0
15,9,0.401195296656211,0.03,0,0
15,10,0.549055602100376,0.02,0,0
15,11,0.484679337330105,0.03,0,0
15,12,0.440302799240788,0,0,0
15,13,0.529986166748648,0.02,0,0
15,14,0.436884601410865,0.01,0,0
15,15,0.432950520856627,0.01,0,0
15,16,0.388644138443743,0.02,0,0
15,17,0.4797810229227,0.04,0,0
16,7,0.445751390400376,0.02,0,0
16,8,0.434752291941178,0.01,0,0
16,9,0.562166978489223,0.03,0,0
16,10,0.488493892124935,0.0199999999999999,0,0
16,11,0.47171341837301,0.01,0,0
16,12,0.460864983334317,0.02,0,0
16,13,0.429837336269301,0.03,0,0
16,14,0.486761686027419,0.02,0,0
16,15,0.564606553921181,0.02,0,0
16,16,0.442271117661471,0.01,0,0
16,17,0.473935896410494,0.02,0,0
17,7,0.404990396202186,0.01,0,0
17,8,0.459990531213132,0,0,0
17,9,0.44923913970301,0.0299999999999999,0,0
17,10,0.455239958278262,0.01,0,0
17,11,0.603623515071452,0.02,0,0
17,12,0.401749867326194,0.0099999999999999,0,0
17,13,0.543717542503186,0.01,0,0
17,14,0.553283875962121,0.01,0,0
17,15,0.423370712943024,0.02,0,0
17,16,0.471754247671389,0.01,0,0
17,17,0.461356262385304,0.01,0,0
