"Layer 1","Layer 2","MSE","User Time","CPU Time","Reutilized"
33,33,0.152399563263781,0.1,0.02,0
33,34,0.150545693065412,0.11,0.02,0
33,35,0.210154463398964,0.12,0,0
33,36,0.137262107889952,0.11,0.01,0
33,37,0.111963110530003,0.1,0.03,0
33,38,0.141333981582043,0.11,0.02,0
33,39,0.126037967382423,0.11,0.03,0
33,40,0.194303136785934,0.1,0.03,0
33,41,0.276058700664345,0.08,0.04,0
33,42,0.204628436865875,0.14,0.02,0
33,43,0.163603059705826,0.13,0.01,0
34,33,0.176584578738387,0.13,0,0
34,34,0.161845876586849,0.12,0,0
34,35,0.178456235999192,0.13,0,0
34,36,0.205074246962078,0.11,0,0
34,37,0.101681830020616,0.12,0,0
34,38,0.174041211644072,0.12,0,0
34,39,0.140283493678783,0.14,0,0
34,40,0.144981267703532,0.1,0,0
34,41,0.113988480891186,0.12,0,0
34,42,0.119831009511855,0.11,0.02,0
34,43,0.122454423605877,0.13,0,0
35,33,0.136320575510307,0.11,0,0
35,34,0.134157329525437,0.1,0,0
35,35,0.122964051328814,0.14,0,0
35,36,0.183118656124469,0.13,0,0
35,37,0.142097796550574,0.11,0.01,0
35,38,0.169672125987977,0.12,0,0
35,39,0.125815280678475,0.1,0,0
35,40,0.244030521284166,0.13,0,0
35,41,0.162856472715247,0.16,0.02,0
35,42,0.117446956714383,0.11,0,0
35,43,0.113879190156447,0.16,0,0
36,33,0.12001523836794,0.09,0,0
36,34,0.126003392238041,0.12,0,0
36,35,0.138794192164051,0.12,0,0
36,36,0.111196219882824,0.13,0,0
36,37,0.106720365253161,0.16,0,0
36,38,0.328181398149669,0.14,0,0
36,39,0.210724708988882,0.15,0,0
36,40,0.175848473878292,0.15,0,0
36,41,0.239368133819768,0.15,0,0
36,42,0.130585567159081,0.14,0,0
36,43,0.111907694531576,0.11,0.03,0
37,33,0.291682705507153,0.14,0,0
37,34,0.140786507680486,0.13,0,0
37,35,0.120129592723082,0.14,0,0
37,36,0.272327364111884,0.14,0,0
37,37,0.164602939370198,0.11,0,0
37,38,0.175368360226465,0.14,0,0
37,39,0.255562323411414,0.14,0,0
37,40,0.23492589484831,0.13,0,0
37,41,0.13724101062557,0.15,0.02,0
37,42,0.103400129066902,0.14,0,0
37,43,0.127016219825854,0.14,0,0
38,33,0.102325470220414,0.11,0,0
38,34,0.102967067635585,0.13,0,0
38,35,0.106343372468292,0.14,0,0
38,36,0.118849393513251,0.13,0,0
38,37,0.118107636073264,0.12,0.01,0
38,38,0.396963520046014,0.11,0,0
38,39,0.137780223063443,0.15,0,0
38,40,0.160653148781499,0.13,0,0
38,41,0.140740207563214,0.15,0,0
38,42,0.138500528185594,0.16,0,0
38,43,0.163943761977884,0.13,0,0
39,33,0.15429072459625,0.13,0,0
39,34,0.104048334584818,0.12,0,0
39,35,0.186519327974125,0.11,0,0
39,36,0.137858400881073,0.12,0,0
39,37,0.162609570666189,0.16,0,0
39,38,0.141552303266402,0.11,0,0
39,39,0.100885810344849,0.12,0,0
39,40,0.105161063609393,0.14,0,0
39,41,0.137468885410139,0.11,0,0
39,42,0.186280714088467,0.15,0,0
39,43,0.106904938696975,0.12,0,0
40,33,0.116528915114496,0.13,0,0
40,34,0.144888433429641,0.14,0,0
40,35,0.138282569816791,0.14,0,0
40,36,0.115845523021656,0.12,0,0
40,37,0.124747046527918,0.13,0,0
40,38,0.103807831894138,0.15,0,0
40,39,0.160617704076754,0.14,0,0
40,40,0.213209056950824,0.16,0,0
40,41,0.111606173241634,0.13,0,0
40,42,0.125431313116255,0.16,0,0
40,43,0.15174696125904,0.18,0,0
41,33,0.0896621059147668,0.14,0,0
41,34,0.141069340883831,0.14,0,0
41,35,0.130372363590579,0.14,0,0
41,36,0.113088581669246,0.14,0,0
41,37,0.113767471442689,0.17,0,0
41,38,0.231891973767632,0.17,0,0
41,39,0.22192171768914,0.14,0,0
41,40,0.0985495969736396,0.14,0,0
41,41,0.134461056855097,0.13,0,0
41,42,0.171962704689509,0.14,0,0
41,43,0.112562308667211,0.16,0,0
42,33,0.100748470893091,0.13,0,0
42,34,0.132573431835116,0.16,0,0
42,35,0.134961669655743,0.13,0,0
42,36,0.163389523192869,0.14,0.01,0
42,37,0.182845831623721,0.13,0,0
42,38,0.0983536884647885,0.17,0,0
42,39,0.119073664844529,0.14,0,0
42,40,0.1535224266685,0.14,0,0
42,41,0.127879898013893,0.17,0,0
42,42,0.121262611224509,0.14,0,0
42,43,0.115889193593939,0.1,0.00999999999999998,0
43,33,0.135107219013131,0.12,0,0
43,34,0.0956901441352449,0.14,0,0
43,35,0.151096465254353,0.12,0,0
43,36,0.121808188261661,0.11,0,0
43,37,0.107764541075009,0.14,0,0
43,38,0.121654372013517,0.14,0,0
43,39,0.18456620532573,0.17,0,0
43,40,0.190481076198348,0.13,0,0
43,41,0.197713256261913,0.12,0,0
43,42,0.100861920987391,0.11,0,0
43,43,0.342341111216801,0.12,0,0
