"Layer 1","MSE","User Time","CPU Time","Reutilized"
26,0.35379258371152,0.1,0.03,0
27,0.234523176497415,0.11,0,0
28,0.291595099532029,0.11,0,0
29,0.36392983926631,0.1,0.02,0
30,0.233113025055161,0.12,0,0
31,0.261205921430287,0.08,0.01,0
32,0.300838294700234,0.09,0.03,0
33,0.494624912986285,0.11,0,0
34,0.297532122607809,0.1,0.03,0
35,0.233460913742831,0.1,0,0
36,0.190759358425052,0.11,0.01,0
