"Layer 1","Layer 2","MSE","User Time","CPU Time","Reutilized"
13,13,0.255466507821149,0.03,0,0
13,14,0.197038095072591,0.02,0.01,0
13,15,0.0745299615245475,0,0.02,0
13,16,0.241359671809269,0.03,0,0
13,17,0.0899324562548115,0.03,0,0
13,18,0.0751640795816141,0.03,0,0
13,19,0.137358089323226,0.02,0,0
13,20,0.286802047474374,0.03,0,0
13,21,0.11185286151699,0.03,0,0
13,22,0.0980544122397565,0.03,0,0
13,23,0.296016305536539,0.05,0,0
14,13,0.208583171312992,0,0,0
14,14,0.105799582218349,0,0,0
14,15,0.0567066752450983,0.01,0,0
14,16,0.0609592031112988,0.02,0,0
14,17,0.211139570109465,0.03,0,0
14,18,0.0767463705179581,0.03,0,0
14,19,0.194693860667182,0.02,0,0
14,20,0.121773436807392,0.01,0,0
14,21,0.0849756534534827,0.02,0,0
14,22,0.212982682062075,0.00999999999999995,0,0
14,23,0.498222572742767,0.03,0,0
15,13,0.0964715646222413,0.03,0,0
15,14,0.0444000252715208,0.00999999999999995,0,0
15,15,0.139421798359772,0.02,0,0
15,16,0.0678236650304774,0.03,0,0
15,17,0.0829972221336342,0.03,0,0
15,18,0.0660365720176098,0.03,0,0
15,19,0.386683344221316,0.04,0,0
15,20,0.0592736132253106,0.03,0,0
15,21,0.157236197709058,0.05,0,0
15,22,0.0561176674763476,0.03,0,0
15,23,0.083896402280152,0.03,0,0
16,13,0.264194701764303,0.04,0,0
16,14,0.0590285331745605,0.03,0,0
16,15,0.0302853455794557,0,0,0
16,16,0.109623702490008,0.03,0,0
16,17,0.103253651328607,0.03,0,0
16,18,0.194852713165851,0.03,0,0
16,19,0.157287510748415,0.03,0,0
16,20,0.0754111776119816,0.02,0,0
16,21,0.0949104352797606,0.00999999999999995,0,0
16,22,0.114295325233969,0.04,0,0
16,23,0.132364158499129,0.03,0,0
17,13,0.0418665731460165,0.01,0,0
17,14,0.106644079920487,0.03,0,0
17,15,0.142748188381024,0.03,0,0
17,16,0.148126607769857,0.02,0,0
17,17,0.0581721819151996,0.02,0,0
17,18,0.13631829001034,0,0,0
17,19,0.078261639317004,0.02,0,0
17,20,0.0454999201211918,0.04,0,0
17,21,0.148283969383175,0.03,0,0
17,22,0.120790769085547,0.02,0.01,0
17,23,0.0730222974366589,0.02,0,0
18,13,0.0634654265692956,0.02,0,0
18,14,0.0390050922847749,0.02,0,0
18,15,0.243548056527785,0.03,0,0
18,16,0.132215995691315,0.02,0,0
18,17,0.119659413753688,0.02,0,0
18,18,0.106396430279934,0.03,0,0
18,19,0.0853290992664056,0.03,0,0
18,20,0.139608233530134,0.03,0,0
18,21,0.223039835850107,0.04,0,0
18,22,0.0725659040344794,0.03,0,0
18,23,0.104783334812548,0.03,0,0
19,13,0.12674327217701,0.03,0,0
19,14,0.0566629729417213,0.0299999999999999,0,0
19,15,0.0599110299605969,0.03,0,0
19,16,0.120315477162029,0.01,0,0
19,17,0.0745622833948846,0.01,0,0
19,18,0.126116210909915,0.03,0,0
19,19,0.0834815152159085,0.01,0,0
19,20,0.0973382404812603,0.02,0,0
19,21,0.237115355199395,0.0299999999999999,0,0
19,22,0.126644434264997,0.01,0,0
19,23,0.267599654075913,0.04,0,0
20,13,0.0827938465673835,0.03,0,0
20,14,0.166033798718383,0.02,0,0
20,15,0.0433243565346199,0.0099999999999999,0,0
20,16,0.0857917608258176,0.01,0,0
20,17,0.198829941110686,0.03,0,0
20,18,0.106805761713184,0.01,0,0
20,19,0.108028864771512,0.03,0,0
20,20,0.174420270553372,0.03,0,0
20,21,0.678977205225967,0.03,0,0
20,22,0.232804126523294,0.04,0,0
20,23,0.0577202146321476,0.0299999999999999,0,0
21,13,0.0917559023171556,0.03,0,0
21,14,0.080680682438437,0.03,0,0
21,15,0.138358650169853,0.02,0,0
21,16,0.124320591588965,0.02,0,0
21,17,0.0746699160534671,0.03,0,0
21,18,0.158787830706008,0.03,0,0
21,19,0.101819451810799,0.03,0,0
21,20,0.12221052994341,0.02,0,0
21,21,0.133070717624896,0.03,0,0
21,22,0.200635552615594,0.04,0,0
21,23,0.16767835569943,0.03,0,0
22,13,0.058020584825545,0.02,0,0
22,14,0.076730559480214,0.0199999999999999,0,0
22,15,0.122959159721082,0.0199999999999999,0,0
22,16,0.149118136346246,0.03,0,0
22,17,0.0970868002878644,0.0299999999999999,0,0
22,18,0.225101384948027,0.03,0,0
22,19,0.0699936016102274,0.0299999999999999,0,0
22,20,0.13807465434804,0.04,0,0
22,21,0.289488560334969,0.04,0,0
22,22,0.120706015465005,0.03,0,0
22,23,0.117488688649083,0.03,0,0
23,13,0.0786576679558333,0.02,0,0
23,14,0.149973633907495,0.0299999999999999,0,0
23,15,0.0313613308194589,0.04,0,0
23,16,0.090917899352602,0.03,0,0
23,17,0.274838473203333,0.02,0,0
23,18,0.119147994308148,0.02,0,0
23,19,0.116017400585128,0.03,0,0
23,20,0.10240009576896,0.04,0,0
23,21,0.0510075328984703,0.02,0,0
23,22,0.220511014218709,0,0,0
23,23,0.178253966776484,0.01,0,0
