"","Layer.1","Layer.2","Layer.3","Layer.4","MSE","User.Time","CPU.Time","Reutilized"
"7321",38,36,34,41,0.0794449482518499,0.29000000000002,0,0
"7322",38,41,35,42,0.0801727847709471,0.310000000000002,0,0
"7323",38,36,37,43,0.0806193824378645,0.310000000000002,0,0
"14641",43,35,36,33,0.08085674912779,0.340000000000032,0,0
"7324",38,42,43,33,0.0812031520388917,0.340000000000003,0,0
"5857",37,35,41,35,0.0815416538205835,0.289999999999992,0,0
"7325",38,38,37,NA,0.0816431652337917,0.25,0,0
"11713",41,43,41,40,0.0816492943784266,0.399999999999977,0,0
"10249",40,38,43,33,0.0816553168026149,0.360000000000014,0,0
"8785",39,41,36,42,0.0817161651516818,0.340000000000032,0,0
"14642",43,37,42,39,0.0822214057703809,0.360000000000014,0,0
"5858",37,33,43,42,0.0823641482119275,0.360000000000014,0,0
"11714",41,39,36,43,0.0824227946148254,0.419999999999959,0,0
"7326",38,37,39,42,0.0824473685943604,0.310000000000002,0,0
"7327",38,41,40,43,0.0826156904083385,0.349999999999994,0,0
"11715",41,34,36,35,0.0827287354792734,0.299999999999955,0,0
"14643",43,42,34,NA,0.0827300035179768,0.23,0,0
"14644",43,39,35,33,0.0827383264431635,0.329999999999984,0,0
"2929",35,41,37,39,0.082777098785397,0.319999999999993,0,0
"7328",38,41,41,NA,0.0828033732289263,0.24,0,0
"1",33,34,42,38,0.0829428024053316,0.3,0,0
"7329",38,41,33,42,0.0829922725033808,0.319999999999993,0,0
"5859",37,35,33,43,0.0831887827588881,0.25,0,0
"8786",39,33,37,42,0.0832180727293531,0.310000000000002,0,0
"13177",42,41,33,43,0.0832746547298836,0.360000000000014,0,0
"14645",43,33,41,NA,0.0835070860962538,0.220000000000002,0,0
"8787",39,36,38,38,0.0837217904281776,0.319999999999993,0,0
"13178",42,37,40,39,0.0838113721164526,0.329999999999984,0,0
"4393",36,39,43,42,0.0839462997289757,0.400000000000006,0,0
"14646",43,40,36,35,0.083949714987143,0.370000000000005,0,0
"1465",34,37,39,39,0.0839551058240247,0.280000000000001,0,0
"5860",37,33,35,NA,0.0840621604549587,0.209999999999999,0,0
"7330",38,35,33,33,0.0840793590440114,0.25,0,0
"2930",35,40,37,NA,0.084165468939039,0.220000000000001,0,0
"14647",43,38,41,41,0.0842079570943328,0.439999999999998,0,0
"11716",41,35,33,40,0.0842504954569358,0.269999999999982,0,0
"7331",38,40,33,35,0.0843021306421046,0.300000000000011,0,0
"7332",38,42,40,41,0.0843796268066081,0.359999999999985,0,0
"5861",37,42,34,40,0.0844030268974693,0.310000000000002,0.01,0
"5862",37,33,34,38,0.0844305556448636,0.280000000000001,0,0
"7333",38,43,38,42,0.0844578199435354,0.360000000000014,0,0
"5863",37,37,34,33,0.0844589838921214,0.25,0,0
"10250",40,35,41,41,0.084576070368482,0.310000000000002,0,0
"11717",41,39,43,42,0.0846724445277077,0.410000000000025,0,0
"7334",38,39,36,40,0.0847137920907995,0.310000000000002,0,0
"7335",38,34,38,34,0.0847234790415456,0.289999999999992,0,0
"1466",34,36,36,37,0.0847389651519519,0.280000000000001,0,0
"11718",41,36,34,NA,0.0850035012379934,0.200000000000003,0,0
"13179",42,34,33,43,0.0850268462374104,0.300000000000011,0,0
"5864",37,39,42,40,0.0850473645230334,0.330000000000013,0,0
"2931",35,35,41,43,0.0850857010194952,0.329999999999998,0,0
"5865",37,38,33,39,0.0851515869012099,0.300000000000011,0,0
"1467",34,39,41,39,0.0853635098883535,0.300000000000011,0,0
"10251",40,40,33,40,0.0853772237704909,0.329999999999984,0,0
"7336",38,36,41,37,0.0854696101833678,0.330000000000013,0,0
"5866",37,43,35,NA,0.0855437921640407,0.18,0,0
"5867",37,33,43,38,0.0855667578362958,0.319999999999993,0,0
"14648",43,38,36,39,0.0855869547557208,0.360000000000014,0,0
"13180",42,36,34,39,0.0856121223534365,0.310000000000002,0,0
"7337",38,33,43,36,0.0856359853198133,0.310000000000002,0,0
"11719",41,35,40,40,0.0856527675008351,0.319999999999993,0,0
"14649",43,42,42,38,0.0857244579547187,0.370000000000005,0,0
"11720",41,40,41,38,0.085740121017945,0.410000000000025,0,0
"14650",43,38,34,40,0.0857707720063852,0.360000000000014,0,0
"7338",38,42,40,NA,0.0857834291594613,0.23,0,0
"4394",36,37,42,36,0.0858842713622071,0.329999999999984,0,0
"13181",42,35,33,40,0.0859179022070973,0.310000000000002,0,0
"1468",34,36,42,41,0.0859736764818655,0.300000000000004,0,0
"13182",42,39,42,37,0.0859890498745644,0.339999999999975,0,0
"13183",42,35,36,33,0.0859954576123642,0.25,0,0
"2932",35,41,41,38,0.0859972805278639,0.310000000000002,0,0
"2933",35,42,41,43,0.0860097753237316,0.400000000000006,0,0
"2934",35,35,37,40,0.0860222420055943,0.309999999999988,0,0
"7339",38,41,43,NA,0.0861187274139616,0.219999999999999,0,0
"8788",39,43,33,41,0.0861294450563957,0.329999999999984,0,0
"4395",36,33,36,41,0.0861640501065482,0.279999999999987,0,0
"5868",37,35,43,40,0.0861914127968054,0.310000000000002,0,0
"10252",40,37,41,33,0.0862462228946678,0.339999999999975,0,0
"5869",37,33,36,41,0.0862488358714126,0.269999999999982,0,0
"10253",40,35,34,37,0.086252909187506,0.310000000000002,0,0
"14651",43,40,43,NA,0.0862577237326043,0.259999999999998,0,0
"7340",38,38,40,36,0.0862710312946869,0.310000000000002,0,0
"2935",35,43,36,35,0.0863454811812594,0.310000000000002,0,0
"14652",43,37,34,36,0.0864122821180554,0.329999999999984,0,0
"11721",41,35,38,38,0.0864528237924132,0.319999999999993,0,0
"11722",41,34,35,39,0.0865049250407431,0.300000000000011,0,0
"2936",35,34,42,33,0.0865166951804244,0.280000000000001,0,0
"5870",37,38,39,43,0.0865185262992169,0.359999999999985,0,0
"8789",39,33,34,NA,0.086529749941645,0.199999999999999,0,0
"4396",36,43,37,33,0.0865478087936088,0.319999999999993,0,0
"2",33,35,35,40,0.086601583875725,0.21,0,0
"10254",40,33,41,37,0.0866102009709034,0.310000000000002,0,0
"5871",37,42,41,36,0.0866150315906023,0.370000000000005,0,0
"5872",37,40,43,34,0.0866204532505857,0.340000000000003,0,0
"11723",41,36,43,NA,0.0866319766679058,0.199999999999999,0,0
"1469",34,37,39,NA,0.0866490879082914,0.18,0,0
"7341",38,39,35,40,0.0866619066219124,0.330000000000013,0,0
"2937",35,40,35,33,0.0867124245083546,0.259999999999991,0,0
"14653",43,35,36,39,0.0867292954289113,0.349999999999966,0,0
"7342",38,35,41,NA,0.0867378454500283,0.200000000000001,0,0
"7343",38,35,43,36,0.0867953641030502,0.299999999999983,0,0
"4397",36,38,39,41,0.0868354478784449,0.330000000000013,0,0
"11724",41,34,39,43,0.0868768697793305,0.329999999999984,0,0
"8790",39,39,43,41,0.0869259311513102,0.399999999999977,0,0
"14654",43,36,39,37,0.0869532270605836,0.360000000000014,0,0
"13184",42,39,33,38,0.0869672603820218,0.330000000000041,0,0
"11725",41,35,40,41,0.0869959923046767,0.29000000000002,0,0
"8791",39,40,36,34,0.0870144253365407,0.330000000000041,0,0
"5873",37,42,37,35,0.0870435879696271,0.280000000000001,0,0
"14655",43,33,38,33,0.0870711669091277,0.270000000000039,0,0
"5874",37,37,35,43,0.0870758502666823,0.280000000000001,0,0
"7344",38,37,40,34,0.0870839236825883,0.310000000000002,0,0
"7345",38,33,39,43,0.0871068638084878,0.299999999999983,0,0
"14656",43,33,34,41,0.0871077204099066,0.319999999999993,0,0
"4398",36,33,40,NA,0.0871374768177226,0.19,0,0
"13185",42,34,40,43,0.0871476885875456,0.359999999999957,0,0
"8792",39,40,42,NA,0.0871791388229389,0.239999999999998,0,0
"11726",41,33,35,38,0.0871931002141669,0.270000000000039,0,0
"7346",38,33,41,38,0.0871931288917377,0.29000000000002,0,0
"11727",41,42,42,34,0.0872172618608629,0.379999999999995,0,0
"11728",41,42,34,34,0.0872392645033001,0.329999999999984,0,0
"14657",43,38,33,33,0.0872418839466374,0.299999999999955,0,0
"7347",38,42,34,37,0.0872469876784371,0.330000000000013,0,0
"7348",38,41,42,33,0.0872680567723705,0.340000000000003,0,0
"8793",39,38,36,38,0.0872682235363467,0.329999999999984,0,0
"13186",42,37,34,43,0.0873136059594706,0.310000000000002,0,0
"4399",36,40,38,NA,0.0873256641765433,0.200000000000001,0,0
"7349",38,41,33,35,0.0873692561419291,0.310000000000002,0,0
"5875",37,36,39,33,0.0873738997647377,0.300000000000011,0,0
"2938",35,39,41,38,0.0873807940946869,0.350000000000009,0,0
"5876",37,37,36,37,0.0874164959317437,0.29000000000002,0,0
"11729",41,37,33,43,0.0874409172640341,0.339999999999975,0,0
"13187",42,33,35,41,0.087446457682275,0.29000000000002,0,0
"10255",40,38,39,41,0.0874488085081694,0.360000000000014,0,0
"11730",41,42,37,40,0.0874726448684966,0.379999999999995,0,0
"14658",43,39,41,33,0.0875054857192721,0.409999999999968,0,0
"7350",38,37,34,33,0.087507534474838,0.280000000000001,0,0
"4400",36,42,33,35,0.0875291109144375,0.280000000000001,0,0
"11731",41,35,37,40,0.0875519302360403,0.279999999999973,0,0
"11732",41,33,40,42,0.0875641859377775,0.329999999999984,0,0
"2939",35,40,42,36,0.0876331581513867,0.309999999999988,0,0
"11733",41,39,33,43,0.0876526211401016,0.329999999999984,0,0
"14659",43,43,40,39,0.0877061192816075,0.420000000000016,0,0
"13188",42,42,41,39,0.0877541962227555,0.420000000000016,0,0
"8794",39,43,41,NA,0.0877659182655506,0.23,0,0
"5877",37,42,36,42,0.0877730368594547,0.319999999999993,0,0
"13189",42,36,39,42,0.0877776965700156,0.370000000000005,0,0
"5878",37,38,38,42,0.0878034402774592,0.310000000000002,0,0
"5879",37,42,33,39,0.0878233922166769,0.319999999999993,0,0
"3",33,33,39,41,0.0878619934046873,0.3,0,0
"4401",36,36,38,37,0.0878651620929422,0.259999999999991,0,0
"4",33,40,41,36,0.087865949337103,0.32,0,0
"1470",34,39,33,NA,0.0878725885346129,0.19,0,0
"14660",43,40,39,34,0.0878749791464645,0.329999999999984,0,0
"5880",37,34,42,39,0.0878788717817486,0.319999999999993,0,0
"14661",43,33,41,34,0.0878922509173671,0.319999999999993,0,0
"5881",37,33,36,35,0.0879001721784571,0.27000000000001,0,0
"8795",39,41,35,34,0.0879176106379668,0.330000000000041,0,0
"2940",35,43,34,36,0.0879305644690061,0.320000000000007,0,0
"14662",43,41,39,36,0.0879396992017345,0.390000000000043,0,0
"7351",38,38,40,33,0.0879470881596101,0.310000000000002,0,0
"5882",37,43,33,34,0.087951191794988,0.330000000000013,0,0
"5883",37,34,40,33,0.088005940563331,0.280000000000001,0,0
"4402",36,37,37,41,0.0880115181102903,0.329999999999984,0,0
"7352",38,35,38,43,0.0880115812745819,0.319999999999993,0,0
"5884",37,40,33,33,0.088021892659599,0.25,0,0
"10256",40,40,37,NA,0.0881203635261974,0.23,0.02,0
"5",33,36,37,38,0.088121543981487,0.280000000000001,0,0
"11734",41,36,43,33,0.0881226419402836,0.340000000000032,0,0
"11735",41,43,41,38,0.0881435526497127,0.360000000000014,0,0
"14663",43,43,43,NA,0.0881514099245957,0.150000000000002,0,0
"14664",43,34,33,36,0.0881844997400407,0.279999999999973,0,0
"8796",39,36,43,39,0.0881872555351689,0.339999999999975,0,0
"6",33,37,37,34,0.0882103727276824,0.27,0,0
"2941",35,41,36,36,0.0882177088809307,0.299999999999997,0,0
"5885",37,43,34,37,0.0882277489328704,0.280000000000001,0.01,0
"1471",34,39,41,40,0.0882457515289993,0.329999999999998,0,0
"7353",38,42,37,43,0.0882525337718024,0.389999999999986,0,0
"2942",35,40,33,NA,0.0882679810372333,0.18,0,0
"2943",35,36,38,42,0.0883085652465159,0.310000000000002,0,0
"14665",43,39,43,43,0.0883092105405951,0.409999999999968,0,0
"7354",38,43,36,36,0.0883114407532425,0.360000000000014,0,0
"13190",42,41,43,33,0.0883185852545426,0.359999999999957,0,0
"2944",35,42,39,33,0.0883211907902531,0.329999999999998,0,0
"7355",38,41,39,39,0.0883627436875171,0.379999999999995,0,0
"7356",38,43,37,42,0.0883676972154177,0.340000000000003,0,0
"14666",43,35,33,37,0.0883946922932795,0.269999999999982,0.00999999999999979,0
"7357",38,35,43,41,0.0883949859669998,0.340000000000003,0,0
"14667",43,38,43,37,0.0883971238883055,0.399999999999977,0,0
"5886",37,35,42,43,0.0883977831768413,0.340000000000003,0,0
"11736",41,33,35,41,0.0884174260088382,0.300000000000011,0,0
"8797",39,38,33,39,0.0884262738116254,0.300000000000011,0,0
"7358",38,39,33,42,0.088444838151993,0.319999999999993,0,0
"5887",37,42,40,41,0.0884577530000634,0.379999999999995,0,0
"5888",37,33,39,36,0.0884791690812065,0.259999999999991,0,0
"14668",43,41,36,38,0.0884994724534745,0.399999999999977,0,0
"7359",38,34,42,43,0.0885126882055343,0.360000000000014,0,0
"10257",40,43,42,34,0.0885156059394883,0.360000000000014,0,0
"11737",41,41,36,NA,0.0885361436362602,0.200000000000003,0,0
"1472",34,40,39,37,0.0885371481965867,0.319999999999993,0,0
"5889",37,36,37,43,0.0885555001902765,0.310000000000002,0,0
"7360",38,41,41,39,0.0885711264745732,0.360000000000014,0,0
"8798",39,41,35,37,0.0885796560517012,0.310000000000002,0.00999999999999979,0
"5890",37,40,43,36,0.0886013670306666,0.349999999999994,0,0
"5891",37,33,38,41,0.0886231180667753,0.259999999999991,0,0
"11738",41,36,35,43,0.0886234095590291,0.29000000000002,0,0
"5892",37,43,40,35,0.0886236235377535,0.360000000000014,0,0
"1473",34,40,33,NA,0.0886277675262962,0.21,0,0
"14669",43,35,33,33,0.088638116898237,0.289999999999964,0,0
"8799",39,36,42,NA,0.088646046888304,0.219999999999999,0,0
"7361",38,43,41,39,0.0886683972638983,0.379999999999995,0,0
"11739",41,34,40,42,0.0886722591022608,0.340000000000032,0,0
"7362",38,43,35,39,0.0886865190360543,0.349999999999994,0,0
"11740",41,42,34,38,0.088698505393889,0.339999999999975,0,0
"2945",35,34,41,43,0.0887038397464273,0.330000000000013,0,0
"4403",36,38,41,NA,0.0887059267643456,0.200000000000001,0,0
"7",33,43,41,NA,0.0887067734673464,0.2,0,0
"14670",43,33,38,38,0.0887158813147618,0.279999999999973,0,0
"14671",43,38,42,37,0.0887302354024642,0.339999999999975,0,0
"5893",37,42,42,NA,0.0887308159041511,0.24,0,0
"2946",35,41,43,36,0.0887315606156693,0.330000000000013,0,0
"13191",42,36,41,NA,0.0887369630590469,0.229999999999997,0,0
"7363",38,34,43,38,0.0887379638719463,0.349999999999994,0,0
"14672",43,41,35,41,0.0887456212344779,0.360000000000014,0,0
"10258",40,37,33,37,0.0887506599325224,0.29000000000002,0,0
"7364",38,37,33,34,0.0887577374255262,0.25,0,0
"1474",34,42,35,38,0.0887741202127693,0.299999999999997,0,0
"11741",41,34,42,37,0.0887759234541997,0.279999999999973,0,0
"5894",37,42,43,33,0.0887802412971038,0.360000000000014,0,0
"8800",39,41,33,42,0.0887833410771237,0.329999999999984,0,0
"7365",38,35,33,36,0.0887940807040032,0.280000000000001,0,0
"11742",41,38,40,42,0.088813060219581,0.379999999999995,0,0
"4404",36,43,34,43,0.0888150186583823,0.310000000000002,0,0
"11743",41,42,38,NA,0.0888265301504264,0.240000000000002,0,0
"10259",40,38,40,NA,0.0888384118836485,0.23,0,0
"5895",37,39,43,37,0.0888546190221322,0.360000000000014,0,0
"11744",41,37,37,34,0.0888565796521356,0.339999999999975,0,0
"10260",40,37,36,35,0.0889047687346543,0.329999999999984,0,0
"14673",43,35,41,34,0.088924542950232,0.300000000000011,0,0
"11745",41,40,41,NA,0.088936869871288,0.239999999999998,0,0
"8801",39,42,33,34,0.0889447220125333,0.299999999999955,0,0
"13192",42,34,43,41,0.0889604624489469,0.340000000000032,0,0
"7366",38,41,42,40,0.0889618380431991,0.389999999999986,0,0
"7367",38,39,33,38,0.0889678467667344,0.27000000000001,0,0
"14674",43,41,33,41,0.088973313745555,0.310000000000002,0,0
"14675",43,33,41,39,0.0889881801726151,0.319999999999993,0,0
"5896",37,34,39,43,0.0890109623584155,0.329999999999984,0,0
