"","Layer.1","Layer.2","Layer.3","Layer.4","MSE","User.Time","CPU.Time","Reutilized"
"1",7,10,13,NA,0.12046108544547,0.01,0,0
"2",7,12,9,13,0.124054050306183,0.02,0,0
"3",7,13,9,17,0.127930161365969,0.00999999999999979,0,0
"4",7,12,13,13,0.130065865211433,0.0300000000000002,0,0
"5",7,16,17,NA,0.130207147953322,0.01,0,0
"6",7,13,11,16,0.131832850324656,0.04,0,0
"7",7,8,9,14,0.132104395226384,0.01,0,0
"8",7,12,9,NA,0.132666376822541,0.01,0,0
"9",7,10,14,12,0.133490487492324,0.04,0,0
"10",7,13,17,8,0.135061345859345,0.0299999999999994,0,0
"11",7,13,11,NA,0.136141001690577,0.02,0,0
"12",7,9,12,7,0.136273893717477,0.03,0,0
"13",7,13,15,13,0.136312751956619,0.0300000000000002,0,0
"14",7,13,15,NA,0.136861138614886,0.01,0,0
"15",7,16,7,NA,0.137133772625529,0.0199999999999999,0,0
"16",7,12,8,16,0.137464019887352,0.0300000000000002,0,0
"17",7,12,15,NA,0.138239292331136,0,0,0
"18",7,12,14,NA,0.138278333133381,0.01,0,0
"19",7,10,10,8,0.138579744568242,0.02,0,0
"20",7,14,14,NA,0.139342506229652,0,0,0
"21",7,10,14,17,0.139804592101337,0.0100000000000002,0,0
"22",7,13,7,15,0.140170332138959,0.0199999999999996,0,0
"23",7,9,12,12,0.14052529717184,0.01,0,0
"24",7,12,13,14,0.140724421818613,0.02,0,0
"25",7,12,8,17,0.141418532472161,0.00999999999999979,0,0
"26",7,10,17,NA,0.141958071786381,0,0,0
"27",7,15,17,NA,0.14212585317516,0.0199999999999999,0,0
"28",7,12,11,14,0.142279074575179,0.02,0,0
"29",7,14,17,NA,0.142347473895427,0.03,0,0
"30",7,13,17,10,0.142379901150402,0.0299999999999994,0,0
"31",7,13,13,NA,0.142692424499275,0.01,0,0
"32",7,8,11,17,0.143272414398338,0.03,0,0
"33",7,11,15,NA,0.143896778646401,0.01,0,0
"34",7,14,NA,NA,0.144173909515395,0.02,0,0
"35",7,12,9,16,0.144205750541298,0.00999999999999979,0,0
"36",7,10,17,13,0.144489783465217,0.00999999999999979,0,0
"37",7,16,14,10,0.145092431673163,0.0300000000000002,0,0
"38",7,9,10,14,0.145212545920095,0.02,0,0
"39",7,11,14,11,0.145213584655038,0.0300000000000002,0,0
"40",7,8,9,NA,0.145540923815165,0.02,0,0
"41",7,16,17,10,0.145553296655154,0.0299999999999994,0,0
"42",7,16,16,10,0.145586317262359,0.00999999999999979,0,0
"43",7,12,9,14,0.145648117331192,0.00999999999999979,0,0
"44",7,10,17,16,0.146231939746393,0.04,0,0
"45",7,12,8,9,0.146246834041297,0.0299999999999998,0,0
"46",7,17,17,13,0.146322454191498,0.04,0,0
"47",7,8,8,14,0.146492352254928,0.02,0,0
"48",7,12,9,7,0.147045565356049,0.02,0,0
"49",7,9,10,16,0.147327425261368,0.01,0,0
"50",7,12,13,11,0.147928628331816,0.02,0,0
"51",7,14,13,14,0.148345925820063,0.0199999999999996,0,0
"52",7,16,12,NA,0.149100057240746,0.02,0,0
"53",7,8,16,16,0.149481639295769,0.01,0,0
"54",7,7,12,NA,0.149622606023626,0.00999999999999998,0,0
"55",7,17,10,NA,0.149718623798423,0.02,0,0
"56",7,13,16,8,0.149861502948574,0.0200000000000005,0,0
"57",7,17,15,11,0.150266234907116,0.0299999999999994,0,0
"58",7,16,16,7,0.150519370633902,0.00999999999999979,0,0
"59",7,8,15,16,0.150873773375461,0.02,0,0
"60",7,10,11,12,0.151056059799461,0.0299999999999998,0,0
"61",7,8,8,15,0.151369706661161,0,0,0
"62",7,11,8,14,0.151425223112274,0.0100000000000002,0,0
"63",7,11,8,16,0.151441409334146,0.00999999999999979,0,0
"64",7,7,8,9,0.151788178085406,0.02,0,0
"65",7,10,15,NA,0.1519785530392,0.03,0,0
"66",7,13,10,16,0.152107231908364,0.0200000000000005,0,0
"67",7,13,15,17,0.152232284590477,0.0200000000000005,0,0
"68",7,12,9,11,0.152303455033207,0.0299999999999998,0,0
"69",7,7,13,17,0.1523691696279,0.02,0,0
"70",7,14,17,7,0.152387451169664,0.0100000000000007,0,0
"71",7,7,15,11,0.152426750166818,0.01,0,0
"72",7,11,12,12,0.152448740894313,0.00999999999999979,0,0
"73",7,7,13,7,0.152582275571371,0.02,0,0
"74",7,13,17,12,0.15259590255789,0.0300000000000002,0,0
"75",7,14,9,11,0.15312476856224,0.0300000000000002,0,0
"76",7,12,13,10,0.153547625338447,0.0100000000000002,0,0
"77",7,12,12,7,0.153624413951178,0.0100000000000002,0,0
"78",7,14,13,15,0.153875589354414,0.0300000000000002,0,0
"79",7,13,11,17,0.154078786742573,0.00999999999999979,0,0
"80",7,7,17,8,0.154306702455841,0.02,0,0
"81",7,8,13,15,0.154308388027967,0.01,0,0
"82",7,13,12,13,0.154390508007681,0.0100000000000007,0,0
"83",7,8,11,8,0.154548199366265,0.01,0,0
"84",7,15,15,12,0.154721557901561,0.0299999999999994,0,0
"85",7,11,15,15,0.154746782113498,0.0300000000000002,0,0
"86",7,8,7,16,0.15516564883052,0.01,0,0
"87",7,11,16,11,0.155942691433331,0.02,0,0
"88",7,14,16,8,0.156124937109344,0.0199999999999996,0,0
"89",7,10,9,16,0.156177988445786,0.00999999999999979,0,0
"90",7,7,14,16,0.156446720804093,0.04,0,0
"91",7,12,14,12,0.156462801633206,0.00999999999999979,0,0
"92",7,16,16,9,0.156478547856663,0.0300000000000002,0,0
"93",7,7,15,17,0.156807473558471,0.02,0,0
"94",7,10,17,14,0.15703502061339,0.0299999999999998,0,0
"95",7,16,15,7,0.157232694246278,0.0299999999999994,0,0
"96",7,17,14,NA,0.157383851864639,0.02,0,0
"97",7,16,17,17,0.157440106319795,0.0300000000000002,0,0
"98",7,16,14,15,0.15786162039398,0.0300000000000002,0,0
"99",7,17,13,15,0.15796623677499,0.04,0,0
"100",7,10,11,9,0.158123405388259,0,0,0
"101",7,14,13,7,0.158398668905861,0.0199999999999996,0,0
"102",7,14,8,14,0.158635180529376,0.0100000000000007,0,0
"103",7,8,8,7,0.158680485057409,0.0199999999999999,0,0
