"","Layer.1","Layer.2","Layer.3","Layer.4","MSE","User.Time","CPU.Time","Reutilized"
"14641",14,8,10,10,0.193877385420299,0.0300000000000011,0,0
"14642",14,5,11,12,0.195766687050833,0.0299999999999869,0,0
"14643",14,9,12,10,0.196335116876713,0.0300000000000011,0,0
"14644",14,13,4,14,0.197830659918418,0.0400000000000063,0,0
"8785",10,14,4,14,0.197835333384611,0.00999999999999801,0,0
"14645",14,8,5,11,0.198015980166338,0.0300000000000011,0,0
"14646",14,8,14,8,0.198877808302315,0.0300000000000011,0,0
"11713",12,10,11,7,0.199083701416077,0.0300000000000011,0,0
"14647",14,10,14,13,0.199205720403461,0.019999999999996,0,0
"14648",14,14,7,NA,0.199409155350257,0.0299999999999994,0,0
"1",4,11,14,8,0.199492592061582,0.0499999999999998,0,0
"14649",14,9,7,5,0.199801765330194,0.019999999999996,0,0
"11714",12,10,14,9,0.199992921087934,0.0300000000000011,0,0
"7321",9,7,6,10,0.200195554095396,0.029999999999994,0,0
"14650",14,4,14,6,0.200327234190326,0.0100000000000051,0,0
"5857",8,13,10,8,0.20036166849188,0.00999999999999801,0,0
"14651",14,11,8,NA,0.2003847172411,0.0199999999999996,0,0
"10249",11,8,9,14,0.200596445581376,0.0200000000000031,0,0
"2929",6,6,12,5,0.200624233518255,0,0,0
"1465",5,4,7,11,0.200828448688476,0.0100000000000016,0,0
"4393",7,14,9,13,0.200908335265611,0.0300000000000011,0,0
"14652",14,13,12,4,0.201003105761861,0.0300000000000011,0,0
"14653",14,12,12,7,0.201036800675225,0.0300000000000011,0,0
"14654",14,4,5,5,0.201440251269221,0.0300000000000011,0,0
"1466",5,10,14,NA,0.201558065348025,0.02,0,0
"13177",13,13,5,NA,0.202147631137979,0.00999999999999979,0,0
"14655",14,8,12,12,0.202237399947071,0.0299999999999869,0,0
"14656",14,13,8,12,0.202305449160262,0.00999999999999091,0,0
"14657",14,8,5,9,0.202375609439285,0.00999999999999091,0,0
"14658",14,14,10,NA,0.202478009323439,0.00999999999999979,0,0
"14659",14,12,11,8,0.202563066187934,0.0300000000000011,0,0
"8786",10,10,9,9,0.202579082833107,0.019999999999996,0,0
"14660",14,14,5,8,0.202664800894039,0.019999999999996,0,0
"14661",14,6,8,10,0.20268835944861,0.0100000000000051,0,0
"7322",9,11,13,NA,0.202955355699755,0.0199999999999996,0,0
"14662",14,12,13,10,0.202959061255606,0.0300000000000011,0,0
"7323",9,12,6,14,0.202993212596285,0.0300000000000011,0,0
"5858",8,14,12,NA,0.203235753360849,0.0100000000000002,0,0
"1467",5,12,10,11,0.203273290282094,0.0199999999999996,0,0
"14663",14,10,9,14,0.203279113345525,0.00999999999999091,0,0
"14664",14,13,4,8,0.203405530687897,0.0300000000000011,0,0
"11715",12,12,6,4,0.203444931037216,0.0300000000000011,0,0
"14665",14,4,14,9,0.203516973648331,0.019999999999996,0,0
"8787",10,7,13,8,0.203540164729903,0.0200000000000031,0,0
"14666",14,4,6,10,0.203610881433652,0.019999999999996,0,0
"14667",14,14,8,NA,0.203714229564791,0.00999999999999979,0,0
"13178",13,13,8,9,0.203804562287642,0.0400000000000063,0,0
"1468",5,13,5,NA,0.203937589708532,0.0299999999999998,0,0
"8788",10,10,4,6,0.203969755337295,0.0200000000000031,0,0
"14668",14,14,14,NA,0.203981221708467,0.00999999999999979,0,0
"10250",11,11,14,8,0.204080530784827,0.0200000000000031,0,0
"1469",5,11,7,NA,0.204255176739248,0.01,0,0
"14669",14,4,11,11,0.204271703979646,0.0300000000000011,0,0
"14670",14,6,10,8,0.204282442971846,0.0300000000000011,0,0
"11716",12,12,13,10,0.204308862180532,0.0400000000000063,0,0
"14671",14,4,9,6,0.204449914268136,0.0200000000000102,0,0
"8789",10,11,5,5,0.204591673963837,0.0300000000000011,0,0
"14672",14,10,9,5,0.204609696934635,0.0299999999999869,0,0
"14673",14,4,11,NA,0.204711224777271,0.0300000000000002,0,0
"14674",14,5,9,12,0.204927869394441,0.00999999999999091,0,0
"14675",14,8,8,10,0.205121064145536,0.00999999999999091,0,0
"11717",12,12,5,9,0.205153200096374,0.0300000000000011,0,0
"14676",14,10,7,13,0.205198390859545,0.0299999999999869,0,0
"2930",6,9,6,9,0.205223051745453,0.0300000000000011,0,0
"14677",14,5,11,13,0.205285266504807,0.0299999999999869,0,0
"11718",12,7,12,5,0.205293441184343,0.019999999999996,0,0
"14678",14,4,12,10,0.205323530815413,0.0400000000000063,0,0
"13179",13,14,12,9,0.20536659099161,0.0300000000000011,0,0
"11719",12,13,8,7,0.205472004476156,0.00999999999999091,0,0
"1470",5,10,6,12,0.205489385201748,0.0199999999999996,0,0
"13180",13,14,6,NA,0.205585720818562,0.00999999999999979,0,0
"14679",14,8,7,11,0.205714407093618,0.0200000000000102,0,0
"1471",5,10,6,14,0.205797810049446,0.0299999999999994,0,0
"1472",5,14,12,5,0.205841712623754,0.0299999999999994,0,0
"14680",14,4,4,8,0.20584974072357,0.0200000000000102,0,0
"14681",14,11,10,12,0.20588619564078,0.0300000000000011,0,0
"14682",14,9,10,NA,0.205930643240499,0.0200000000000005,0,0
"2931",6,14,10,7,0.206030574469289,0.0199999999999996,0,0
"14683",14,10,13,13,0.206133775103148,0.0300000000000011,0,0
"1473",5,12,13,6,0.206243304558956,0.00999999999999979,0,0
"8790",10,13,4,12,0.206314246634988,0.00999999999999801,0,0
"14684",14,14,9,4,0.206338285826339,0.019999999999996,0,0
"14685",14,6,12,4,0.206375015116663,0.0300000000000011,0,0
"13181",13,11,5,7,0.206387330636127,0.019999999999996,0,0
"14686",14,13,13,8,0.206401151791171,0.0300000000000011,0,0
"14687",14,10,7,4,0.206404301932449,0.0200000000000102,0,0
"1474",5,11,4,7,0.206589604570156,0.0199999999999996,0,0
"8791",10,10,4,NA,0.206597146468733,0.00999999999999979,0,0
"1475",5,13,10,14,0.206618333455562,0.0300000000000011,0,0
"14688",14,12,5,14,0.206631617710733,0.0300000000000011,0,0
"1476",5,10,11,14,0.206640962019555,0.00999999999999979,0,0
"1477",5,9,11,8,0.206674921831347,0.0299999999999994,0,0
"11720",12,12,13,6,0.206728600214878,0,0,0
"14689",14,12,12,10,0.206820611974442,0.0300000000000011,0,0
"14690",14,10,12,14,0.206895670784878,0.0300000000000011,0,0
"1478",5,7,13,6,0.20689990652065,0.0299999999999994,0,0
"1479",5,14,5,6,0.206945481711016,0.0299999999999994,0,0
"14691",14,9,14,13,0.206949358718854,0.0300000000000011,0,0
"13182",13,14,14,13,0.207058117054631,0.0300000000000011,0,0
"11721",12,13,8,12,0.20706074157524,0.0200000000000102,0,0
"14692",14,10,14,11,0.207074413045928,0.0300000000000011,0,0
"14693",14,13,9,7,0.207097202635922,0.0300000000000011,0,0
"11722",12,11,14,12,0.207131037925775,0.0300000000000011,0,0
"14694",14,7,12,10,0.207203172445643,0.0300000000000011,0,0
"13183",13,5,12,9,0.207289182316357,0.0300000000000011,0,0
"7324",9,10,5,13,0.207322632461959,0.0200000000000031,0,0
"4394",7,10,8,11,0.207345237803534,0.0199999999999996,0,0
"10251",11,11,13,5,0.207351961547079,0.00999999999999801,0,0
"10252",11,6,14,13,0.207357568326232,0.0499999999999972,0,0
"1480",5,13,11,6,0.207369176749997,0.0299999999999994,0,0
"13184",13,13,14,NA,0.207372152490026,0.0300000000000002,0,0
"13185",13,12,8,12,0.20738313837308,0.0300000000000011,0,0
"11723",12,12,9,13,0.207402422329454,0.0100000000000051,0,0
"14695",14,14,8,5,0.207449174901788,0.0400000000000063,0,0
"8792",10,9,12,9,0.207463647633342,0.0300000000000011,0,0
"1481",5,11,4,10,0.207494475278789,0.0200000000000014,0,0
"11724",12,8,14,10,0.20754770590682,0.0300000000000011,0,0
"14696",14,5,4,10,0.207551124097431,0.0299999999999869,0,0
"1482",5,10,14,9,0.207617160094388,0.0199999999999996,0,0
"13186",13,7,12,7,0.207619839589005,0.019999999999996,0,0
"14697",14,8,5,12,0.207655508805459,0.0200000000000102,0,0
"14698",14,12,14,8,0.207674762264172,0.00999999999999091,0,0
"13187",13,11,14,9,0.207706711340139,0.0300000000000011,0,0
"2932",6,13,8,14,0.20771167653738,0.0399999999999991,0,0
"14699",14,10,11,NA,0.207735145260113,0.0299999999999994,0,0
"13188",13,9,11,8,0.207743528819633,0,0,0
"1483",5,7,14,8,0.207771499160576,0.0300000000000011,0,0
"5859",8,13,6,NA,0.207812546490316,0.04,0,0
"8793",10,6,6,NA,0.207813573758618,0.0299999999999994,0,0
"5860",8,14,14,7,0.207838312426313,0.0300000000000011,0,0
"11725",12,12,7,NA,0.207838689674187,0.0499999999999998,0,0
"1484",5,4,10,14,0.207891911373498,0.0299999999999994,0,0
"4395",7,7,12,8,0.207965885934947,0.0199999999999996,0,0
"14700",14,12,11,7,0.208044862215984,0.0300000000000011,0,0
"8794",10,14,9,14,0.208050064099729,0.0399999999999991,0,0
