"","Layer.1","Layer.2","Layer.3","Layer.4","MSE","User.Time","CPU.Time","Reutilized"
"8785",10,5,11,13,0.0697914922574121,0.0300000000000011,0,0
"4393",7,10,NA,NA,0.0714051315474033,0.02,0,0
"7321",9,12,7,13,0.0716684095152248,0.019999999999996,0,0
"7322",9,9,10,14,0.0717700016317655,0.00999999999999801,0,0
"2929",6,11,NA,NA,0.0719274153076067,0.01,0,0
"2930",6,7,13,NA,0.0720196080864385,0.02,0,0
"10249",11,10,13,NA,0.0721441370964274,0.00999999999999979,0,0
"13177",13,14,11,NA,0.0721836816107731,0.0200000000000005,0,0
"7323",9,12,13,10,0.0721917404953829,0.0200000000000031,0,0
"2931",6,12,10,7,0.0722205423297621,0.0300000000000011,0,0
"1",4,8,14,13,0.0722308518600704,0.0300000000000002,0,0
"7324",9,6,4,6,0.07224278810026,0.019999999999996,0,0
"2932",6,9,NA,NA,0.0723684198549114,0,0,0
"2",4,12,13,NA,0.0724020028185213,0,0,0
"14641",14,9,14,12,0.0724213443299765,0.0300000000000011,0,0
"4394",7,6,14,NA,0.072478523822719,0.0100000000000002,0,0
"7325",9,12,6,7,0.0725816283675352,0.019999999999996,0,0
"4395",7,14,12,NA,0.0725926380823827,0.02,0,0
"10250",11,13,12,NA,0.0726126202188228,0.00999999999999979,0,0
"10251",11,9,13,NA,0.0726923813598671,0.0199999999999996,0,0
"7326",9,12,13,14,0.0727133309144766,0.0200000000000031,0,0
"13178",13,9,13,13,0.0727194276638663,0.00999999999999091,0,0
"4396",7,7,10,NA,0.0727242248309937,0.0100000000000002,0,0
"5857",8,9,14,11,0.0727278065937224,0.0300000000000011,0,0
"3",4,13,11,10,0.0727866676153332,0.00999999999999979,0,0
"4397",7,13,10,14,0.0728686548049414,0.0100000000000016,0,0
"2933",6,12,13,14,0.0729338677799524,0.0199999999999996,0,0
"10252",11,11,6,NA,0.0729348672076713,0.00999999999999979,0,0
"10253",11,7,14,14,0.0729480475327919,0.00999999999999801,0,0
"10254",11,12,14,9,0.0729510669278144,0.0200000000000031,0,0
"7327",9,10,14,9,0.072998320131021,0,0,0
"7328",9,6,5,5,0.073023230141052,0.00999999999999801,0,0
"10255",11,14,6,11,0.073033658793328,0.0200000000000031,0,0
"10256",11,7,6,NA,0.0731358676421986,0.0100000000000007,0,0
"10257",11,13,12,8,0.0731385841807159,0.0300000000000011,0,0
"4398",7,10,10,NA,0.0732155873790601,0.02,0,0
"2934",6,12,11,NA,0.0732167225366087,0.02,0,0
"4399",7,14,12,14,0.0732654886117598,0.0200000000000031,0,0
"14642",14,14,14,NA,0.0732862967069627,0.0200000000000005,0,0
"14643",14,13,7,11,0.0732954456674441,0.0300000000000011,0,0
"4",4,13,7,NA,0.0732958970990599,0.0199999999999999,0,0
"7329",9,7,6,9,0.0733509225251517,0.0300000000000011,0,0
"10258",11,10,14,NA,0.0733667681768687,0.00999999999999979,0,0
"7330",9,5,13,14,0.0733767399416028,0.0200000000000031,0,0
"14644",14,9,12,10,0.073380387280045,0,0,0
"2935",6,13,13,10,0.0734031359221264,0.0300000000000011,0,0
"4400",7,14,14,14,0.0734778488567419,0.0299999999999976,0,0
"13179",13,14,8,14,0.0734860845377845,0.0400000000000063,0,0
"10259",11,13,13,8,0.0734945492464562,0.00999999999999801,0,0
"7331",9,6,12,8,0.0735111602282099,0.00999999999999801,0,0
"10260",11,12,12,12,0.0735275928141856,0.0399999999999991,0,0
"10261",11,12,10,14,0.0735353384454272,0.00999999999999801,0,0
"10262",11,10,4,14,0.0735956087023632,0.0200000000000031,0,0
"13180",13,8,9,13,0.073599845085301,0.0100000000000051,0,0
"10263",11,10,9,12,0.073600590067704,0.019999999999996,0,0
"7332",9,7,12,12,0.0736225648435694,0.019999999999996,0,0
"10264",11,11,6,13,0.0736344502169849,0.00999999999999801,0,0
"10265",11,13,8,12,0.0736388621079128,0.00999999999999801,0,0
"11713",12,14,12,13,0.0736731601866033,0.029999999999994,0,0
"7333",9,12,8,12,0.0737074521119284,0.0200000000000031,0,0
"4401",7,14,12,13,0.0737756183651741,0.0199999999999996,0,0
"7334",9,14,6,8,0.0738065517389498,0.0200000000000031,0,0
