"Layer 1","Layer 2","Layer 3","Layer 4","MSE","User Time","CPU Time","Reutilized"
7,7,7,7,0.188959626340083,0.03,0,0
7,7,7,8,0.189615583661774,0.02,0,0
7,7,7,9,0.194320890544453,0.03,0,0
7,7,7,10,0.171053919140064,0.03,0,0
7,7,7,11,0.208817399697433,0.00999999999999998,0,0
7,7,7,12,0.186251224041547,0.00999999999999998,0,0
7,7,7,13,0.178708680197746,0.02,0,0
7,7,7,14,0.185656830945377,0.03,0,0
7,7,7,15,0.187597150676335,0.03,0,0
7,7,7,16,0.161136860176466,0.00999999999999998,0,0
7,7,7,17,0.179849363630588,0.02,0,0
7,7,8,7,0.176102362081154,0.01,0,0
7,7,8,8,0.200288325088438,0.02,0,0
7,7,8,9,0.151788178085406,0.02,0,0
7,7,8,10,0.198518292633734,0.00999999999999995,0,0
7,7,8,11,0.185652250592603,0.02,0,0
7,7,8,12,0.233633615033078,0.02,0,0
7,7,8,13,0.185455882517254,0.02,0,0
7,7,8,14,0.173649158171034,0.02,0,0
7,7,8,15,0.233320502752956,0.02,0,0
7,7,8,16,0.191541101828146,0,0,0
7,7,8,17,0.210239226319761,0.04,0,0
7,7,9,7,0.180565836872668,0.02,0,0
7,7,9,8,0.17690722595266,0.02,0,0
7,7,9,9,0.18462287942643,0.02,0,0
7,7,9,10,0.185497065519109,0.02,0,0
7,7,9,11,0.197640645016904,0.02,0,0
7,7,9,12,0.179773084036292,0.01,0,0
7,7,9,13,0.187856528693949,0.02,0,0
7,7,9,14,0.173575510981545,0.02,0,0
7,7,9,15,0.197154974817771,0.02,0,0
7,7,9,16,0.206439618573856,0.00999999999999995,0,0
7,7,9,17,0.181960992574271,0.02,0,0
7,7,10,7,0.198089335765218,0.00999999999999995,0,0
7,7,10,8,0.186327547714174,0.02,0,0
7,7,10,9,0.17992487755588,0.01,0,0
7,7,10,10,0.200396112240753,0.01,0,0
7,7,10,11,0.20173497023415,0.02,0,0
7,7,10,12,0.206981721611425,0.01,0,0
7,7,10,13,0.184386790985431,0.02,0,0
7,7,10,14,0.190764323418964,0.02,0,0
7,7,10,15,0.173496433985496,0.01,0,0
7,7,10,16,0.177399837716664,0.02,0,0
7,7,10,17,0.182747863435526,0.00999999999999995,0,0
7,7,11,7,0.186333261526676,0.02,0,0
7,7,11,8,0.174461153632201,0,0,0
7,7,11,9,0.185899308969079,0.01,0,0
7,7,11,10,0.187553472772384,0.03,0,0
7,7,11,11,0.170553523509939,0.01,0,0
7,7,11,12,0.159624356457255,0.01,0,0
7,7,11,13,0.208272901107502,0.01,0,0
7,7,11,14,0.186973724872229,0.02,0,0
7,7,11,15,0.183396909746833,0.01,0,0
7,7,11,16,0.177340343973717,0.01,0,0
7,7,11,17,0.176710779686823,0.02,0,0
7,7,12,7,0.191924946583181,0.02,0,0
7,7,12,8,0.174188704780762,0.02,0,0
7,7,12,9,0.173905402484254,0.02,0,0
7,7,12,10,0.192007226960426,0.03,0,0
7,7,12,11,0.19204908733015,0.01,0,0
7,7,12,12,0.196661383982665,0.01,0,0
7,7,12,13,0.191535570143947,0.02,0,0
7,7,12,14,0.184330429520782,0.02,0,0
7,7,12,15,0.222278118997957,0.03,0,0
7,7,12,16,0.197041511754803,0.02,0,0
7,7,12,17,0.185937686085343,0.03,0,0
7,7,13,7,0.152582275571371,0.02,0,0
7,7,13,8,0.18793325161042,0.0299999999999999,0,0
7,7,13,9,0.191711286735658,0,0,0
7,7,13,10,0.169367255977226,0.0099999999999999,0,0
7,7,13,11,0.235120864196313,0.02,0,0
7,7,13,12,0.193520700620669,0.03,0,0
7,7,13,13,0.184496060405165,0.03,0,0
7,7,13,14,0.193577160083928,0.0099999999999999,0,0
7,7,13,15,0.173453855406539,0.0299999999999999,0,0
7,7,13,16,0.18346997928016,0.02,0,0
7,7,13,17,0.1523691696279,0.02,0,0
7,7,14,7,0.189462415012739,0,0,0
7,7,14,8,0.182738326647092,0.02,0,0
7,7,14,9,0.183647303835075,0.01,0,0
7,7,14,10,0.162592328915245,0.05,0,0
7,7,14,11,0.165107564888607,0,0,0
7,7,14,12,0.200938483960066,0.01,0,0
7,7,14,13,0.176353027284378,0.04,0,0
7,7,14,14,0.192617422942802,0.03,0,0
7,7,14,15,0.195811666174807,0.02,0,0
7,7,14,16,0.156446720804093,0.04,0,0
7,7,14,17,0.196463730468248,0.05,0,0
7,7,15,7,0.203892423626535,0.0299999999999999,0,0
7,7,15,8,0.17725708560032,0.02,0,0
7,7,15,9,0.184228123565085,0.02,0,0
7,7,15,10,0.18995275764682,0.02,0,0
7,7,15,11,0.152426750166818,0.01,0,0
7,7,15,12,0.191962758159778,0.02,0,0
7,7,15,13,0.197113305499024,0.01,0,0
7,7,15,14,0.19227205400547,0.03,0,0
7,7,15,15,0.164023601838044,0.03,0,0
7,7,15,16,0.237797733920567,0.03,0,0
7,7,15,17,0.156807473558471,0.02,0,0
7,7,16,7,0.183829036719798,0.01,0,0
7,7,16,8,0.177292769439163,0.02,0,0
7,7,16,9,0.211878166903526,0.02,0,0
7,7,16,10,0.193668529315455,0.03,0,0
7,7,16,11,0.19797335576764,0.01,0,0
7,7,16,12,0.176262311141548,0.03,0,0
7,7,16,13,0.192228117444903,0.03,0,0
7,7,16,14,0.170910430838787,0.02,0,0
7,7,16,15,0.188563231616072,0.0299999999999999,0,0
7,7,16,16,0.188576665354876,0,0,0
7,7,16,17,0.20878729283481,0.01,0,0
7,7,17,7,0.20208061374206,0.01,0,0
7,7,17,8,0.154306702455841,0.02,0,0
7,7,17,9,0.197687252070603,0.0299999999999999,0,0
7,7,17,10,0.172971952950968,0.02,0,0
7,7,17,11,0.196813207361748,0.02,0,0
7,7,17,12,0.216032244628901,0.03,0,0
7,7,17,13,0.240546933741776,0.05,0,0
7,7,17,14,0.170921221756675,0.01,0,0
7,7,17,15,0.165776581443234,0.01,0,0
7,7,17,16,0.172604763531852,0.01,0,0
7,7,17,17,0.161052505440364,0.01,0,0
7,8,7,7,0.180476283065061,0.01,0,0
7,8,7,8,0.177359255239979,0.02,0,0
7,8,7,9,0.188267363390298,0.04,0,0
7,8,7,10,0.176651545804096,0.01,0,0
7,8,7,11,0.174432369286367,0.02,0,0
7,8,7,12,0.189591942141782,0.03,0,0
7,8,7,13,0.192633419030489,0.02,0,0
7,8,7,14,0.210354111372047,0.02,0,0
7,8,7,15,0.187839116241833,0.0099999999999999,0,0
7,8,7,16,0.15516564883052,0.01,0,0
7,8,7,17,0.189877397106623,0.01,0,0
7,8,8,7,0.158680485057409,0.0199999999999999,0,0
7,8,8,8,0.203271025196054,0,0,0
7,8,8,9,0.164903279221044,0.0199999999999999,0,0
7,8,8,10,0.18472308548892,0.01,0,0
7,8,8,11,0.176912452389129,0.01,0,0
7,8,8,12,0.1667459381785,0.03,0,0
7,8,8,13,0.244526478917383,0.03,0,0
7,8,8,14,0.146492352254928,0.02,0,0
7,8,8,15,0.151369706661161,0,0,0
7,8,8,16,0.163220848548178,0.02,0,0
7,8,8,17,0.248159415761124,0.02,0,0
7,8,9,7,0.176228436407715,0.02,0,0
7,8,9,8,0.184072020735986,0.01,0,0
7,8,9,9,0.201808957600134,0.03,0,0
7,8,9,10,0.187240929264557,0.01,0,0
7,8,9,11,0.192545953421614,0.01,0,0
7,8,9,12,0.17595958857786,0.0199999999999999,0,0
7,8,9,13,0.197703433176634,0.01,0,0
7,8,9,14,0.132104395226384,0.01,0,0
7,8,9,15,0.170016805289649,0.02,0,0
7,8,9,16,0.167565251806233,0,0,0
7,8,9,17,0.161959645602591,0.03,0,0
7,8,10,7,0.179860978619256,0.02,0,0
7,8,10,8,0.186166499462781,0.02,0,0
7,8,10,9,0.198709167710258,0.01,0,0
7,8,10,10,0.160998001908105,0,0,0
7,8,10,11,0.181740196838473,0.02,0,0
7,8,10,12,0.170347493093362,0.03,0,0
7,8,10,13,0.182101741976866,0.02,0,0
7,8,10,14,0.199673864667874,0.01,0,0
7,8,10,15,0.225659336676513,0,0.01,0
7,8,10,16,0.180861898042458,0.02,0,0
7,8,10,17,0.181945594711595,0.01,0,0
7,8,11,7,0.191000430717159,0.02,0,0
7,8,11,8,0.154548199366265,0.01,0,0
7,8,11,9,0.194804693278743,0.02,0,0
7,8,11,10,0.198804821070206,0,0,0
7,8,11,11,0.187383839672833,0.03,0,0
7,8,11,12,0.190028893713695,0.02,0,0
7,8,11,13,0.315098978612442,0.02,0.01,0
7,8,11,14,0.23820787664161,0.01,0,0
7,8,11,15,0.217910523871431,0,0,0
7,8,11,16,0.205577358425564,0.01,0,0
7,8,11,17,0.143272414398338,0.03,0,0
7,8,12,7,0.194861049997474,0.02,0,0
7,8,12,8,0.179597542791286,0.02,0,0
7,8,12,9,0.209190262487279,0.01,0,0
7,8,12,10,0.222532513193184,0.02,0,0
7,8,12,11,0.201641151692687,0.01,0,0
7,8,12,12,0.175845161093815,0.02,0,0
7,8,12,13,0.180803074146524,0.02,0,0
7,8,12,14,0.241294720353028,0.02,0,0
7,8,12,15,0.222051658846206,0.02,0,0
7,8,12,16,0.186157864533103,0.02,0,0
7,8,12,17,0.199685653175309,0.02,0,0
7,8,13,7,0.238562423945369,0.01,0,0
7,8,13,8,0.201495550686502,0.03,0,0
7,8,13,9,0.183948990019856,0.02,0,0
7,8,13,10,0.172288637344691,0.01,0,0
7,8,13,11,0.209221628020435,0.03,0,0
7,8,13,12,0.208240126533345,0.01,0,0
7,8,13,13,0.205968628638395,0,0,0
7,8,13,14,0.176267673248081,0.02,0,0
7,8,13,15,0.154308388027967,0.01,0,0
7,8,13,16,0.170976402381409,0.02,0,0
7,8,13,17,0.268161286024065,0.01,0,0
7,8,14,7,0.173922116573475,0.02,0,0
7,8,14,8,0.213437242135175,0.02,0,0
7,8,14,9,0.18474502366084,0.02,0,0
7,8,14,10,0.191484804605622,0.02,0,0
