"Layer 1","MSE","User Time","CPU Time","Reutilized"
9,0.258772376332945,0.03,0,0
10,0.228718932343162,0.03,0,0
11,0.378640247926253,0.03,0,0
12,0.2027751337853,0.02,0,0
13,0.465036340828958,0.03,0,0
14,0.48821144976226,0.02,0.01,0
15,0.379997757229051,0.03,0,0
16,0.351303502596356,0.03,0,0
17,0.230288687392683,0.02,0,0
18,0.431190231145754,0.00999999999999998,0,0
19,0.331067773372206,0.02,0,0
