"Layer 1","Layer 2","Layer 3","MSE","User Time","CPU Time","Reutilized"
9,9,9,0.521840640638012,0.04,0,0
9,9,10,0.485249927751417,0.04,0,0
9,9,11,0.436464783644871,0.03,0,0
9,9,12,0.553270290193886,0.03,0,0
9,9,13,0.525761637506192,0.04,0,0
9,9,14,0.407797296565287,0.00999999999999998,0,0
9,9,15,0.618044621488209,0.02,0.01,0
9,9,16,0.647515964393532,0.03,0,0
9,9,17,0.531013269792738,0.03,0,0
9,9,18,0.552427551013252,0.03,0.01,0
9,9,19,0.435553620509607,0.02,0,0
9,10,9,0.454611002674749,0.03,0,0
9,10,10,0.492916737090631,0.03,0,0
9,10,11,0.512526270346911,0.03,0,0
9,10,12,0.384969980930047,0.05,0,0
9,10,13,0.70827442673498,0.03,0,0
9,10,14,0.453962527298223,0.03,0,0
9,10,15,0.469935959786463,0.03,0,0
9,10,16,0.517752702097084,0.02,0,0
9,10,17,0.560389760145354,0.03,0,0
9,10,18,0.950778768163848,0.01,0,0
9,10,19,0.541745063811948,0.02,0,0
9,11,9,0.491994140323489,0.00999999999999995,0,0
9,11,10,0.526234403213608,0.03,0,0
9,11,11,0.398002922573564,0,0.01,0
9,11,12,0.536309507009985,0.03,0,0
9,11,13,0.367830906908824,0.03,0,0
9,11,14,0.493885982224847,0.03,0,0
9,11,15,0.337925321247735,0.04,0,0
9,11,16,0.49005319148223,0.03,0,0
9,11,17,0.361198661471296,0.02,0,0
9,11,18,0.468201160398864,0.04,0,0
9,11,19,0.465241892188135,0.03,0,0
9,12,9,0.479869546832459,0.03,0,0
9,12,10,0.36709290935781,0.03,0,0
9,12,11,0.380610133839993,0.05,0,0
9,12,12,0.543565145211604,0.02,0,0
9,12,13,0.581034922459973,0.03,0,0
9,12,14,0.530464551038593,0.03,0,0
9,12,15,0.476618091693549,0.03,0,0
9,12,16,0.4050130145962,0.03,0,0
9,12,17,0.505903028380671,0.02,0,0
9,12,18,0.682364259578083,0.03,0,0
9,12,19,0.444678987094999,0.01,0,0
9,13,9,0.433081217898349,0.02,0.02,0
9,13,10,0.513580387257075,0.03,0,0
9,13,11,0.492893593551578,0.03,0,0
9,13,12,0.351433064786684,0.04,0,0
9,13,13,0.480294935924547,0.04,0,0
9,13,14,0.487424348412346,0.03,0,0
9,13,15,0.635436802313947,0.05,0,0
9,13,16,0.714205717399505,0.03,0,0
9,13,17,0.539673067292132,0.03,0,0
9,13,18,0.436862322922182,0.05,0,0
9,13,19,0.40255342039339,0.04,0,0
9,14,9,0.552846776922146,0.03,0,0
9,14,10,0.498946469720468,0.01,0,0
9,14,11,0.391342519998957,0.0299999999999999,0,0
9,14,12,0.367049574983928,0.02,0,0
9,14,13,0.598275998613609,0.03,0,0
9,14,14,0.554051085947746,0.03,0,0
9,14,15,0.459203186133554,0.03,0,0
9,14,16,0.455131433584641,0.04,0,0
9,14,17,0.576273395183165,0.01,0,0
9,14,18,0.735537742664205,0.05,0,0
9,14,19,0.577924215135077,0.03,0,0
9,15,9,0.749042024785802,0.02,0,0
9,15,10,0.484879540923943,0.05,0,0
9,15,11,0.512974498275452,0.0299999999999999,0,0
9,15,12,0.488966829573863,0.04,0,0
9,15,13,0.443814378048049,0.04,0,0
