"Layer 1","Layer 2","MSE","User Time","CPU Time"
8,8,NA,0,0
8,9,NA,0,0
8,10,NA,0,0
8,11,NA,0,0
8,12,NA,0,0
8,13,NA,0,0
8,14,NA,0,0
9,8,NA,0,0
9,9,NA,0,0
9,10,NA,0.00999999999999998,0
9,11,NA,0.02,0
9,12,NA,0,0
9,13,NA,0,0
9,14,NA,0,0
10,8,NA,0,0
10,9,NA,0,0
10,10,NA,0,0
10,11,NA,0,0
10,12,NA,0,0
10,13,NA,0,0
10,14,NA,0,0
11,8,NA,0,0
11,9,NA,0,0
11,10,NA,0,0
11,11,NA,0,0
11,12,NA,0,0
11,13,NA,0.02,0
11,14,NA,0.02,0
12,8,NA,0.02,0
12,9,NA,0.00999999999999995,0
12,10,NA,0.00999999999999995,0
12,11,NA,0.00999999999999995,0
12,12,NA,0,0
12,13,NA,0.01,0
12,14,NA,0.02,0
13,8,NA,0.02,0
13,9,NA,0.00999999999999995,0
13,10,NA,0.02,0
13,11,NA,0.02,0
13,12,NA,0,0
13,13,NA,0,0
13,14,NA,0,0
14,8,NA,0,0
14,9,NA,0,0
14,10,NA,0,0
14,11,NA,0,0
14,12,NA,0,0
14,13,NA,0,0
14,14,NA,0,0
