"Layer 1","Layer 2","Layer 3","MSE","User Time","CPU Time"
19,19,19,0.774387353068399,0.05,0.01
19,19,20,1.10151672922281,0.06,0
19,19,21,0.795036023582108,0.06,0
19,19,22,0.940159131008726,0.08,0
19,19,23,0.88962152837049,0.08,0
19,19,24,0.848449760259585,0.04,0.01
19,19,25,0.842106486115658,0.03,0.04
19,20,19,0.716349726030966,0.06,0
19,20,20,0.891715590936231,0.05,0.01
19,20,21,0.716072998825682,0.11,0.05
19,20,22,0.972841244355301,0.05,0.02
19,20,23,0.817343751649979,0.04,0
19,20,24,0.78593304795269,0.06,0
19,20,25,0.813972217988903,0.04,0.02
19,21,19,0.77913571026494,0.04,0
19,21,20,0.809249575139226,0.05,0
19,21,21,0.711099433534246,0.06,0
19,21,22,0.746901188321852,0.05,0.01
19,21,23,0.810829152612583,0.05,0
19,21,24,0.805516931434319,0.05,0
19,21,25,1.00024771677354,0.05,0
19,22,19,0.853918549275374,0.07,0
19,22,20,0.77115355456928,0.05,0
19,22,21,0.761095936515911,0.06,0
19,22,22,0.746925579145968,0.03,0
19,22,23,0.76429651226262,0.05,0
19,22,24,0.768097899408808,0.05,0
19,22,25,0.851977352621527,0.04,0
19,23,19,0.820119391893504,0.03,0
19,23,20,0.7785051413861,0.03,0
19,23,21,0.635741562944857,0.07,0
19,23,22,0.751566870001793,0.05,0
19,23,23,0.792838886791035,0.05,0
19,23,24,0.80070554743931,0.08,0
19,23,25,0.742510568200276,0.0499999999999999,0
19,24,19,0.877411735038275,0.03,0
19,24,20,0.687158690592391,0.0599999999999999,0
19,24,21,1.03563208702564,0.05,0
19,24,22,0.814988997675786,0.05,0
19,24,23,0.715161706142537,0.05,0
19,24,24,0.739349156439795,0.07,0
19,24,25,0.795776576363363,0.03,0.02
19,25,19,0.785967728902851,0.03,0
19,25,20,0.912611210297262,0.0499999999999999,0
19,25,21,0.839232275364769,0.0600000000000001,0
19,25,22,0.784664101399073,0.0499999999999999,0
19,25,23,0.616770700592845,0.0600000000000001,0
19,25,24,0.872182074614286,0.05,0.03
19,25,25,1.05064309359451,0.0600000000000001,0
20,19,19,0.954392420828016,0.0399999999999999,0
20,19,20,0.760222516508762,0.0399999999999999,0
20,19,21,0.877031914861217,0.05,0
20,19,22,0.752190442987875,0.0299999999999999,0
20,19,23,0.862392475150782,0.0700000000000001,0
20,19,24,0.792043927363328,0.0299999999999999,0
20,19,25,0.84632620706013,0.04,0
20,20,19,0.923528195751771,0.0399999999999999,0
20,20,20,0.904053229539207,0.05,0
20,20,21,0.68146478076791,0.05,0
20,20,22,1.14314576482888,0.0499999999999999,0
20,20,23,0.747227737570147,0.0499999999999999,0
20,20,24,0.861309295162109,0.0499999999999999,0
20,20,25,0.803715100768078,0.0399999999999999,0
20,21,19,0.686764666877315,0.0499999999999999,0
20,21,20,0.955752036647999,0.03,0
20,21,21,0.825573587781135,0.04,0
20,21,22,1.39126032221834,0.04,0
20,21,23,1.27501315949833,0.0600000000000001,0
20,21,24,0.812787105242845,0.0599999999999998,0
20,21,25,0.77436844110279,0.03,0
20,22,19,0.828339101105709,0.03,0
20,22,20,0.792385827050978,0.03,0
