"Layer 1","Layer 2","MSE","User Time","CPU Time"
2,2,0.571536934754014,0.00999999999999998,0
2,3,1.4095784043572,0.02,0
2,4,0.625650535374796,0,0
2,5,0.685005776116819,0.02,0
2,6,2.10335523524342,0.00999999999999998,0
2,7,0.700062573511736,0.02,0
2,8,0.751936952325902,0.00999999999999998,0
3,2,1.73187187510647,0.02,0
3,3,1.29240704597804,0.00999999999999998,0
3,4,1.21622733890957,0.00999999999999998,0
3,5,0.64669279117612,0.02,0
3,6,0.757650668480079,0.02,0
3,7,1.88616665133414,0.00999999999999998,0
3,8,0.782397926585295,0,0
4,2,1.8313994414987,0,0
4,3,2.56331996601906,0,0
4,4,2.47871395166708,0.01,0
4,5,1.32145652347271,0.02,0
4,6,0.613090892048165,0,0
4,7,3.08732167191627,0,0
4,8,0.870430167129625,0.02,0
5,2,0.400343593997798,0,0
5,3,0.40122935776411,0.00999999999999995,0
5,4,0.899332596944377,0.02,0
5,5,1.80611392982637,0.00999999999999995,0
5,6,1.04229909796877,0.00999999999999995,0
5,7,1.4818620308632,0.00999999999999995,0
5,8,0.605631938960859,0.02,0
6,2,0.576425970207377,0.02,0
6,3,0.463600974161348,0.02,0
6,4,0.478505883008864,0.01,0
6,5,0.985221943141494,0.02,0
6,6,0.877737071815479,0,0
6,7,0.487721186206726,0,0
6,8,0.590878832036422,0.00999999999999995,0
7,2,0.956667076852437,0.01,0
7,3,0.535545869611238,0,0
7,4,0.780550306829819,0.02,0
7,5,0.562571361665972,0,0
7,6,0.471783063988788,0,0
7,7,1.38269957042413,0,0
7,8,1.41681610653345,0.02,0
8,2,0.624739739410949,0.01,0
8,3,0.616264784979463,0,0
8,4,0.630394312776247,0.02,0
8,5,0.853732408475461,0,0
8,6,1.34685122481152,0,0
8,7,1.72505796708197,0,0
8,8,1.24595002912864,0,0
