"Layer 1","Layer 2","MSE","User Time","CPU Time"
8,8,10.520008462733,0.00999999999999998,0
8,9,6.38473238986335,0.02,0
8,10,8.09703009699405,0.02,0
8,11,6.28820991354569,0.00999999999999998,0
8,12,13.6611227207774,0.02,0
8,13,7.02345185930176,0.00999999999999998,0
8,14,8.14585741298665,0.02,0
9,8,7.10102880909881,0.02,0
9,9,6.8362750179419,0.00999999999999998,0
9,10,9.60030077640164,0.00999999999999998,0
9,11,5.93940819238736,0.02,0
9,12,9.06361758523785,0.02,0
9,13,9.02952943090969,0.02,0
9,14,8.1804762510767,0.01,0
10,8,6.84233603545563,0.01,0
10,9,9.37479118185977,0.02,0
10,10,6.46636443035288,0.01,0
10,11,5.45049004693981,0.00999999999999998,0
10,12,5.36829734966723,0.01,0
10,13,6.13022441481508,0.02,0
10,14,7.21824343436507,0.02,0
11,8,7.43903494330926,0.02,0
11,9,8.41484597777094,0,0
11,10,6.48595373124624,0,0
11,11,7.04585920787726,0.02,0
11,12,8.01933996238698,0.02,0
11,13,6.34283641502024,0.02,0
11,14,9.06946320205212,0.02,0
12,8,9.77224029879211,0,0
12,9,6.21263387258112,0.02,0
12,10,4.5047679746124,0.02,0
12,11,4.01876199409487,0.02,0
12,12,6.87456403096052,0.01,0
12,13,9.88144300424713,0.00999999999999995,0
12,14,7.66175323125401,0.02,0
13,8,6.47949863576417,0.02,0
13,9,9.24346968616406,0.02,0
13,10,17.9175401675771,0.02,0
13,11,5.40626039976276,0.00999999999999995,0
13,12,7.54756184417723,0.01,0
13,13,5.15716770180082,0.00999999999999995,0
13,14,5.62569492094518,0.00999999999999995,0
14,8,4.54916108074373,0,0
14,9,4.04148527508143,0,0
14,10,5.89275888806416,0,0
14,11,11.0833510662619,0.02,0
14,12,15.15118341438,0,0
14,13,14.5530240307003,0,0
14,14,10.495831348199,0,0
