"Layer 1","MSE","User Time","CPU Time"
67,37.5790912423992,0.55,0.03
68,39.9878477480774,0.47,0
69,39.0800566080963,0.47,0
70,37.9733780029465,0.48,0.02
71,34.9159756071445,0.41,0.03
72,39.8227803051404,0.44,0.04
73,44.1218110351957,0.54,0.01
