"Layer 1","Layer 2","Layer 3","MSE","User Time","CPU Time","Reutilized"
5,5,5,0.339988574041064,0.02,0,0
5,5,6,0.308498065872765,0.02,0,0
5,5,7,0.320694012020935,0.00999999999999998,0,0
5,5,8,0.339664489416205,0.02,0,0
5,5,9,0.320637678636948,0.00999999999999998,0,0
5,5,10,0.329144227295269,0.02,0,0
5,5,11,0.35001867706393,0,0,0
5,5,12,0.30844285619058,0.02,0,0
5,5,13,0.329656772328564,0.00999999999999998,0,0
5,5,14,0.35243303738496,0.02,0,0
5,5,15,0.29379631775651,0.02,0,0
5,6,5,0.349980949253838,0.01,0,0
5,6,6,0.284308789470027,0.02,0,0
5,6,7,0.352710068597819,0.02,0,0
5,6,8,0.308037440231698,0.02,0,0
5,6,9,0.343698953652166,0,0,0
5,6,10,0.348778287087409,0,0,0
5,6,11,0.322269289453523,0.01,0,0
5,6,12,0.381825406363206,0.01,0,0
5,6,13,0.29313089690967,0.02,0,0
5,6,14,0.327588229997854,0.01,0,0
5,6,15,0.417761416194421,0.02,0,0
5,7,5,0.330699648220229,0.02,0,0
5,7,6,0.336811692440717,0.00999999999999995,0,0
5,7,7,0.318850658047283,0.00999999999999995,0,0
5,7,8,0.358405220179017,0.02,0,0
5,7,9,0.313365919986494,0.02,0,0
5,7,10,0.312023623550784,0.00999999999999995,0,0
5,7,11,0.320257243050208,0,0,0
5,7,12,0.312256134246701,0,0,0
5,7,13,0.329280781566695,0.02,0,0
5,7,14,0.331026676588633,0.01,0,0
5,7,15,0.370074832004328,0.00999999999999995,0,0
5,8,5,0.407912276950792,0.02,0,0
5,8,6,0.332949150568611,0.02,0,0
5,8,7,0.288161498314107,0,0,0
5,8,8,0.303875828041737,0.00999999999999995,0,0
5,8,9,0.324092753822694,0.02,0,0
5,8,10,0.276410411449572,0.02,0,0
5,8,11,0.49324676287328,0.01,0,0
5,8,12,0.358036746205849,0.00999999999999995,0,0
5,8,13,0.358037178330483,0.02,0,0
5,8,14,0.428236850627153,0.00999999999999995,0,0
5,8,15,0.389404173043821,0.02,0,0
5,9,5,0.350229169853414,0.02,0,0
5,9,6,0.334266112687853,0.01,0,0
5,9,7,0.395082043566645,0,0,0
5,9,8,0.360839738126356,0.02,0,0
5,9,9,0.378945254803463,0,0,0
5,9,10,0.326222229618084,0,0.01,0
5,9,11,0.341473060478208,0.02,0,0
5,9,12,0.374177103956013,0.02,0,0
5,9,13,0.322444598025566,0.02,0,0
5,9,14,0.283730167234301,0,0,0
5,9,15,0.318685791420263,0.02,0,0
5,10,5,0.478167218192441,0,0,0
5,10,6,0.333467367042445,0.02,0,0
5,10,7,0.290278799298679,0.01,0,0
5,10,8,0.358711623155335,0.02,0,0
5,10,9,0.370963944884179,0.01,0,0
5,10,10,0.290505279437999,0.02,0,0
5,10,11,0.487037104468063,0,0.02,0
5,10,12,0.338997257176316,0.02,0,0
5,10,13,0.274310497410551,0.01,0,0
5,10,14,0.299788692822296,0.01,0,0
5,10,15,0.323681380777686,0.02,0,0
5,11,5,0.346590888733709,0.01,0,0
5,11,6,0.34513245655694,0.02,0,0
5,11,7,0.344085229877527,0.02,0,0
5,11,8,0.38703883813766,0.02,0,0
5,11,9,0.374622775256284,0.02,0,0
5,11,10,0.282348701162005,0.02,0,0
5,11,11,0.341690738877831,0,0,0
5,11,12,0.324062518848403,0.02,0,0
5,11,13,0.308684163278275,0.0099999999999999,0,0
5,11,14,0.666896079284826,0.02,0,0
5,11,15,0.292886545760072,0,0,0
5,12,5,0.349257565674134,0.02,0,0
5,12,6,0.391483181138312,0.01,0,0
5,12,7,0.345897781107715,0.02,0,0
5,12,8,0.328309695354856,0.01,0,0
5,12,9,0.375136974348415,0.0099999999999999,0,0
5,12,10,0.293613433296324,0.02,0,0
5,12,11,0.372695186869595,0.02,0,0
5,12,12,0.296321325337837,0.03,0,0
5,12,13,0.427234577090515,0.0099999999999999,0,0
5,12,14,0.36475571787378,0,0.01,0
5,12,15,0.395648831020367,0.02,0,0
5,13,5,0.349868282228417,0,0,0
5,13,6,0.400525615575602,0.02,0,0
5,13,7,0.406239622649817,0.01,0,0
5,13,8,0.456792259709782,0.01,0,0
5,13,9,0.293809551685598,0.02,0,0
5,13,10,0.360002390198627,0,0,0
5,13,11,0.433287735111237,0.0299999999999999,0,0
5,13,12,0.352403532470521,0.03,0,0
5,13,13,0.310741619727179,0.0199999999999999,0,0
5,13,14,0.369824681596689,0.02,0,0
5,13,15,0.277427454580211,0.02,0,0
5,14,5,0.257769265808995,0.01,0,0
5,14,6,0.318600196465043,0.01,0,0
5,14,7,0.310571016827712,0.01,0,0
5,14,8,0.37264305537766,0.01,0,0
5,14,9,0.359243535226779,0.01,0,0
5,14,10,0.315597667440957,0.0199999999999999,0,0
5,14,11,0.278111092311948,0.02,0,0
5,14,12,0.322095324967456,0.01,0,0
5,14,13,0.331149205354016,0.01,0,0
5,14,14,0.457587787026521,0.02,0,0
5,14,15,0.357863625186734,0.02,0,0
5,15,5,0.335330081511332,0.01,0,0
5,15,6,0.352095440084181,0.0199999999999999,0,0
5,15,7,0.330148747820799,0.02,0,0
5,15,8,0.330080687285038,0.02,0,0
5,15,9,0.415757689750201,0.02,0,0
5,15,10,0.333640616985257,0.01,0,0
5,15,11,0.368007958023975,0.02,0,0
5,15,12,0.320007065359971,0.0099999999999999,0,0
5,15,13,0.434004552621735,0.02,0,0
5,15,14,0.437269944199516,0.02,0,0
5,15,15,0.409745974541639,0.01,0,0
6,5,5,0.349754877946357,0.02,0,0
6,5,6,0.380672742536571,0.02,0,0
6,5,7,0.359040738960295,0,0,0
6,5,8,0.337774157327613,0,0,0
6,5,9,0.336302481741173,0.01,0,0
6,5,10,0.291798024665198,0.0099999999999999,0,0
6,5,11,0.308422592312946,0.01,0,0
6,5,12,0.332337271150632,0,0,0
6,5,13,0.362174652968109,0.02,0,0
6,5,14,0.329597882104326,0,0,0
6,5,15,0.301211199123944,0.02,0,0
6,6,5,0.352211185361748,0,0,0
6,6,6,0.322061587723857,0.01,0,0
