"Layer 1","Layer 2","Layer 3","MSE","User Time","CPU Time","Reutilized"
9,9,9,0.236577380718038,0.00999999999999998,0,0
9,9,10,0.22953486136313,0.03,0,0
9,9,11,0.256672958662353,0.03,0,0
9,9,12,0.161281525544593,0.03,0,0
9,9,13,0.294192248596207,0.03,0,0
9,9,14,0.222327179596889,0.03,0,0
9,9,15,0.36381327542398,0.02,0,0
9,9,16,0.249845710521283,0.03,0,0
9,9,17,0.198077634397226,0.04,0,0
9,9,18,0.238637680479064,0.03,0,0
9,9,19,0.248585664786972,0,0.03,0
9,10,9,0.289319543971377,0.03,0,0
9,10,10,0.193907121205368,0.03,0,0
9,10,11,0.160476074075747,0.03,0,0
9,10,12,0.268184732974174,0.01,0,0
9,10,13,0.232396176768478,0.02,0,0
9,10,14,0.192243983360746,0,0,0
9,10,15,0.342264867324107,0.02,0,0
9,10,16,0.238734901904652,0.03,0,0
9,10,17,0.215296441668614,0.02,0,0
9,10,18,0.222675836522476,0.00999999999999995,0,0
9,10,19,0.222214015420734,0.02,0,0
9,11,9,0.24489296646612,0.04,0,0
9,11,10,0.21433122389701,0.03,0,0
9,11,11,0.310985450095364,0.02,0,0
9,11,12,0.248812157907633,0.03,0,0
9,11,13,0.219291069117162,0,0,0
9,11,14,0.214307928102502,0,0,0
9,11,15,0.347303476893825,0.03,0,0
9,11,16,0.243270961421821,0.03,0,0
9,11,17,0.233094517758728,0.02,0,0
9,11,18,0.272254251463725,0.03,0,0
9,11,19,0.279335586496715,0.03,0,0
9,12,9,0.365737868277199,0.02,0,0
9,12,10,0.242534744622499,0.03,0,0
9,12,11,0.22961808330035,0.02,0,0
9,12,12,0.177266545584236,0.03,0,0
9,12,13,0.151549773529884,0.01,0,0
9,12,14,0.573344739168275,0.04,0,0
9,12,15,0.149843107342973,0.03,0,0
9,12,16,0.327124447341749,0.03,0,0
9,12,17,0.262692031791962,0.02,0,0
9,12,18,0.179413068424234,0.03,0,0
9,12,19,0.336295617959909,0.02,0,0
9,13,9,0.192377696145511,0.01,0,0
9,13,10,0.219873269698567,0,0,0
9,13,11,0.253192978696429,0.01,0,0
9,13,12,0.227465182365675,0.03,0,0
9,13,13,0.202955682036693,0.05,0,0
9,13,14,0.244785003394602,0.05,0,0
9,13,15,0.202271538511739,0.04,0,0
9,13,16,0.252330608620649,0.03,0,0
9,13,17,0.212248570952347,0.0099999999999999,0,0
9,13,18,0.265605018259453,0.04,0,0
9,13,19,0.268025090222854,0.03,0,0
9,14,9,0.437839797327397,0.03,0,0
9,14,10,0.162986528296978,0.01,0,0
9,14,11,0.195836315789119,0.04,0,0
9,14,12,0.260134261935288,0.0299999999999999,0,0
9,14,13,0.284783839132469,0.01,0,0
9,14,14,0.28995017239616,0.03,0,0
9,14,15,0.24346117322901,0.01,0,0
9,14,16,0.234063157954088,0.03,0,0
9,14,17,0.264054056797234,0.0099999999999999,0,0
9,14,18,0.233955613630091,0.03,0,0
9,14,19,0.37348622524855,0.03,0,0
9,15,9,0.22469198374793,0.01,0,0
9,15,10,0.398643498302203,0.02,0,0
9,15,11,0.24788830785112,0.03,0,0
9,15,12,0.268182833821747,0.02,0,0
9,15,13,0.193738912307455,0.03,0,0
9,15,14,0.177747401680218,0.04,0,0
9,15,15,0.243701933206042,0.02,0,0
9,15,16,0.376462547545227,0,0,0
9,15,17,0.295216976730197,0.02,0,0
9,15,18,0.154234003487519,0.03,0,0
9,15,19,0.390661571897164,0.02,0,0
9,16,9,0.224724695794106,0.0299999999999999,0,0
9,16,10,0.246718181939469,0.0199999999999999,0,0
9,16,11,0.184459053091694,0.04,0,0
9,16,12,0.234043579498127,0.03,0,0
9,16,13,0.241757335320475,0.02,0,0
9,16,14,0.251415452755223,0.04,0,0
9,16,15,0.286344869571416,0.03,0,0
9,16,16,0.29000523471689,0.02,0,0
9,16,17,0.158307000232263,0.01,0.01,0
9,16,18,0.387791815469283,0.0299999999999999,0,0
9,16,19,0.220650880914915,0.01,0,0
9,17,9,0.273293233890888,0.03,0,0
9,17,10,0.265606588165718,0.0299999999999999,0,0
9,17,11,0.274651143564698,0.02,0,0
9,17,12,0.241195306003856,0.0299999999999999,0,0
9,17,13,0.257741532763434,0.03,0,0
9,17,14,0.232300011436346,0.02,0,0
9,17,15,0.231730043767121,0.01,0,0
9,17,16,0.302684913362502,0.03,0,0
9,17,17,0.249567491898787,0.04,0,0
9,17,18,0.257431911408863,0.02,0,0
9,17,19,0.280844471223383,0.03,0.02,0
9,18,9,0.263290837124747,0.0299999999999999,0,0
9,18,10,0.237033490007835,0.04,0,0
9,18,11,0.29477610151613,0.02,0,0
9,18,12,0.292055278021878,0.03,0,0
9,18,13,0.310573686695187,0.01,0,0
9,18,14,0.289491900926461,0.0299999999999999,0,0
9,18,15,0.302554529807194,0,0,0
9,18,16,0.176133322980959,0.04,0,0
9,18,17,0.305721400922299,0.0299999999999999,0,0
9,18,18,0.203787367488674,0.0299999999999999,0,0
9,18,19,0.221797163886585,0.01,0,0
9,19,9,0.188738133808213,0.02,0,0
9,19,10,0.492340689173851,0.04,0,0
9,19,11,0.276707748379111,0.02,0,0
9,19,12,0.21915372758148,0,0,0
9,19,13,0.285995236563309,0.0499999999999999,0,0
9,19,14,0.211094100393898,0.03,0,0
9,19,15,0.266435828505201,0.0299999999999999,0,0
9,19,16,0.317060396152663,0.0499999999999999,0,0
9,19,17,0.336298963834755,0.03,0,0
9,19,18,0.202139405804439,0.05,0,0
9,19,19,0.204238626804957,0.01,0,0
10,9,9,0.209299502203917,0.02,0,0
10,9,10,0.195677333248534,0.0199999999999999,0,0
10,9,11,0.235202866616871,0.01,0,0
10,9,12,0.184098047067704,0.01,0,0
10,9,13,0.238421090815212,0.03,0,0
10,9,14,0.263442688219481,0.02,0,0
10,9,15,0.253904668314992,0.04,0,0
10,9,16,0.188176046465912,0.01,0,0
10,9,17,0.202424836252649,0.03,0,0
10,9,18,0.220159877081228,0.01,0,0
10,9,19,0.255817129308765,0.01,0,0
10,10,9,0.186924248661051,0.03,0,0
10,10,10,0.236152619733384,0.01,0,0
10,10,11,0.177644989854409,0.04,0,0
10,10,12,0.207915695932806,0.03,0,0
10,10,13,0.286809551821599,0.01,0,0
10,10,14,0.288504173999761,0.02,0,0
10,10,15,0.211634351369001,0.03,0,0
10,10,16,0.263857610073116,0,0,0
10,10,17,0.240532796629213,0.01,0,0
10,10,18,0.273805755810436,0.02,0,0
10,10,19,0.271370857341145,0.01,0,0
10,11,9,0.245510522830326,0.01,0,0
10,11,10,0.210008044423863,0.02,0,0
10,11,11,0.228784565283313,0.02,0,0
10,11,12,0.2100229423314,0.03,0,0
10,11,13,0.193588393418808,0.0399999999999998,0,0
10,11,14,0.235857345864903,0.03,0,0
10,11,15,0.323804106009924,0.03,0,0
10,11,16,0.255921550371996,0.0399999999999998,0,0
10,11,17,0.236357445533662,0.03,0,0
10,11,18,0.19552841377989,0.03,0,0
10,11,19,0.208555523150294,0.02,0,0
10,12,9,0.23722590338911,0.02,0,0
10,12,10,0.223570803019103,0.0299999999999998,0,0
10,12,11,0.298402743762204,0.03,0,0
10,12,12,0.290924835577141,0.03,0,0
10,12,13,0.191844245551608,0.03,0,0
10,12,14,0.284072952635959,0.0499999999999998,0,0
10,12,15,0.289877599974007,0.01,0,0
10,12,16,0.261300209318804,0.04,0,0
10,12,17,0.227979343208492,0.02,0,0
10,12,18,0.231686462017851,0.03,0,0
10,12,19,0.254880066080037,0.03,0,0
10,13,9,0.262064243361609,0.0199999999999998,0,0
10,13,10,0.160057960742408,0.01,0,0
10,13,11,0.269044857967046,0.02,0,0
10,13,12,0.218505197971237,0.01,0,0
10,13,13,0.232937984400276,0.02,0,0
10,13,14,0.247974599765794,0.01,0,0
10,13,15,0.22046739869851,0.05,0,0
10,13,16,0.187153460265069,0.03,0,0
10,13,17,0.260095817092656,0.03,0,0
10,13,18,0.196549544711235,0.03,0,0
10,13,19,0.21009864467669,0.03,0,0
10,14,9,0.163392421631635,0.01,0,0
10,14,10,0.219901693469497,0.02,0,0
10,14,11,0.183924999064897,0.03,0,0
10,14,12,0.245416205428714,0.02,0,0
10,14,13,0.284261616688965,0.01,0,0
10,14,14,0.315682036861391,0.03,0,0
10,14,15,0.197965198415158,0.03,0,0
10,14,16,0.195130993409671,0,0,0
10,14,17,0.215288592967271,0.03,0,0
10,14,18,0.227193989894806,0.0399999999999998,0,0
10,14,19,0.197814398243872,0.03,0,0
10,15,9,0.161333678069382,0.0399999999999998,0,0
10,15,10,0.290365650164599,0.03,0,0
10,15,11,0.181547893683083,0.03,0,0
10,15,12,0.236777423534814,0.0199999999999998,0,0
10,15,13,0.351689591814721,0.03,0,0
10,15,14,0.225470809244416,0.01,0,0
10,15,15,0.245508866308946,0.03,0,0
10,15,16,0.285489656804162,0.01,0,0
10,15,17,0.22380958106788,0.03,0,0
10,15,18,0.199869598792066,0.03,0,0
10,15,19,0.159885379871461,0.03,0,0
10,16,9,0.232538590528564,0.03,0,0
10,16,10,0.288553648588866,0.01,0,0
10,16,11,0.229829332124319,0.03,0,0
10,16,12,0.185212639421232,0.03,0,0
10,16,13,0.211193105773467,0.03,0,0
10,16,14,0.165753649982972,0.02,0,0
