"Layer 1","MSE","User Time","CPU Time","Reutilized"
21,1.7799394741517,0.03,0,0
22,1.77800942752539,0.05,0,0
23,2.73570874589836,0.03,0.01,0
24,2.54927977039811,0.04,0,0
25,0.974822731684064,0.05,0,0
26,1.65848457432915,0.02,0.01,0
27,1.39894076730684,0.05,0,0
28,2.17142428154872,0.03,0.01,0
29,1.16037622793585,0.03,0.01,0
30,1.91668081785372,0.03,0.02,0
31,1.09922382759952,0.05,0.02,0
