"Layer 1","Layer 2","Layer 3","MSE","User Time","CPU Time"
11,11,11,0.245857000701876,0.03,0.02
11,11,12,0.576639870172182,0.05,0
11,11,13,0.370646870897479,0.05,0
11,11,14,0.559331136198748,0.08,0.01
11,11,15,0.371469725035424,0.03,0.02
11,11,16,0.257559382814866,0.03,0
11,11,17,0.270740052540759,0.03,0.01
11,12,11,0.392292054390808,0.00999999999999998,0.02
11,12,12,0.37032232567936,0.05,0
11,12,13,0.487625046548478,0.07,0
11,12,14,0.448013412183237,0.03,0
11,12,15,0.448570108811966,0.03,0
11,12,16,0.371020515427159,0.03,0
11,12,17,0.541674081770988,0.04,0
11,13,11,0.372312179569318,0.06,0
11,13,12,0.340412952637506,0.00999999999999995,0
11,13,13,0.258872365544783,0.03,0
11,13,14,0.347831986318928,0.03,0
11,13,15,0.337942431101624,0.01,0
11,13,16,0.253036434692366,0.02,0
11,13,17,0.34569711451301,0.03,0
11,14,11,0.374797498479985,0.03,0
11,14,12,0.245969180546641,0.02,0
11,14,13,0.317563085796335,0.03,0
11,14,14,0.274913755604352,0.04,0
11,14,15,0.601063717467794,0.03,0
11,14,16,0.268930958853206,0.03,0
11,14,17,0.290164206075352,0.01,0
11,15,11,0.248586843364453,0.03,0
11,15,12,0.441888948622416,0.04,0
11,15,13,0.342475010950864,0.02,0
11,15,14,0.331389750386907,0.04,0
11,15,15,0.372641207337789,0.04,0
11,15,16,0.271245763938087,0.05,0
11,15,17,0.375350618532572,0.03,0.01
11,16,11,0.436931222270966,0.03,0
11,16,12,0.456952224693759,0.01,0
11,16,13,0.415803598149651,0.03,0.02
11,16,14,0.441085070509333,0.03,0
11,16,15,0.275364552603556,0.03,0
11,16,16,0.386492738610183,0.03,0
11,16,17,0.324226379301238,0.02,0
11,17,11,0.473743258424408,0.03,0
11,17,12,0.405937265429719,0.02,0
11,17,13,0.288178801291044,0.03,0
11,17,14,0.439770213172447,0.04,0
11,17,15,0.273771341701244,0.01,0
11,17,16,0.364487932582715,0.03,0
11,17,17,0.359514119145373,0.03,0
12,11,11,0.406776000469616,0.03,0
12,11,12,0.46223916221652,0.01,0
12,11,13,0.553491281416754,0.03,0
