"Layer 1","Layer 2","Layer 3","MSE","User Time","CPU Time"
9,9,9,4.00574724213399,0.00999999999999998,0
9,9,10,4.1254626287176,0.02,0
9,9,11,4.91163169592035,0.03,0.01
9,9,12,4.02652704261248,0.02,0
9,9,13,3.9526473323918,0.03,0
9,9,14,4.42790188320492,0.03,0
9,9,15,5.07461945430655,0.05,0
9,10,9,4.00801319517648,0.05,0
9,10,10,5.01442700349493,0.04,0
9,10,11,3.95924500976611,0.03,0
9,10,12,4.70609980434664,0.03,0
9,10,13,3.90920884908831,0.02,0
9,10,14,4.32970816179011,0.02,0
9,10,15,4.20949677685679,0.01,0
9,11,9,4.1850315379154,0.00999999999999995,0
9,11,10,3.94713143422475,0.03,0
9,11,11,4.08366324445677,0.01,0
9,11,12,5.03478353214562,0.03,0
9,11,13,4.05543111965083,0.02,0
9,11,14,4.26627344662268,0.01,0
9,11,15,4.1037862983977,0.02,0
9,12,9,4.94232404131657,0.03,0
9,12,10,4.07940330421716,0.01,0
9,12,11,4.38635622048489,0.01,0
9,12,12,4.11799210239919,0.00999999999999995,0
9,12,13,4.27614532094472,0.02,0
9,12,14,4.32951136071607,0.02,0
9,12,15,3.9839727416982,0.03,0
9,13,9,4.22319913641902,0.01,0
9,13,10,4.26458862263019,0.00999999999999995,0
9,13,11,4.33095937699664,0.02,0
9,13,12,4.00912290511542,0.00999999999999995,0
9,13,13,3.8160912489097,0.02,0
9,13,14,3.9498450766955,0.02,0
9,13,15,3.99618215468821,0.02,0
9,14,9,4.10976330215918,0.02,0
9,14,10,4.03933950408216,0.02,0
9,14,11,4.27405575535771,0.01,0
9,14,12,4.02676965169078,0.02,0
9,14,13,4.70668799592386,0.03,0
9,14,14,4.01548471763118,0.04,0
9,14,15,3.94879917135442,0.03,0
9,15,9,3.94153830060035,0.00999999999999995,0
9,15,10,4.10333781333313,0.01,0
9,15,11,4.0655522814237,0.02,0
9,15,12,3.87880568678657,0.03,0
9,15,13,3.87198364850861,0.03,0
9,15,14,3.73485861621991,0.03,0
9,15,15,5.04261575362015,0.03,0
10,9,9,3.93635940589103,0.02,0
10,9,10,4.1454104905563,0.02,0
10,9,11,4.17300352559009,0.03,0
10,9,12,4.35969932430244,0.02,0
10,9,13,4.87975960115545,0.01,0
10,9,14,4.10111580978581,0.04,0
10,9,15,3.952599276094,0.01,0
10,10,9,4.14016484913295,0.01,0
10,10,10,4.3685767732153,0.01,0
10,10,11,3.85542370788586,0.03,0
10,10,12,3.85458851212674,0.03,0
10,10,13,3.94580305611306,0.01,0
10,10,14,4.16956144206588,0.01,0
10,10,15,4.14919016864723,0.03,0
10,11,9,4.21615279669395,0,0
10,11,10,4.12938185257114,0.03,0
10,11,11,4.22212404028612,0.03,0
10,11,12,3.9495674843065,0.02,0
10,11,13,4.39130534960383,0.02,0
10,11,14,4.05394435409946,0.0299999999999999,0
10,11,15,4.10689098037613,0.0299999999999999,0
10,12,9,4.040866135772,0.02,0
10,12,10,4.0945018324084,0.0099999999999999,0
10,12,11,3.77215912238752,0.02,0
10,12,12,4.02801891266608,0.02,0
10,12,13,4.08786085513174,0.0099999999999999,0
10,12,14,3.98069243455554,0.02,0
10,12,15,4.10469250536204,0.03,0
10,13,9,4.04192777628868,0.02,0
10,13,10,4.05102452130317,0.02,0
10,13,11,4.05471083320138,0.02,0
10,13,12,4.09987937890729,0.03,0
10,13,13,4.12959937747468,0.03,0
10,13,14,4.03732349969764,0.02,0
10,13,15,3.95919307065311,0.0299999999999999,0
10,14,9,4.03750832178262,0.02,0
10,14,10,4.14301262210374,0.02,0
10,14,11,3.81113108514212,0.01,0
10,14,12,4.759250739678,0.03,0
10,14,13,4.45233939094608,0.03,0
10,14,14,3.92136372216966,0.01,0
10,14,15,4.56905328342547,0.01,0
10,15,9,4.11423692923259,0.01,0
10,15,10,3.99102474638306,0.04,0
10,15,11,4.70516036558731,0.0199999999999999,0
10,15,12,4.38903184388184,0.01,0
10,15,13,4.70969737758198,0.0199999999999999,0
10,15,14,3.90341155301803,0.02,0
10,15,15,4.70550556542763,0.04,0
11,9,9,3.65198877710828,0.03,0
11,9,10,3.99243810834914,0.01,0
11,9,11,4.1679616974676,0.02,0
11,9,12,3.92436769011336,0.02,0
11,9,13,4.36961653327595,0.01,0
11,9,14,3.73970787751056,0.02,0
11,9,15,4.16133764200211,0.01,0
11,10,9,4.12970256133054,0.01,0
11,10,10,3.97540971575266,0.01,0
11,10,11,4.21313635828876,0.02,0
11,10,12,3.99775522323152,0.03,0
11,10,13,4.06626406820429,0.03,0
11,10,14,4.51036286968536,0.02,0
11,10,15,3.84677603177205,0.03,0
11,11,9,4.67043103935454,0.0099999999999999,0
11,11,10,4.30869867324652,0.01,0
11,11,11,4.0476698041381,0.0099999999999999,0
11,11,12,3.88426274829864,0.0099999999999999,0
11,11,13,4.51571182272362,0.02,0
11,11,14,3.97596577329588,0.02,0
11,11,15,4.46874131620894,0.04,0
11,12,9,4.09714341040919,0.01,0
11,12,10,3.98285725969471,0.02,0
11,12,11,4.14118360703233,0.02,0
11,12,12,4.12455711188248,0.03,0
11,12,13,4.13740026331114,0.04,0
11,12,14,3.83051459937715,0.01,0
11,12,15,3.94018324762621,0.04,0
11,13,9,4.05703253879224,0.02,0
11,13,10,3.93832768903937,0.02,0
11,13,11,4.13904407099575,0.02,0
11,13,12,3.95874902395178,0.0299999999999999,0
11,13,13,4.18610360060894,0.0299999999999999,0
11,13,14,4.14252958444403,0.01,0
11,13,15,4.16770967625449,0.02,0
11,14,9,4.43982597702698,0.0299999999999999,0
11,14,10,4.39001860433017,0.03,0
11,14,11,4.15610535942528,0.02,0
11,14,12,3.90498812273187,0.01,0
11,14,13,4.32505918755505,0.0199999999999999,0
11,14,14,4.30101816988741,0.0199999999999999,0
