"Layer 1","MSE","User Time","CPU Time"
7,0.917122214853773,0.02,0
8,0.324586922783068,0.02,0
9,0.609172047592092,0.02,0
10,0.385408350268284,0.02,0
11,0.582168605832825,0.02,0
12,0.389361155070739,0,0.01
13,0.460086414963533,0.02,0
