"Layer 1","Layer 2","Layer 3","Layer 4","MSE","User Time","CPU Time","Reutilized"
21,21,21,21,0.91623016193776,0.06,0.01,0
21,21,21,22,1.02094279711324,0.09,0,0
21,21,21,23,0.918171930778175,0.03,0.03,0
21,21,21,24,0.936827146888771,0.07,0.01,0
21,21,21,25,0.954931308496338,0.06,0.01,0
21,21,21,26,0.909653976222807,0.09,0,0
21,21,21,27,0.902665616371079,0.02,0.06,0
21,21,21,28,0.930649792582255,0.06,0.02,0
21,21,21,29,0.908633457029872,0.08,0,0
21,21,21,30,0.921283858155191,0.08,0.01,0
21,21,21,31,0.893955173598651,0.09,0,0
21,21,22,21,0.942182672944846,0.06,0,0
21,21,22,22,0.883462112238695,0.06,0,0
21,21,22,23,0.965152373169949,0.06,0,0
21,21,22,24,0.932123417366913,0.06,0,0
21,21,22,25,0.863117069093268,0.08,0,0
21,21,22,26,0.839395134641544,0.06,0,0
21,21,22,27,0.958999280803245,0.07,0,0
21,21,22,28,0.821732974091646,0.08,0,0
21,21,22,29,0.7863851054189,0.1,0,0
21,21,22,30,0.911936711059058,0.06,0,0
21,21,22,31,0.954745405688148,0.06,0,0
21,21,23,21,0.919701781144031,0.06,0,0
21,21,23,22,1.02265225423039,0.08,0,0
21,21,23,23,0.763383431264332,0.05,0,0
21,21,23,24,0.904569049709556,0.06,0,0
21,21,23,25,0.895826155187933,0.08,0,0
21,21,23,26,0.91510924935142,0.07,0,0
21,21,23,27,0.950392309793792,0.05,0,0
21,21,23,28,0.984969105298654,0.06,0,0
21,21,23,29,0.960335652605756,0.08,0,0
21,21,23,30,0.864411294989643,0.08,0,0
21,21,23,31,0.91627539957384,0.05,0.01,0
21,21,24,21,0.863430895319604,0.0599999999999999,0,0
21,21,24,22,0.910730209115074,0.0599999999999999,0,0
21,21,24,23,0.909830982191101,0.0599999999999999,0,0
21,21,24,24,0.951787376849802,0.08,0,0
21,21,24,25,0.833486117888457,0.0599999999999999,0,0
21,21,24,26,0.9182425336155,0.0800000000000001,0,0
21,21,24,27,0.966578433243859,0.08,0,0
21,21,24,28,0.990762611683838,0.0599999999999999,0,0
21,21,24,29,0.920703789190131,0.0800000000000001,0,0
21,21,24,30,0.910327249284125,0.0800000000000001,0,0
21,21,24,31,0.952948907186064,0.08,0,0
21,21,25,21,0.901829272756897,0.07,0,0
21,21,25,22,0.864501583013329,0.0599999999999999,0,0
21,21,25,23,0.880880512875465,0.0599999999999999,0,0
21,21,25,24,0.933617732595976,0.07,0,0
21,21,25,25,0.960867120867125,0.08,0,0
21,21,25,26,0.922949645605065,0.0700000000000001,0,0
21,21,25,27,1.01523234324004,0.0800000000000001,0,0
21,21,25,28,0.844359363371438,0.08,0,0
21,21,25,29,0.910435574210604,0.0599999999999999,0,0
21,21,25,30,0.898545298729768,0.0800000000000001,0,0
21,21,25,31,0.845873312219932,0.09,0,0
21,21,26,21,0.85128116526883,0.08,0,0
21,21,26,22,0.906644504059555,0.0599999999999999,0,0
21,21,26,23,0.813024738725204,0.08,0,0
21,21,26,24,0.866638387203628,0.08,0,0
21,21,26,25,0.959736728065091,0.08,0,0
21,21,26,26,0.838445117949258,0.0800000000000001,0,0
21,21,26,27,0.87911917136765,0.0800000000000001,0,0
21,21,26,28,0.966981694112008,0.0800000000000001,0,0
21,21,26,29,0.89402054459804,0.07,0,0
21,21,26,30,0.886856228458939,0.08,0,0
21,21,26,31,0.931847959466087,0.08,0,0
21,21,27,21,0.964019786443532,0.08,0,0
21,21,27,22,0.955797434112058,0.07,0,0
21,21,27,23,1.00781696325089,0.08,0.01,0
21,21,27,24,0.894497577439396,0.08,0,0
21,21,27,25,0.911521578176041,0.08,0,0
21,21,27,26,0.94225955387831,0.0700000000000001,0,0
21,21,27,27,0.959468736661686,0.0900000000000001,0,0
21,21,27,28,0.922320206002591,0.0700000000000001,0,0
21,21,27,29,0.902621042352137,0.0700000000000001,0,0
21,21,27,30,0.879437543173231,0.0600000000000001,0,0
21,21,27,31,0.98268805975472,0.0699999999999998,0.02,0
21,21,28,21,0.920600965508822,0.0699999999999998,0,0
21,21,28,22,0.912009126838284,0.0799999999999998,0,0
21,21,28,23,0.927553524793249,0.0799999999999998,0,0
21,21,28,24,0.924443007450178,0.0799999999999998,0,0
21,21,28,25,0.923808738968028,0.0999999999999999,0,0
21,21,28,26,0.915396647005387,0.0700000000000001,0,0
21,21,28,27,0.914643614401299,0.0900000000000001,0,0
21,21,28,28,0.918225545806634,0.0799999999999998,0,0
21,21,28,29,0.935464462755901,0.0800000000000001,0,0
21,21,28,30,0.869438121471755,0.0900000000000001,0,0
21,21,28,31,0.953804801906535,0.0900000000000001,0,0
21,21,29,21,0.953650547616215,0.0600000000000001,0,0
21,21,29,22,0.969391525899494,0.0800000000000001,0,0
21,21,29,23,0.989340304468872,0.0600000000000001,0,0
21,21,29,24,0.914399898974196,0.0900000000000001,0,0
21,21,29,25,0.903529950525481,0.0700000000000001,0,0
21,21,29,26,0.911216293966019,0.0900000000000001,0,0
21,21,29,27,0.870952463853957,0.0800000000000001,0,0
21,21,29,28,0.953632214650497,0.0799999999999998,0,0
21,21,29,29,0.904860411123329,0.0900000000000001,0,0
21,21,29,30,0.910598665591874,0.0899999999999999,0,0
21,21,29,31,0.876399274336515,0.0800000000000001,0,0
21,21,30,21,0.911070339758794,0.0799999999999998,0,0
21,21,30,22,0.93696456246041,0.0599999999999998,0,0
21,21,30,23,0.916150187264793,0.0799999999999998,0,0
21,21,30,24,0.915667677432582,0.0799999999999998,0,0
21,21,30,25,0.87015683593414,0.0800000000000001,0,0
21,21,30,26,0.89269259305527,0.0999999999999999,0,0
21,21,30,27,0.955757014908987,0.0800000000000001,0,0
21,21,30,28,0.933989927843936,0.1,0,0
21,21,30,29,0.980810159623347,0.0800000000000001,0,0
21,21,30,30,0.96078499897154,0.0900000000000001,0,0
21,21,30,31,0.876547434217181,0.1,0,0
21,21,31,21,0.897659792114652,0.1,0,0
21,21,31,22,0.872367504995425,0.0700000000000001,0,0
21,21,31,23,0.942533347251209,0.0700000000000001,0,0
21,21,31,24,0.854244707308977,0.1,0,0
21,21,31,25,0.890689230030333,0.0799999999999998,0,0
21,21,31,26,0.933028207097164,0.0900000000000001,0,0
21,21,31,27,0.851303042538343,0.0999999999999999,0,0
21,21,31,28,0.887372941079047,0.0799999999999998,0,0
21,21,31,29,0.887967314215654,0.0999999999999999,0,0
21,21,31,30,1.06763071671805,0.0899999999999999,0,0
21,21,31,31,0.892072154852726,0.1,0,0
21,22,21,21,0.953694590047077,0.05,0,0
21,22,21,22,0.908949222569192,0.0600000000000001,0,0
21,22,21,23,0.921470440029272,0.0600000000000001,0,0
21,22,21,24,0.911850908954178,0.0799999999999998,0,0
21,22,21,25,0.908041826643215,0.0800000000000001,0,0
21,22,21,26,0.906902392692984,0.0600000000000001,0,0
21,22,21,27,0.879684363015493,0.0600000000000001,0,0
21,22,21,28,0.886763696017894,0.0600000000000001,0,0
21,22,21,29,0.978751512876386,0.0800000000000001,0,0
21,22,21,30,0.869528746637336,0.0600000000000001,0,0
21,22,21,31,0.903206543851481,0.0700000000000001,0,0
21,22,22,21,0.89426136419438,0.0600000000000001,0,0
21,22,22,22,0.910078127003007,0.0600000000000001,0,0
21,22,22,23,0.862376062446389,0.0699999999999998,0,0
21,22,22,24,0.905384701934256,0.0600000000000001,0,0
21,22,22,25,0.949746002332991,0.0799999999999998,0,0
21,22,22,26,0.938859772389267,0.0600000000000001,0,0
21,22,22,27,0.905410291368424,0.0699999999999998,0,0
21,22,22,28,0.941756025855124,0.0600000000000001,0,0
21,22,22,29,0.976133243626893,0.0600000000000001,0,0
21,22,22,30,0.899686958646323,0.0800000000000001,0,0
21,22,22,31,0.858854659886777,0.0800000000000001,0,0
21,22,23,21,0.939810399827908,0.0599999999999998,0,0
21,22,23,22,0.88354862066428,0.0799999999999998,0,0
21,22,23,23,0.876430635980263,0.0599999999999998,0,0
21,22,23,24,0.927693010308612,0.0700000000000001,0,0
21,22,23,25,0.927207434072807,0.0800000000000001,0,0
21,22,23,26,0.991874262458913,0.0700000000000001,0,0
21,22,23,27,0.907668124060696,0.0600000000000001,0,0
21,22,23,28,0.920781216215468,0.0600000000000001,0,0
21,22,23,29,0.930646416871649,0.0700000000000003,0,0
21,22,23,30,0.885251080875393,0.0800000000000001,0,0
21,22,23,31,0.883445820329074,0.1,0,0
21,22,24,21,0.906804537553666,0.0500000000000003,0,0
21,22,24,22,0.940057081762098,0.0800000000000001,0,0
21,22,24,23,0.915069162827523,0.0600000000000001,0,0
21,22,24,24,0.850164934245182,0.0800000000000001,0,0
21,22,24,25,0.919346773075401,0.0600000000000001,0,0
21,22,24,26,0.92652565356809,0.0700000000000003,0,0
21,22,24,27,0.893529790626124,0.1,0,0
21,22,24,28,0.947952051980443,0.1,0,0
21,22,24,29,0.877968230260639,0.0899999999999999,0,0
21,22,24,30,0.942599508729232,0.0800000000000001,0,0
21,22,24,31,0.931211590558568,0.0699999999999998,0,0
21,22,25,21,0.925575592038382,0.0799999999999996,0,0
21,22,25,22,0.859574250503694,0.1,0,0
21,22,25,23,0.8928065081452,0.0800000000000001,0,0
21,22,25,24,0.953604763996149,0.0600000000000001,0,0
21,22,25,25,0.88526092917938,0.0799999999999996,0,0
21,22,25,26,0.877688563722337,0.0799999999999996,0,0
21,22,25,27,0.894718425676036,0.0800000000000001,0,0
21,22,25,28,0.889768317629043,0.0800000000000001,0,0
21,22,25,29,0.943080287125929,0.0800000000000001,0,0
21,22,25,30,0.945478505654648,0.0800000000000001,0,0
21,22,25,31,0.961922061111192,0.0699999999999998,0,0
21,22,26,21,0.849811923220059,0.0600000000000001,0,0
21,22,26,22,0.907826805571235,0.0600000000000001,0,0
21,22,26,23,0.925850627840767,0.0600000000000001,0,0
21,22,26,24,0.914891684721823,0.0600000000000001,0,0
21,22,26,25,0.971850419911262,0.0600000000000001,0,0
21,22,26,26,0.900306440576785,0.0800000000000001,0,0
21,22,26,27,0.926084172377526,0.0800000000000001,0,0
21,22,26,28,0.863153729284716,0.0899999999999999,0,0
21,22,26,29,0.940458071663754,0.0799999999999996,0,0
21,22,26,30,0.82890805905753,0.0800000000000001,0,0
21,22,26,31,0.941505157393979,0.1,0,0
21,22,27,21,0.909369448774903,0.0600000000000001,0,0
21,22,27,22,0.922636092871745,0.0699999999999998,0,0
21,22,27,23,0.898056398063639,0.0599999999999996,0,0
21,22,27,24,0.847140320945364,0.0600000000000001,0,0
21,22,27,25,0.937806079942272,0.0800000000000001,0,0
21,22,27,26,0.901886327673172,0.0800000000000001,0,0
21,22,27,27,0.929773201507651,0.0800000000000001,0,0
21,22,27,28,0.945307262658762,0.0800000000000001,0,0
21,22,27,29,1.09159289752113,0.0900000000000003,0,0
21,22,27,30,1.04042363547238,0.0899999999999999,0,0
21,22,27,31,0.978243419012073,0.0699999999999998,0,0
21,22,28,21,0.938267514769449,0.0700000000000003,0,0
21,22,28,22,0.911148525983541,0.0800000000000001,0,0
21,22,28,23,0.901045200240973,0.0700000000000003,0,0
21,22,28,24,0.926617924707501,0.0799999999999996,0,0
21,22,28,25,0.903034079945112,0.0800000000000001,0,0
21,22,28,26,0.931475310337229,0.0800000000000001,0,0
21,22,28,27,0.906168469588968,0.0799999999999996,0,0
21,22,28,28,0.89349977653107,0.1,0,0
21,22,28,29,0.865337634472311,0.0899999999999999,0,0
21,22,28,30,0.943955897071066,0.0899999999999999,0,0
21,22,28,31,0.917430480462995,0.1,0,0
21,22,29,21,0.910463635992415,0.0800000000000001,0,0
21,22,29,22,0.900351350943958,0.0800000000000001,0,0
21,22,29,23,0.898806134643644,0.0800000000000001,0,0
21,22,29,24,0.942812937479774,0.1,0,0
21,22,29,25,0.899096600074502,0.0800000000000001,0,0
21,22,29,26,0.872719860801942,0.0900000000000003,0,0
21,22,29,27,0.922002386217222,0.0800000000000001,0,0
21,22,29,28,0.931268566451327,0.0800000000000001,0,0
21,22,29,29,0.902217783255003,0.0899999999999999,0,0
