"Layer 1","Layer 2","Layer 3","Layer 4","MSE","User Time","CPU Time"
8,8,8,8,NA,0.00999999999999998,0
8,8,8,9,NA,0.02,0
8,8,8,10,NA,0.02,0
8,8,8,11,NA,0.02,0
8,8,8,12,NA,0.02,0
8,8,8,13,NA,0.02,0
8,8,8,14,NA,0.00999999999999998,0
8,8,9,8,NA,0.02,0
8,8,9,9,NA,0.02,0
8,8,9,10,NA,0.02,0
8,8,9,11,NA,0.02,0
8,8,9,12,NA,0.02,0
8,8,9,13,NA,0.02,0
8,8,9,14,NA,0.02,0
8,8,10,8,NA,0.01,0
8,8,10,9,NA,0.02,0
8,8,10,10,NA,0.02,0
8,8,10,11,NA,0,0
8,8,10,12,NA,0.01,0
8,8,10,13,NA,0,0
8,8,10,14,NA,0,0
8,8,11,8,NA,0,0
8,8,11,9,NA,0.00999999999999995,0
8,8,11,10,NA,0.00999999999999995,0
8,8,11,11,NA,0.01,0
8,8,11,12,NA,0.02,0
8,8,11,13,NA,0.01,0
8,8,11,14,NA,0.01,0
8,8,12,8,NA,0.00999999999999995,0
8,8,12,9,NA,0.00999999999999995,0
8,8,12,10,NA,0.02,0
8,8,12,11,NA,0.02,0
8,8,12,12,NA,0.00999999999999995,0
8,8,12,13,NA,0.02,0
8,8,12,14,NA,0,0
8,8,13,8,NA,0,0
8,8,13,9,NA,0.02,0
8,8,13,10,NA,0,0
8,8,13,11,NA,0,0
8,8,13,12,NA,0.00999999999999995,0
8,8,13,13,NA,0.01,0
8,8,13,14,NA,0,0
8,8,14,8,NA,0.00999999999999995,0
8,8,14,9,NA,0.01,0
8,8,14,10,NA,0.01,0
8,8,14,11,NA,0.01,0
8,8,14,12,NA,0.02,0
8,8,14,13,NA,0.02,0
8,8,14,14,NA,0.01,0
8,9,8,8,NA,0,0
8,9,8,9,NA,0,0
8,9,8,10,NA,0,0
8,9,8,11,NA,0.01,0
8,9,8,12,NA,0,0
8,9,8,13,NA,0.02,0
8,9,8,14,NA,0,0
8,9,9,8,NA,0,0
8,9,9,9,NA,0.02,0
8,9,9,10,NA,0.01,0
8,9,9,11,NA,0.02,0
8,9,9,12,NA,0.01,0
8,9,9,13,NA,0.02,0
8,9,9,14,NA,0.02,0
8,9,10,8,NA,0,0
8,9,10,9,NA,0,0
8,9,10,10,NA,0.02,0
8,9,10,11,NA,0.02,0
8,9,10,12,NA,0,0
8,9,10,13,NA,0,0
8,9,10,14,NA,0,0
8,9,11,8,NA,0,0
8,9,11,9,NA,0,0
8,9,11,10,NA,0,0
8,9,11,11,NA,0.02,0
8,9,11,12,NA,0.01,0
8,9,11,13,NA,0.01,0
8,9,11,14,NA,0,0
8,9,12,8,NA,0.02,0
8,9,12,9,NA,0.01,0
8,9,12,10,NA,0.02,0
8,9,12,11,NA,0.02,0
8,9,12,12,NA,0.01,0
8,9,12,13,NA,0.02,0
8,9,12,14,NA,0,0
8,9,13,8,NA,0,0
8,9,13,9,NA,0,0
8,9,13,10,NA,0,0
8,9,13,11,NA,0.01,0
8,9,13,12,NA,0.01,0
8,9,13,13,NA,0.01,0
8,9,13,14,NA,0.02,0
8,9,14,8,NA,0,0
8,9,14,9,NA,0.02,0
8,9,14,10,NA,0.0199999999999999,0
8,9,14,11,NA,0.02,0
8,9,14,12,NA,0.02,0
8,9,14,13,NA,0.01,0
8,9,14,14,NA,0,0
8,10,8,8,NA,0,0
8,10,8,9,NA,0,0
8,10,8,10,NA,0.01,0
8,10,8,11,NA,0,0
8,10,8,12,NA,0,0
8,10,8,13,NA,0.02,0
8,10,8,14,NA,0,0
8,10,9,8,NA,0,0
8,10,9,9,NA,0.02,0
8,10,9,10,NA,0.01,0
8,10,9,11,NA,0.01,0
8,10,9,12,NA,0,0
8,10,9,13,NA,0.0199999999999999,0
8,10,9,14,NA,0,0
8,10,10,8,NA,0.01,0
8,10,10,9,NA,0.02,0
8,10,10,10,NA,0,0
8,10,10,11,NA,0.02,0
8,10,10,12,NA,0.02,0
8,10,10,13,NA,0,0
8,10,10,14,NA,0.0199999999999999,0
8,10,11,8,NA,0,0
8,10,11,9,NA,0,0
8,10,11,10,NA,0,0
8,10,11,11,NA,0,0
8,10,11,12,NA,0.02,0
8,10,11,13,NA,0,0
8,10,11,14,NA,0.02,0
8,10,12,8,NA,0,0
8,10,12,9,NA,0.02,0
8,10,12,10,NA,0.01,0
8,10,12,11,NA,0.0099999999999999,0
8,10,12,12,NA,0.02,0
8,10,12,13,NA,0,0
8,10,12,14,NA,0.0099999999999999,0
8,10,13,8,NA,0.02,0
8,10,13,9,NA,0.01,0
8,10,13,10,NA,0.0099999999999999,0
8,10,13,11,NA,0,0
8,10,13,12,NA,0.01,0
8,10,13,13,NA,0,0
8,10,13,14,NA,0,0
8,10,14,8,NA,0,0
8,10,14,9,NA,0.02,0
8,10,14,10,NA,0.02,0
8,10,14,11,NA,0,0
8,10,14,12,NA,0,0
8,10,14,13,NA,0,0
8,10,14,14,NA,0.02,0
8,11,8,8,NA,0.01,0
8,11,8,9,NA,0,0
8,11,8,10,NA,0.02,0
8,11,8,11,NA,0.02,0
8,11,8,12,NA,0.02,0
8,11,8,13,NA,0,0
8,11,8,14,NA,0,0
8,11,9,8,NA,0.02,0
8,11,9,9,NA,0.01,0
8,11,9,10,NA,0.01,0
8,11,9,11,NA,0,0
8,11,9,12,NA,0,0
8,11,9,13,NA,0.01,0
8,11,9,14,NA,0,0
8,11,10,8,NA,0,0
8,11,10,9,NA,0,0
8,11,10,10,NA,0.02,0
8,11,10,11,NA,0.02,0
8,11,10,12,NA,0.01,0
8,11,10,13,NA,0,0
8,11,10,14,NA,0,0
8,11,11,8,NA,0.01,0
8,11,11,9,NA,0.02,0
8,11,11,10,NA,0,0
8,11,11,11,NA,0.02,0
8,11,11,12,NA,0.01,0
8,11,11,13,NA,0.02,0
8,11,11,14,NA,0,0
8,11,12,8,NA,0,0
8,11,12,9,NA,0,0
8,11,12,10,NA,0.01,0
8,11,12,11,NA,0.01,0
8,11,12,12,NA,0.01,0
8,11,12,13,NA,0.01,0
8,11,12,14,NA,0.01,0
8,11,13,8,NA,0.01,0
8,11,13,9,NA,0,0
8,11,13,10,NA,0.01,0
8,11,13,11,NA,0.01,0
8,11,13,12,NA,0.01,0
8,11,13,13,NA,0.01,0
8,11,13,14,NA,0.0199999999999998,0
8,11,14,8,NA,0,0
8,11,14,9,NA,0.02,0
8,11,14,10,NA,0.01,0
8,11,14,11,NA,0.01,0
8,11,14,12,NA,0.02,0
8,11,14,13,NA,0.02,0
8,11,14,14,NA,0.02,0
8,12,8,8,NA,0,0
8,12,8,9,NA,0.02,0
8,12,8,10,NA,0,0
8,12,8,11,NA,0.01,0
8,12,8,12,NA,0,0
8,12,8,13,NA,0,0
8,12,8,14,NA,0.01,0
8,12,9,8,NA,0,0
8,12,9,9,NA,0,0
8,12,9,10,NA,0.02,0
8,12,9,11,NA,0.01,0
