"Layer 1","MSE","User Time","CPU Time"
17,0.525752573908924,0.00999999999999998,0
18,1.46252210905403,0.03,0
19,0.455683039822807,0.00999999999999998,0.02
20,0.636285194530772,0.03,0.01
21,1.67972476640061,0.03,0
22,1.26698709429817,0.03,0
23,1.86312176655523,0.02,0.03
