"Layer 1","Layer 2","MSE","User Time","CPU Time"
6,6,0.528107152776403,0.02,0
6,7,0.392073162942287,0.00999999999999998,0
6,8,0.432999883836187,0.02,0
6,9,0.404163338938955,0.03,0
6,10,0.3841546686528,0.02,0
6,11,0.538593421710775,0.00999999999999998,0
6,12,0.466289074381461,0.02,0
7,6,0.460235186148354,0.02,0
7,7,0.382172023236145,0.00999999999999998,0
7,8,0.425969076493754,0.02,0
7,9,0.475326366094131,0.03,0
7,10,0.349830617928577,0.01,0
7,11,0.285440515597241,0,0
7,12,0.284908325843877,0.02,0
8,6,0.410788769114331,0.01,0
8,7,0.406019542412972,0.02,0
8,8,0.503568645850215,0.03,0
8,9,0.382004509700803,0.00999999999999998,0
8,10,0.312151632719766,0.01,0
8,11,0.458603094946456,0.00999999999999998,0
8,12,0.37870010735235,0.00999999999999995,0
9,6,0.429064537294059,0.01,0
9,7,0.365469787781715,0.02,0
9,8,0.490391969879802,0,0
9,9,0.373475086922999,0.03,0
9,10,0.363397246809426,0.02,0
9,11,1.07845513883396,0.03,0
9,12,0.613606152445913,0.02,0
10,6,0.504157480325476,0.02,0
10,7,0.424055802540927,0.01,0
10,8,0.648874844547927,0.01,0
10,9,0.488849068126906,0.01,0
10,10,0.276683318659283,0.02,0
10,11,0.441582199042717,0.00999999999999995,0
10,12,0.410368949480279,0.02,0
11,6,0.489386456441292,0.01,0
11,7,0.451261323946398,0.02,0
11,8,0.546088962852319,0.01,0
11,9,0.26570071698844,0.02,0
11,10,0.388532780170134,0.02,0
11,11,0.313717624411002,0.02,0
11,12,0.668145159244727,0.02,0
12,6,0.388975395155465,0,0
12,7,0.548785594374441,0.02,0
12,8,0.642393719859552,0,0
12,9,0.432889595238256,0.02,0
12,10,0.488215136422644,0.02,0
12,11,0.792036869381285,0.02,0
12,12,0.534617377554945,0,0
