"1st layer","2nd layer","3rd layer","4th layer","MSE","User Time","CPU Time"
7,9,10,10,0.357761231464347,0.02,0
7,9,10,11,0.329514254705817,0.02,0
7,9,10,12,0.428250424773536,0.02,0
7,9,10,13,0.325572726376263,0.02,0
7,9,11,7,0.347837342081548,0.02,0
7,9,11,8,0.347475690344307,0.0199999999999999,0
7,9,11,9,0.338786780627108,0.02,0
7,9,11,10,0.378758029085892,0,0
7,9,11,11,0.347048957502257,0.01,0
7,9,11,12,0.376321411962115,0.02,0
7,9,11,13,0.339681127354575,0,0
7,9,12,7,0.349286066732566,0.01,0
7,9,12,8,0.347027235305933,0,0
7,9,12,9,0.371887032304253,0.02,0
7,9,12,10,0.348821796448508,0.02,0
7,9,12,11,0.362576370275681,0.01,0
7,9,12,12,0.358561331084541,0,0
7,9,12,13,0.340422306841103,0.03,0
7,9,13,7,0.37403001156296,0.02,0
7,9,13,8,0.356605848208731,0.02,0
7,9,13,9,0.352590525417911,0.01,0
7,9,13,10,0.323992841147607,0.01,0
7,9,13,11,0.390483877720037,0.01,0
7,9,13,12,0.410582386116537,0.03,0
7,9,13,13,0.334192762770486,0.03,0
7,10,7,7,0.340739557219165,0.02,0
7,10,7,8,0.379210876073976,0.01,0
7,10,7,9,0.314594230860811,0.01,0
7,10,7,10,0.278346844432384,0.01,0
7,10,7,11,0.356938774022952,0.02,0
7,10,7,12,0.324702919535675,0.01,0
7,10,7,13,0.326821674042501,0.02,0
7,10,8,7,0.371367771685904,0.03,0
7,10,8,8,0.337194670088966,0.01,0
7,10,8,9,0.35506392939239,0.01,0
7,10,8,10,0.330495972891897,0.01,0
7,10,8,11,0.336943628208641,0.01,0
7,10,8,12,0.345812136085046,0.02,0
7,10,8,13,0.351229084816787,0.01,0
7,10,9,7,0.36496424890468,0.01,0
7,10,9,8,0.326308146738542,0.02,0
7,10,9,9,0.293516594234572,0.02,0
7,10,9,10,0.326120159002628,0.02,0
7,10,9,11,0.332629885267779,0.01,0
7,10,9,12,0.388622382381264,0.0199999999999998,0
7,10,9,13,0.428562611739011,0.01,0
7,10,10,7,0.34922203311985,0.02,0
7,10,10,8,0.377739646682821,0.0199999999999998,0
7,10,10,9,0.346734960115752,0.01,0
7,10,10,10,0.357406141362487,0.01,0
7,10,10,11,0.354892556951709,0.01,0
7,10,10,12,0.317042204308042,0.01,0
7,10,10,13,0.340094151727456,0.02,0
7,10,11,7,0.332205553850221,0.02,0
7,10,11,8,0.36905189966596,0.01,0
7,10,11,9,0.352539932327135,0.01,0
7,10,11,10,0.35070621792929,0,0
7,10,11,11,0.370349049565664,0.02,0
7,10,11,12,0.315219619393749,0.03,0
7,10,11,13,0.367764100093264,0.0199999999999998,0
7,10,12,7,0.360997996614085,0.02,0
7,10,12,8,0.359775701094948,0.01,0
7,10,12,9,0.359748058002767,0,0
7,10,12,10,0.367118147648304,0.01,0
7,10,12,11,0.374840138686851,0,0
7,10,12,12,0.343095325895616,0.02,0
7,10,12,13,0.383465339400548,0.02,0
7,10,13,7,0.345634745663621,0.03,0
7,10,13,8,0.29100660470378,0.03,0
7,10,13,9,0.340480344283253,0.02,0
7,10,13,10,0.359048120807497,0.01,0
7,10,13,11,0.331549036501487,0,0
7,10,13,12,0.288501220711002,0.01,0
7,10,13,13,0.352139116448655,0.01,0
7,11,7,7,0.321390148599538,0.02,0
7,11,7,8,0.332639669657521,0.02,0
7,11,7,9,0.301596452845345,0.02,0
7,11,7,10,0.341451387560887,0.02,0
7,11,7,11,0.334204704777921,0.02,0
7,11,7,12,0.306208118801953,0.01,0
7,11,7,13,0.356418626418505,0.02,0
7,11,8,7,0.328744292598817,0.01,0
7,11,8,8,0.334857309035516,0.01,0
7,11,8,9,0.345490008105146,0.02,0
7,11,8,10,0.345187014496936,0.02,0
7,11,8,11,0.352298510655495,0.01,0
7,11,8,12,0.272872035445504,0.03,0
7,11,8,13,0.381110301528599,0.01,0
7,11,9,7,0.34920482410036,0.02,0
7,11,9,8,0.343214054184352,0.01,0
7,11,9,9,0.337550687201081,0.01,0
7,11,9,10,0.365822049114384,0.02,0
7,11,9,11,0.376808097557741,0.02,0
7,11,9,12,0.375815007298663,0.02,0
7,11,9,13,0.389524487882947,0,0
7,11,10,7,0.356702103412313,0.01,0
7,11,10,8,0.346385960376749,0.02,0
7,11,10,9,0.348559728376916,0.01,0
7,11,10,10,0.347416445636718,0.01,0
7,11,10,11,0.3609833440644,0,0
7,11,10,12,0.334318086267397,0.0199999999999998,0
7,11,10,13,0.348481470078338,0.02,0
7,11,11,7,0.358273791092178,0.02,0
7,11,11,8,0.340021723225271,0.01,0
7,11,11,9,0.336264770732347,0.02,0
7,11,11,10,0.337598226274245,0.01,0
7,11,11,11,0.348060814193151,0.0199999999999998,0
7,11,11,12,0.353908801082364,0.02,0
7,11,11,13,0.30051794844086,0.02,0
7,11,12,7,0.371804183711986,0.02,0
7,11,12,8,0.34677230444883,0.01,0
7,11,12,9,0.31930951753104,0.03,0
7,11,12,10,0.345630934242416,0.02,0
7,11,12,11,0.331513856406708,0.02,0
7,11,12,12,0.320216078031958,0.02,0
7,11,12,13,0.33887329095267,0.03,0
7,11,13,7,0.348572936312732,0.03,0
7,11,13,8,0.326208407059418,0.0199999999999998,0
7,11,13,9,0.352043807609796,0.01,0
7,11,13,10,0.305133641050003,0.03,0
7,11,13,11,0.342559847591281,0.01,0
7,11,13,12,0.313725907691312,0.02,0
7,11,13,13,0.376247362152497,0.03,0
7,12,7,7,0.357179879426867,0.01,0
7,12,7,8,0.38090955106429,0.01,0
7,12,7,9,0.34573289444375,0.02,0
7,12,7,10,0.314814384849104,0.03,0
7,12,7,11,0.372053131249443,0.02,0
7,12,7,12,0.339448071843377,0.02,0
7,12,7,13,0.332322883295396,0.02,0
7,12,8,7,0.29654834311146,0,0
7,12,8,8,0.334491084027347,0.0199999999999998,0
7,12,8,9,0.33637926604981,0.02,0
7,12,8,10,0.337643437343245,0.03,0
7,12,8,11,0.374247009246432,0.02,0
7,12,8,12,0.454346451780883,0,0
7,12,8,13,0.360679438039036,0.02,0
7,12,9,7,0.344297897554793,0.02,0
7,12,9,8,0.352936837571015,0.03,0
7,12,9,9,0.339080611363321,0.01,0
7,12,9,10,0.345003276668935,0.01,0
7,12,9,11,0.333793411958431,0.01,0
7,12,9,12,0.332608278631956,0.02,0
7,12,9,13,0.266613244460041,0.02,0
7,12,10,7,0.343975135494243,0.02,0
7,12,10,8,0.337940427048369,0.01,0
7,12,10,9,0.327012247921765,0.0199999999999998,0
7,12,10,10,0.345028159193579,0.01,0
7,12,10,11,0.352297150304811,0.02,0
7,12,10,12,0.349938150093268,0.02,0
7,12,10,13,0.35886848313897,0.02,0
7,12,11,7,0.340582821170027,0.01,0
7,12,11,8,0.328298230937397,0.03,0
7,12,11,9,0.349492719735097,0.02,0
7,12,11,10,0.320736302057476,0,0
7,12,11,11,0.299941812035976,0.02,0
