"Layer 1","Layer 2","MSE","User Time","CPU Time"
34,34,0.600723177883514,0.14,0
34,35,0.986789067852463,0.12,0.01
34,36,1.09372247196294,0.14,0
34,37,0.659096567187898,0.09,0.05
34,38,1.07797461245919,0.09,0.04
34,39,2.91714962704905,0.17,0.01
34,40,1.98610533491992,0.16,0
35,34,0.756066438806319,0.12,0.01
35,35,0.786103871234313,0.13,0
35,36,0.765572557720647,0.1,0.05
35,37,0.845712465003951,0.12,0.03
35,38,1.18875476253401,0.12,0
35,39,0.698561852675478,0.12,0
35,40,0.613442551876557,0.11,0
36,34,0.705495774788522,0.09,0
36,35,2.01147430332514,0.11,0
36,36,1.07681423265195,0.13,0
36,37,0.788820930720728,0.11,0
36,38,1.69065112908163,0.11,0.02
36,39,1.84124488835255,0.12,0
36,40,0.887885341507991,0.12,0
37,34,0.790387837631321,0.09,0
37,35,0.316431737271003,0.11,0
37,36,0.989344323158456,0.11,0
37,37,1.09084319557628,0.11,0
37,38,0.90246997138868,0.11,0
37,39,2.13260368848744,0.12,0
37,40,0.897317409364552,0.11,0
38,34,0.589194591779748,0.11,0
38,35,0.927561722246314,0.12,0
38,36,0.797496792162727,0.11,0
38,37,3.54075922275835,0.12,0
38,38,0.509044811059204,0.0900000000000001,0
38,39,0.652437597550872,0.11,0
38,40,0.908939357347872,0.13,0
39,34,0.741203730932808,0.13,0
39,35,2.19910346044958,0.13,0
39,36,0.914265820959417,0.1,0
39,37,0.563270881106061,0.11,0
39,38,1.45951131168802,0.12,0
39,39,0.705454163101384,0.1,0
39,40,0.947924652301949,0.13,0
40,34,0.637502130786826,0.11,0
40,35,1.35444680626619,0.1,0
40,36,1.75495834202404,0.0900000000000001,0
40,37,0.599459568117516,0.0800000000000001,0
40,38,1.36286358420798,0.0800000000000001,0
40,39,0.866704877262836,0.1,0
40,40,0.588905394036069,0.0599999999999999,0
