"Layer 1","Layer 2","Layer 3","MSE","User Time","CPU Time"
35,35,35,0.0791510994193276,0.21,0
35,35,36,1.11505324495696,0.45,0.02
35,35,37,0.103964192760237,0.25,0.02
35,35,38,0.0962952639790862,0.21,0.06
35,35,39,0.141202524265333,0.22,0.01
35,35,40,0.268940958953591,0.24,0.02
35,35,41,0.0813803145167496,0.21,0.02
35,36,35,0.0952692740469055,0.19,0.03
35,36,36,0.0898603010281871,0.21,0.03
35,36,37,0.248036498926088,0.38,0.05
35,36,38,0.0911662717337703,0.25,0.02
35,36,39,0.178098637703985,0.17,0
35,36,40,0.0961009841973306,0.36,0
35,36,41,0.0916358780644418,0.25,0
35,37,35,0.153106765909015,0.24,0
35,37,36,0.102625793646901,0.33,0
35,37,37,0.0971374791365887,0.21,0
35,37,38,0.123849127378421,0.28,0
35,37,39,0.0956405778725463,0.19,0
35,37,40,0.156605776130505,0.28,0
35,37,41,0.149881217948797,0.19,0
35,38,35,0.0804075716058622,0.2,0
35,38,36,0.0828747100688942,0.2,0
35,38,37,0.184599336079761,0.4,0
35,38,38,0.104950439360423,0.19,0.01
35,38,39,0.121740266021468,0.41,0
35,38,40,0.107723968647998,0.3,0
35,38,41,0.0867642803375361,0.19,0
35,39,35,0.105149152532734,0.21,0
35,39,36,0.178112543397506,0.25,0
35,39,37,0.1984176754857,0.22,0
35,39,38,0.227722678606106,0.42,0
35,39,39,0.0862057938816341,0.17,0
35,39,40,0.0941752005769941,0.29,0
35,39,41,0.0979396090055074,0.19,0
35,40,35,0.11447621030238,0.23,0
35,40,36,0.150460279932174,0.31,0
35,40,37,0.0927379444671901,0.29,0
35,40,38,0.107388365013011,0.24,0
35,40,39,0.185065033901371,0.25,0
35,40,40,0.0796036935026708,0.26,0
35,40,41,0.120417317521278,0.3,0
35,41,35,0.0779411202398773,0.2,0
35,41,36,0.810764377989749,0.3,0
35,41,37,0.448557750337061,0.64,0
35,41,38,0.0894737904356123,0.2,0
35,41,39,0.122522093459402,0.41,0
35,41,40,0.167764852975727,0.3,0
35,41,41,0.113251265341526,0.23,0
36,35,35,0.12943539565981,0.24,0
36,35,36,0.0832167141154825,0.19,0
36,35,37,0.0811003065974106,0.25,0
36,35,38,0.144106788717291,0.28,0
36,35,39,0.0771746629255699,0.19,0
36,35,40,0.181617599522882,0.51,0
36,35,41,0.20008000100443,0.22,0
36,36,35,0.16114311543285,0.27,0
36,36,36,0.0920504453870801,0.16,0
36,36,37,0.136812496518931,0.22,0
36,36,38,0.200336174471054,0.23,0
36,36,39,0.106578353725211,0.16,0
36,36,40,0.0773503103798619,0.18,0
36,36,41,0.0783171286986342,0.23,0
36,37,35,0.0817366523675799,0.19,0
36,37,36,0.129669252230436,0.18,0
36,37,37,0.111809567007285,0.18,0
36,37,38,0.0773532764451154,0.22,0
36,37,39,0.125779784851594,0.18,0
36,37,40,0.110911914872263,0.26,0
36,37,41,0.0976970548754195,0.28,0
36,38,35,0.179784188399127,0.36,0
36,38,36,0.100464960006904,0.17,0
36,38,37,0.0980629848486919,0.19,0
36,38,38,0.256782292698038,0.3,0
36,38,39,0.101349174870791,0.28,0
36,38,40,0.13200509150485,0.3,0
36,38,41,0.116384306107403,0.22,0
36,39,35,0.07963801542048,0.19,0
36,39,36,0.109093803159557,0.25,0
36,39,37,0.102362318889761,0.24,0
36,39,38,0.0828763766320176,0.23,0
36,39,39,0.45162676162964,0.42,0
36,39,40,0.0984461296722265,0.28,0
36,39,41,0.102550841355254,0.23,0
36,40,35,0.079031116671554,0.19,0
36,40,36,0.079993703710359,0.2,0
36,40,37,0.0847445600649848,0.19,0
36,40,38,0.0793899121011548,0.23,0
36,40,39,0.14039339364833,0.36,0
36,40,40,0.114390613333627,0.22,0
36,40,41,0.188144784600228,0.22,0
36,41,35,0.0779169836462242,0.19,0
36,41,36,0.0852678123231196,0.25,0
36,41,37,0.0954356410606862,0.28,0
36,41,38,0.0910334978176408,0.24,0
36,41,39,0.092041239336429,0.21,0
36,41,40,0.192991930986795,0.25,0
36,41,41,0.0872724111110041,0.25,0
37,35,35,0.0783872322983281,0.2,0
37,35,36,0.107496673958271,0.32,0
37,35,37,0.276506920643551,0.25,0
37,35,38,0.10761151838153,0.19,0
37,35,39,0.111503274969496,0.18,0
37,35,40,0.108649157225813,0.42,0
37,35,41,0.18164863971278,0.33,0
37,36,35,0.340992164963712,0.21,0
37,36,36,0.108126116228311,0.36,0
37,36,37,0.120267532388541,0.25,0
37,36,38,0.0883856906613609,0.19,0
37,36,39,0.106383482210802,0.19,0
37,36,40,0.132904824818639,0.21,0.02
37,36,41,0.160669335848747,0.32,0
37,37,35,0.0755538317422289,0.22,0
37,37,36,0.100145860374066,0.17,0
37,37,37,0.078077568837202,0.19,0
37,37,38,0.0973057489865801,0.21,0
37,37,39,0.0926297360631315,0.22,0
37,37,40,0.135002927559585,0.25,0
37,37,41,0.144837519661491,0.26,0
37,38,35,0.0789873040280981,0.18,0
37,38,36,0.0787372067971908,0.18,0
37,38,37,0.0893609925181819,0.19,0
37,38,38,0.316103054094544,0.35,0
37,38,39,0.219920901521812,0.31,0
37,38,40,0.122029445637361,0.21,0
37,38,41,0.0956567091844544,0.32,0
37,39,35,0.196807216286509,0.19,0
37,39,36,0.186761800080212,0.22,0
37,39,37,0.0892521714283238,0.3,0
37,39,38,0.245344326882926,0.25,0
37,39,39,0.108786142671459,0.21,0
37,39,40,0.091085761188415,0.31,0
37,39,41,0.110351080852899,0.24,0
37,40,35,0.110150174369539,0.25,0
37,40,36,0.0826312983399774,0.24,0
37,40,37,0.0984297487228368,0.21,0
37,40,38,0.0948379899728243,0.21,0
37,40,39,0.0774224295288097,0.25,0
37,40,40,0.133394949548438,0.25,0
37,40,41,0.121802088283972,0.33,0
