"Layer 1","Layer 2","Layer 3","MSE","User Time","CPU Time"
11,11,11,0.391399703639964,0.02,0
11,11,12,0.440344457879687,0.03,0
11,11,13,0.411176315096718,0.03,0
11,11,14,0.64377693715108,0,0.03
11,11,15,0.556909344358024,0.00999999999999998,0.02
11,11,16,0.42420621568764,0.03,0
11,11,17,0.409563322012598,0.03,0
11,12,11,0.415440758539318,0.02,0.02
11,12,12,0.430534916959215,0.03,0
11,12,13,0.501794345099694,0.03,0
11,12,14,0.428763292969353,0.03,0
11,12,15,0.423442641357506,0.01,0
11,12,16,0.481322991415118,0.03,0
11,12,17,0.52075015625224,0.00999999999999995,0
11,13,11,0.606057136039486,0.02,0
11,13,12,0.463006668448762,0.01,0
11,13,13,0.502224808669188,0.02,0
11,13,14,0.465823044511306,0.04,0
11,13,15,0.459441650455752,0.05,0
11,13,16,0.430529146066043,0.03,0
11,13,17,0.500467186377361,0.01,0
11,14,11,0.512728595349113,0.02,0
11,14,12,0.555796228834985,0.03,0
11,14,13,0.514601750939177,0.00999999999999995,0
11,14,14,0.466330599127415,0.00999999999999995,0
11,14,15,0.692321186565377,0.03,0
11,14,16,0.429785985885805,0.03,0
11,14,17,0.475196972239828,0.03,0
11,15,11,0.368192652426951,0.03,0
11,15,12,0.520160053937762,0.01,0
11,15,13,0.526321708026184,0.01,0
11,15,14,0.445731260588864,0.04,0
11,15,15,0.574092211169122,0.03,0
11,15,16,0.525427809107339,0.02,0
11,15,17,0.586764636150703,0.00999999999999995,0
11,16,11,0.54246279075341,0.02,0
11,16,12,0.626840267574408,0.03,0
11,16,13,0.698453568592989,0.04,0
11,16,14,0.626019934818889,0.02,0
11,16,15,0.882391679190994,0.04,0
11,16,16,0.567279646200889,0.03,0
11,16,17,0.5899394974911,0.03,0
11,17,11,0.697870939545121,0.02,0
11,17,12,0.64847747947695,0.01,0
11,17,13,0.586931395587103,0.03,0
11,17,14,0.387108814892764,0.01,0
11,17,15,0.528848694535022,0.03,0
11,17,16,0.519190091337555,0.01,0
11,17,17,0.471501638579303,0.03,0
12,11,11,0.386572000747062,0.03,0
12,11,12,0.559026220731795,0.03,0
12,11,13,0.546923058277478,0.02,0
12,11,14,0.451668157168321,0.03,0
12,11,15,0.531078823157175,0.02,0
12,11,16,0.478776189176268,0.03,0
12,11,17,0.553966694424742,0.03,0
12,12,11,0.479936773825347,0.02,0
12,12,12,0.519508409357015,0.03,0
12,12,13,0.439600813150532,0.03,0
12,12,14,0.622374333450879,0.04,0
12,12,15,0.672757590691467,0.03,0
12,12,16,0.48850800947986,0.02,0
12,12,17,0.302362514347104,0.01,0
12,13,11,0.519128746089771,0.03,0
12,13,12,0.516482846476466,0.0099999999999999,0
12,13,13,0.51359463335169,0.03,0
12,13,14,0.435832126336812,0.02,0
12,13,15,0.467092075606889,0.01,0
12,13,16,0.527548439654329,0.0299999999999999,0
12,13,17,0.506571197896695,0.03,0
12,14,11,0.394953713949957,0.01,0
12,14,12,0.412049533743356,0.02,0
12,14,13,0.387601356839308,0.02,0
12,14,14,0.410286395554709,0.01,0
12,14,15,0.511777665956728,0.02,0
12,14,16,0.474599006152395,0.03,0
12,14,17,0.443987452596121,0.03,0
12,15,11,0.551720648813108,0.03,0
12,15,12,0.515826008680662,0.02,0
12,15,13,0.508029821452533,0.03,0
12,15,14,0.628216662051399,0.03,0
12,15,15,1.01579767271027,0.03,0.01
12,15,16,0.570114855687759,0.03,0
12,15,17,0.579425539058677,0.0299999999999999,0
12,16,11,0.426892211131555,0.01,0
12,16,12,0.493965610929923,0.03,0
12,16,13,0.680693647089726,0.01,0
12,16,14,0.583183594742618,0.03,0
12,16,15,0.516332589951025,0.04,0
12,16,16,0.417222370974936,0.04,0
12,16,17,0.590593972873217,0.05,0
12,17,11,0.504477193609528,0.04,0
12,17,12,0.598358435842032,0.03,0
12,17,13,0.537885078552572,0.01,0
12,17,14,0.831537376413078,0.03,0
12,17,15,0.461563575753231,0.02,0.01
12,17,16,0.627989449467181,0.03,0
12,17,17,0.499789417621834,0.03,0
13,11,11,0.486102847212462,0.02,0
13,11,12,0.521549022478398,0.02,0
13,11,13,0.460647904189048,0.02,0
13,11,14,0.433629653568583,0.03,0
13,11,15,0.577438843826498,0.02,0.02
13,11,16,0.61249895536868,0.0099999999999999,0
13,11,17,0.809187279292359,0.03,0
13,12,11,0.388038728554848,0.03,0
13,12,12,0.564361549899004,0.02,0
13,12,13,0.605463111684368,0.02,0
13,12,14,0.579491095446576,0.03,0
13,12,15,0.495540542214211,0.0299999999999999,0
13,12,16,0.469122220694181,0.04,0
13,12,17,0.64847253440432,0.01,0
13,13,11,0.576794366856968,0.02,0
13,13,12,0.499380496556842,0.03,0
13,13,13,0.400100353293272,0.03,0
13,13,14,0.443036039986412,0.05,0
13,13,15,0.551266354918392,0.01,0
13,13,16,0.424336678073046,0.02,0
13,13,17,0.3974647555322,0.03,0
13,14,11,0.457840386117917,0.0499999999999999,0
13,14,12,0.480029878651311,0.04,0
13,14,13,0.459520891956617,0.0199999999999999,0
13,14,14,0.507095472831856,0.03,0
13,14,15,0.490659077023572,0.03,0
13,14,16,0.550759919016534,0.0199999999999999,0
13,14,17,0.469775456618461,0.03,0
13,15,11,0.484781044797541,0.01,0
13,15,12,0.450247092786192,0.02,0
13,15,13,0.59234292486709,0.0199999999999999,0
13,15,14,0.525777002200509,0.0299999999999999,0
13,15,15,0.537852405102923,0.03,0
13,15,16,0.491598237389409,0.04,0
13,15,17,0.564887307573653,0.03,0
13,16,11,0.493488636559454,0.03,0
13,16,12,0.541754402527053,0.05,0
13,16,13,0.520861539860308,0.04,0
13,16,14,0.471099263173809,0.05,0
13,16,15,0.728950393300838,0.04,0
13,16,16,0.51340560732073,0.04,0
13,16,17,0.473753067025091,0.03,0
13,17,11,0.49369132277701,0.03,0
13,17,12,0.55825138798218,0.0199999999999999,0
13,17,13,0.462053379990083,0.03,0
13,17,14,0.490221271865778,0.03,0
13,17,15,0.448837453925552,0.03,0
13,17,16,0.432956162279956,0.03,0
13,17,17,0.487615690173138,0.01,0
14,11,11,0.609345436458387,0.03,0
14,11,12,0.517664481960343,0.03,0
14,11,13,0.411707064373068,0.02,0
14,11,14,0.49603126788877,0.02,0
14,11,15,0.405813933295076,0.03,0
14,11,16,0.605702429094073,0.03,0
14,11,17,0.447218107708957,0.03,0
14,12,11,0.522358020598245,0.03,0
14,12,12,0.435525940402729,0.03,0
14,12,13,0.484235981719701,0.0599999999999998,0
14,12,14,0.497879212138708,0.03,0
14,12,15,0.484213337545885,0.03,0
14,12,16,0.45458103075417,0.02,0
14,12,17,0.442559771533974,0.0199999999999998,0
14,13,11,0.508382087602348,0.0299999999999998,0
14,13,12,0.433525066051926,0.01,0
14,13,13,0.463859314737167,0.03,0
14,13,14,0.523521724176743,0.03,0
14,13,15,0.631665625756862,0.01,0
14,13,16,0.559243780092698,0.03,0
14,13,17,0.499813910019002,0.03,0
14,14,11,0.498267903564589,0.03,0
14,14,12,0.476392614431929,0.01,0
14,14,13,0.557413256256019,0.04,0
14,14,14,0.522728376484075,0.0299999999999998,0
14,14,15,0.513971458263047,0.03,0
14,14,16,0.416924968772272,0.02,0
14,14,17,0.507327292542548,0.01,0
14,15,11,0.535797930406003,0.02,0
14,15,12,0.475863156766357,0.03,0
14,15,13,0.486906467875233,0.01,0
14,15,14,0.537394865544704,0.03,0
14,15,15,0.536786129772661,0.02,0
14,15,16,0.596056249587819,0.03,0
14,15,17,0.535505217515536,0.03,0
14,16,11,0.457190675861484,0.03,0
14,16,12,0.612401025218151,0.03,0
14,16,13,0.393861062707865,0.03,0
14,16,14,0.527176844795389,0.03,0
14,16,15,0.487859249860412,0.03,0
14,16,16,0.561877573457201,0.01,0
14,16,17,0.440777035577252,0.03,0
14,17,11,0.439250110272832,0.03,0
14,17,12,0.509588432757757,0.03,0
14,17,13,0.451979649493643,0.0399999999999998,0
14,17,14,0.499972343122943,0.01,0
14,17,15,0.482039153687306,0.03,0
14,17,16,0.461709943193,0.03,0
14,17,17,0.463786583356758,0.01,0
15,11,11,0.476908367579874,0.0199999999999998,0
15,11,12,0.526399296784528,0.0399999999999998,0
15,11,13,0.435567801857491,0.0399999999999998,0
15,11,14,0.559410233813903,0.01,0
15,11,15,0.498221125079471,0.0399999999999998,0
15,11,16,0.484940778158114,0.02,0
15,11,17,0.666695152525446,0.0399999999999998,0
15,12,11,0.462563367238502,0.01,0
15,12,12,0.533597397095627,0.03,0
15,12,13,0.574466468162871,0.03,0
15,12,14,0.451389810416536,0.01,0
15,12,15,0.498895031701993,0.02,0
15,12,16,0.449539893846734,0.01,0
15,12,17,0.563733859568985,0.03,0
15,13,11,0.404568205098298,0.02,0
15,13,12,0.39515960746547,0.03,0
15,13,13,0.519414509110214,0.03,0
15,13,14,0.482656236110212,0.01,0
15,13,15,0.378296791745179,0.03,0
15,13,16,0.711455369637281,0.04,0
15,13,17,0.517161416139949,0.03,0
15,14,11,0.598998249760726,0.03,0
15,14,12,0.457448571305084,0.03,0
15,14,13,0.575879991574916,0.03,0
15,14,14,0.605607708185046,0.03,0
15,14,15,0.359970512445663,0.03,0
15,14,16,0.550474167884205,0.03,0
15,14,17,0.499194617936249,0.03,0
15,15,11,0.520074944711631,0.02,0
15,15,12,0.818612565270686,0.05,0
15,15,13,0.494301482685832,0.02,0
15,15,14,0.525594699962557,0.03,0
15,15,15,0.703082784838704,0.03,0
15,15,16,0.485703527525993,0.0299999999999998,0
15,15,17,0.545509998312754,0.03,0
15,16,11,0.445584116475378,0.03,0
15,16,12,0.562346855255726,0.0299999999999998,0
15,16,13,0.39480403943992,0.03,0
15,16,14,0.724370776747516,0.05,0
