"Layer 1","MSE","User Time","CPU Time"
6,157.339833823636,0.04,0.02
7,151.729217676275,0.06,0.01
8,200.025760531539,0.08,0
9,172.667514929457,0.03,0
10,56.8609282150576,0.05,0.01
11,100.701236507183,0.03,0.02
12,121.602490586235,0.05,0.01
"Layer 1","Layer 2","MSE","User Time","CPU Time"
6,6,55.8569049091866,0.06,0
6,7,118.560875227433,0.09,0
6,8,144.109631014628,0.15,0.03
6,9,130.587711925156,0.06,0.02
6,10,92.1474996056666,0.06,0
6,11,74.0562991586089,0.05,0.03
6,12,122.491677182987,0.22,0.01
7,6,67.7916810891829,0.06,0.02
7,7,161.341437730303,0.13,0.02
7,8,95.9231202715897,0.06,0
7,9,112.199251338115,0.08,0
7,10,185.752957104615,0.18,0
7,11,95.2444979047235,0.06,0
7,12,117.123942140773,0.08,0
8,6,100.421477088136,0.06,0
8,7,38.7956795154741,0.04,0
8,8,85.1038442551531,0.05,0
8,9,148.775610660877,0.03,0
8,10,27.7884984062748,0.03,0
8,11,64.3708639045262,0.11,0
8,12,52.5245483611645,0.12,0
9,6,42.2179832567733,0.04,0
9,7,70.276526513308,0.05,0
9,8,54.3356707559955,0.03,0
9,9,62.1423591829526,0.05,0
9,10,42.9455506269321,0.0800000000000001,0
9,11,103.216987460677,0.03,0.02
9,12,57.707410207182,0.05,0
10,6,90.4643181244942,0.03,0
10,7,43.1086239093561,0.05,0
10,8,93.4814509283679,0.04,0
10,9,83.899058604976,0.05,0
10,10,58.104147033769,0.03,0
10,11,115.174464823996,0.05,0
10,12,86.2876908434522,0.0399999999999999,0
11,6,56.3745446442491,0.05,0
11,7,98.6495369534081,0.0600000000000001,0
11,8,57.4126456282007,0.05,0
11,9,112.675979714706,0.05,0
11,10,65.9576954099884,0.05,0
11,11,82.6338852429845,0.03,0
11,12,41.9528217347955,0.0399999999999999,0
12,6,56.2953983875213,0.0399999999999999,0
12,7,59.7449430716679,0.03,0
12,8,89.4089188965587,0.03,0
12,9,137.193321172186,0.0399999999999999,0
12,10,61.6430634088638,0.03,0
12,11,37.1658578059545,0.0600000000000001,0
12,12,43.6981089780726,0.03,0
"Layer 1","Layer 2","Layer 3","MSE","User Time","CPU Time"
6,6,6,97.528245622968,0.1,0
6,6,7,41.9611297845161,0.14,0
6,6,8,70.4287211280785,0.1,0
6,6,9,117.295838785111,0.05,0.02
6,6,10,55.2657062501414,0.09,0
6,6,11,74.3639304103407,0.08,0.02
6,6,12,88.9291232724459,0.09,0.03
6,7,6,113.863065830531,0.11,0
6,7,7,117.507786575371,0.11,0
6,7,8,54.2036745080666,0.06,0.02
6,7,9,47.6382931987354,0.04,0.04
6,7,10,58.8898788228758,0.05,0
6,7,11,29.8158068509699,0.08,0
6,7,12,102.693347244844,0.08,0.01
6,8,6,61.3254857649798,0.08,0
6,8,7,56.8684636540241,0.08,0
6,8,8,28.5423805398524,0.03,0
6,8,9,27.5102820936964,0.08,0
6,8,10,93.2780156352049,0.3,0.01
6,8,11,89.3284180135451,0.17,0
6,8,12,44.2448047441997,0.09,0
6,9,6,56.3328444809208,0.06,0
6,9,7,315.941266434832,0.19,0
6,9,8,44.6080448984297,0.08,0
6,9,9,111.978964429475,0.05,0
6,9,10,125.992150969266,0.13,0
6,9,11,131.140137796635,0.11,0.01
6,9,12,67.385562776019,0.08,0
6,10,6,48.7601428655991,0.11,0
6,10,7,363.71869904587,0.33,0.01
6,10,8,42.2069727124269,0.08,0
6,10,9,101.606797985166,0.06,0
6,10,10,37.2654373137891,0.0499999999999999,0
6,10,11,29.3158491150729,0.0700000000000001,0
6,10,12,30.2008298239307,0.11,0
6,11,6,66.5694938863196,0.0499999999999999,0
6,11,7,97.58775574296,0.13,0
6,11,8,40.667616651749,0.05,0
6,11,9,27.0767281842809,0.0299999999999999,0
6,11,10,60.2028772509131,0.0900000000000001,0.02
6,11,11,73.8159272673226,0.04,0
6,11,12,31.5928721189696,0.0700000000000001,0.00999999999999998
6,12,6,64.5898805879876,0.0600000000000001,0
6,12,7,127.169075836017,0.09,0
6,12,8,30.7677975345932,0.0600000000000001,0
6,12,9,70.6401902620158,0.0599999999999999,0
6,12,10,77.4894189559243,0.13,0
6,12,11,34.6212327017975,0.07,0
6,12,12,46.9223469801104,0.11,0
