"Layer 1","Layer 2","MSE","User Time","CPU Time","Reutilized"
5,5,0.349772727880106,0.02,0,0
5,6,0.504832973842186,0.02,0,0
5,7,0.313725320364543,0.00999999999999998,0,0
5,8,0.40105937910531,0.00999999999999998,0,0
5,9,0.284869018069278,0.00999999999999998,0,0
5,10,0.383619757124854,0.02,0,0
5,11,0.31623695258164,0.02,0,0
5,12,0.362756723970224,0.02,0,0
5,13,0.3920733231273,0.00999999999999998,0,0
5,14,0.52848658197606,0.00999999999999998,0,0
5,15,0.27698265041906,0.02,0,0
6,5,0.266321184637492,0.02,0,0
6,6,0.292159293346097,0.02,0,0
6,7,0.293094985007948,0.02,0,0
6,8,0.339823334378643,0.02,0,0
6,9,0.30048820716655,0.02,0,0
6,10,0.32226647483861,0.01,0,0
6,11,0.275421155565298,0.00999999999999995,0,0
6,12,0.29076499070203,0,0,0
6,13,0.269857734439488,0.02,0,0
6,14,0.358254615517732,0,0,0
6,15,0.567543805538882,0.01,0,0
7,5,0.338459366807224,0,0,0
7,6,0.353529554467872,0,0,0
7,7,0.27736331803513,0,0,0
7,8,0.328533568714941,0,0,0
7,9,0.298321985116042,0,0,0
7,10,0.274354716439038,0.01,0,0
7,11,0.367869032228399,0.02,0,0
7,12,0.286940160426243,0.02,0,0
7,13,0.478453407547348,0.01,0,0
7,14,0.373364787340673,0,0,0
7,15,0.517462810015668,0.01,0,0
8,5,0.316153273773432,0,0,0
8,6,0.351743036116528,0.00999999999999995,0,0
8,7,0.308795997379146,0.02,0,0
8,8,0.269724583755932,0.00999999999999995,0,0
8,9,0.327881776111799,0.00999999999999995,0,0
8,10,0.495194969174107,0,0,0
8,11,0.306415596234798,0.01,0,0
8,12,0.506328881931572,0.02,0,0
8,13,0.366533572228641,0.02,0,0
8,14,0.427333540283573,0.00999999999999995,0,0
8,15,0.299535850488446,0.02,0,0
9,5,0.285195288031121,0.02,0,0
9,6,0.396230268945725,0.03,0,0
9,7,0.260610106078393,0,0,0
9,8,0.347167924927198,0,0,0
9,9,0.309388854026101,0.02,0,0
9,10,0.492250804906529,0.02,0,0
9,11,0.59938546014429,0.02,0,0
9,12,0.36724982547062,0.01,0,0
9,13,0.349043306988206,0.01,0,0
9,14,0.394506848946582,0.02,0,0
9,15,0.545306716126434,0.02,0,0
10,5,0.337690379781493,0.02,0,0
10,6,0.32059183185048,0,0,0
10,7,0.329746731025107,0.02,0,0
10,8,0.302971271397648,0.03,0,0
10,9,0.290259239350061,0.02,0,0
10,10,0.615844784473835,0.01,0,0
10,11,0.33146969979838,0.02,0,0
10,12,0.306647671500936,0.01,0,0
10,13,0.274639653291407,0.02,0,0
10,14,0.418595435565963,0.02,0,0
10,15,0.34151067384304,0.02,0,0
11,5,0.367178806225769,0.01,0,0
11,6,0.338223626373285,0.01,0,0
11,7,0.261702519284373,0,0,0
11,8,0.302921327745146,0.02,0,0
11,9,0.305629278289673,0,0,0
11,10,0.34994693852698,0.02,0,0
11,11,0.50313272104474,0.02,0,0
11,12,0.361002809144069,0.02,0,0
11,13,0.416229521949312,0.02,0,0
11,14,0.99807139576832,0,0,0
11,15,0.31633235559427,0.02,0,0
12,5,0.338273534198462,0,0,0
12,6,0.437803713346506,0.01,0,0
12,7,0.353760881119277,0.01,0,0
12,8,0.478444472891591,0.0099999999999999,0,0
12,9,0.517931990999275,0,0,0
12,10,0.332160201656955,0.02,0,0
12,11,0.300418287338018,0.01,0,0
12,12,1.10669959426614,0.02,0,0
12,13,0.366859853164407,0.0099999999999999,0,0
12,14,0.276610919912012,0.02,0,0
12,15,0.62852864616578,0,0,0
13,5,0.307908296525134,0.01,0,0
13,6,0.300658084487748,0.02,0,0
13,7,0.292231680951317,0,0,0
13,8,0.351701760201853,0.02,0,0
13,9,0.39992523168225,0,0,0
13,10,0.766448434700804,0.02,0,0
13,11,0.366505973622426,0.01,0,0
13,12,0.576437666785166,0.01,0,0
13,13,0.304889858292026,0,0,0
13,14,0.295232915842044,0.02,0,0
13,15,0.307880186028418,0.02,0,0
14,5,0.301632799506898,0,0,0
14,6,0.337522767685408,0.01,0,0
14,7,0.40269010101863,0.02,0,0
14,8,0.271998178661833,0.02,0,0
14,9,0.507006080792254,0,0,0
14,10,0.453449348188052,0.01,0,0
14,11,0.287227619623589,0.02,0,0
14,12,0.321406343379488,0.02,0,0
14,13,0.302604591756459,0.02,0,0
14,14,0.284000179677595,0.02,0,0
14,15,0.290052957660001,0.01,0,0
15,5,0.313335600811853,0,0,0
15,6,0.321911190537768,0.0199999999999999,0,0
15,7,0.356133383098776,0,0,0
15,8,0.425730072051827,0.02,0,0
15,9,0.415225301467599,0,0,0
15,10,0.289515943968629,0,0,0
15,11,0.298944245426284,0.02,0,0
15,12,0.538195449791044,0,0,0
15,13,0.45569002309336,0,0,0
15,14,0.741843778257554,0,0,0
15,15,0.636139306333312,0.02,0,0
