"Layer 1","Layer 2","MSE","User Time","CPU Time","Reutilized"
4,4,0.616690152415197,0.03,0,0
4,5,0.727318792822849,0.02,0,0
4,6,0.824273699203372,0.02,0,0
4,7,0.722209220693285,0.02,0,0
4,8,0.907781172211178,0.02,0,0
4,9,0.591312292484728,0.03,0,0
4,10,0.753301997171068,0.03,0,0
4,11,0.720345412258923,0.00999999999999998,0,0
4,12,0.809615290242704,0.00999999999999998,0,0
4,13,0.746688028066091,0.02,0,0
4,14,0.625131155222963,0.03,0,0
5,4,0.623604289949163,0.02,0,0
5,5,0.707287144331059,0.02,0,0
5,6,0.637427804882313,0,0,0
5,7,0.791299803559108,0.00999999999999995,0,0
5,8,0.636991570854215,0.02,0,0
5,9,0.758827299475629,0.01,0,0
5,10,0.630583618285083,0.02,0,0
5,11,0.58317178002826,0,0,0
5,12,0.56211708200802,0.03,0,0
5,13,0.59520973901775,0.01,0,0
5,14,0.610237718130153,0.00999999999999998,0,0
6,4,0.672070281881569,0.01,0,0
6,5,0.835511708257528,0.00999999999999995,0,0
6,6,0.622292808319889,0.01,0,0
6,7,0.608167972177601,0.01,0,0
6,8,0.726253266492332,0.03,0,0
6,9,0.662134257155613,0,0,0
6,10,0.766622896599552,0.02,0,0
6,11,0.839860313536443,0.01,0,0
6,12,0.571699805732114,0.01,0,0
6,13,0.680618577038778,0,0,0
6,14,0.56494550645461,0,0,0
7,4,0.647306628979511,0.02,0,0
7,5,0.654671599849155,0.02,0,0
7,6,0.745710289232121,0.00999999999999995,0,0
7,7,0.710280167904835,0.02,0,0
7,8,0.702666432579039,0.02,0,0
7,9,0.630138071628486,0,0,0
7,10,0.676532703932598,0,0,0
7,11,0.700244826289353,0.03,0,0
7,12,0.596458046801516,0.02,0,0
7,13,0.625283053055936,0.02,0,0
7,14,0.571929459062375,0,0,0
8,4,0.64995293642915,0,0,0
8,5,0.779044418553699,0,0,0
8,6,0.573753045189244,0.02,0,0
8,7,0.625427465602731,0.01,0,0
8,8,0.582350597998759,0.02,0,0
8,9,0.645733606809307,0.01,0,0
8,10,0.655571833591666,0.02,0,0
8,11,0.723436143308604,0.02,0,0
8,12,0.70704650668334,0.02,0,0
8,13,0.727080487329955,0,0,0
8,14,0.495058805683097,0,0,0
9,4,0.580958142798593,0.02,0,0
9,5,0.756328842988144,0.02,0,0
9,6,0.647975341156013,0.01,0,0
9,7,0.625696552621752,0.02,0,0
9,8,0.619611207118717,0.01,0,0
9,9,0.573165375764552,0.01,0,0
9,10,0.626258611667156,0.01,0,0
9,11,0.650419356337425,0.01,0,0
9,12,0.637727782467381,0.01,0,0
9,13,0.535192280404121,0.01,0,0
9,14,0.524100802519501,0.02,0,0
10,4,0.773688808734245,0.02,0,0
10,5,0.621877161379678,0.02,0,0
10,6,0.564702524602129,0.02,0,0
10,7,0.597689501386725,0.01,0,0
10,8,0.587959349725289,0.02,0,0
10,9,0.697796814525364,0.02,0,0
10,10,0.759657400119539,0.0099999999999999,0,0
10,11,0.823670107941591,0.0099999999999999,0,0
10,12,0.708984021586803,0.01,0,0
10,13,0.583571432240586,0.02,0,0
10,14,0.552123932277779,0.02,0,0
11,4,0.63591854817693,0.03,0,0
11,5,0.597968432123296,0.01,0,0
11,6,0.737381128905246,0.02,0,0
11,7,0.759331147302341,0,0,0
11,8,0.682212720335734,0.01,0,0
11,9,0.52439493780749,0.02,0,0
11,10,0.652901304309157,0.02,0,0
11,11,0.712669732002323,0,0,0
11,12,0.602876807767257,0.02,0,0
11,13,0.689782523982913,0.02,0,0
11,14,0.60614044307514,0.01,0,0
12,4,0.511261441620689,0,0,0
12,5,0.554714154148727,0.01,0,0
12,6,0.590980977789955,0.01,0,0
12,7,0.517558112171044,0,0.01,0
12,8,0.784834298148324,0.02,0,0
12,9,0.654206600845747,0.01,0,0
12,10,0.597900088234755,0.01,0,0
12,11,0.638996917091027,0.02,0,0
12,12,0.857407669026741,0.01,0,0
12,13,0.712176184825391,0.02,0,0
12,14,0.738037116060752,0.02,0,0
13,4,0.646831298105335,0,0,0
13,5,0.754332286396231,0,0,0
13,6,0.541094240493706,0.01,0,0
13,7,0.649317950595917,0.03,0,0
13,8,0.566898163212486,0.0199999999999999,0,0
13,9,0.713808458003744,0,0,0
13,10,0.553013354843237,0,0,0
13,11,0.617385885794606,0.02,0,0
13,12,0.639747807299393,0.01,0,0
13,13,0.599993517308615,0.02,0,0
13,14,0.665076653212616,0.0299999999999999,0,0
14,4,0.644674965755499,0.01,0,0
14,5,1.02482901177965,0.02,0,0
14,6,0.81307936985753,0.0099999999999999,0,0
14,7,0.55753413657109,0.02,0,0
14,8,0.666326591921109,0.02,0,0
14,9,0.63387323197502,0.02,0,0
14,10,0.591071140544465,0.01,0,0
14,11,0.608924773943552,0,0,0
14,12,1.12105684294033,0,0,0
14,13,0.779201552803592,0.01,0,0
14,14,0.55924717032785,0.02,0,0
