"Layer 1","Layer 2","MSE","User Time","CPU Time","Reutilized"
9,9,0.183261059506687,0.03,0,0
9,10,0.351900059316191,0.03,0,0
9,11,0.239559763918303,0.02,0.01,0
9,12,0.227274180687487,0.03,0,0
9,13,0.314420680142371,0.02,0.01,0
9,14,0.337954419531938,0.02,0.01,0
9,15,0.563167413809763,0.02,0,0
9,16,0.232534611736587,0.02,0,0
9,17,0.257816535140421,0.02,0,0
9,18,0.253372084683386,0.03,0,0
9,19,0.25150433255341,0.03,0,0
10,9,0.302922105499574,0.02,0,0
10,10,0.202230455179757,0.02,0,0
10,11,0.469606557379433,0.02,0,0
10,12,0.226622794534061,0.02,0,0
10,13,0.240114851147164,0.03,0,0
10,14,0.234822527189746,0.02,0,0
10,15,0.311557782539366,0.03,0,0
10,16,0.255472983096373,0,0,0
10,17,0.173240393571775,0.03,0,0
10,18,0.179936433110215,0,0,0
10,19,0.222815023826292,0.02,0,0
11,9,0.236787997478376,0.01,0,0
11,10,0.230838479985722,0,0.01,0
11,11,0.232268825883525,0.00999999999999995,0,0
11,12,0.267130197017864,0.03,0,0
11,13,0.272454394089733,0.00999999999999995,0,0
11,14,0.215210132144479,0.04,0,0
11,15,0.324406312382023,0.02,0,0
11,16,0.32216282188007,0.03,0,0
11,17,0.251679499122433,0.02,0,0
11,18,0.272494653943913,0.03,0,0
11,19,0.235411905734909,0.02,0,0
12,9,0.319959301674874,0.02,0,0
12,10,0.2615092269586,0,0.01,0
12,11,0.276577811784295,0.02,0,0
12,12,0.285875719841183,0.02,0,0
12,13,0.268175984296483,0.00999999999999995,0,0
12,14,0.247422875342807,0.02,0,0
12,15,0.321879252381897,0.01,0,0
12,16,0.30805232115869,0.03,0,0
12,17,0.347620596816465,0.02,0,0
12,18,0.286484422313676,0.02,0,0
12,19,0.284167428411461,0.03,0,0
13,9,0.232481790229221,0.03,0,0
13,10,0.204157183733499,0.01,0,0
13,11,0.195240224163703,0.01,0,0
13,12,0.159056528815279,0.02,0,0
13,13,0.224489079823207,0.02,0,0
13,14,0.25189242253046,0.03,0,0
13,15,0.214684986713854,0.02,0,0
13,16,0.217123262629268,0.04,0,0
13,17,0.320878692344164,0.04,0,0
13,18,0.566080043757612,0.03,0,0
13,19,0.24133269589838,0.01,0,0
14,9,0.33769444721508,0.01,0,0
14,10,0.401782146586852,0.02,0,0
14,11,0.235339847508785,0.03,0,0
14,12,0.241463371752319,0,0,0
14,13,0.253216533154167,0.01,0,0
14,14,0.363864194357049,0.02,0,0
14,15,0.396378513670958,0.02,0,0
14,16,0.266425873178795,0.02,0,0
14,17,0.439897149830815,0,0,0
14,18,0.535324733338953,0.02,0,0
14,19,0.416538683017852,0.03,0,0
15,9,0.267160937687771,0.03,0,0
15,10,0.417652083287631,0.03,0,0
15,11,0.303109910520374,0.02,0,0
15,12,0.229792049626828,0.03,0,0
15,13,0.387775216760226,0.03,0,0
15,14,0.320510386502524,0.01,0,0
15,15,0.373661424873182,0.02,0,0
15,16,0.3792873078934,0.03,0,0
15,17,0.279738197443553,0.01,0,0
15,18,0.299459703606856,0.01,0,0
15,19,0.633560841047459,0.04,0,0
16,9,0.245415511245968,0.01,0,0
16,10,0.267591623652314,0.04,0,0
16,11,0.325149570664103,0.02,0,0
16,12,0.304330842976468,0.01,0,0
16,13,0.309221286778853,0.02,0,0
16,14,0.287378836661874,0.01,0,0
16,15,0.266954443158878,0.01,0,0
16,16,0.317706101925287,0.02,0,0
16,17,0.394585467006195,0.03,0,0
16,18,0.332694639863925,0.03,0,0
16,19,0.44943602439727,0.03,0,0
17,9,0.269326415038012,0,0,0
17,10,0.209209777670133,0.02,0,0
17,11,0.287728132963048,0.02,0,0
17,12,0.327612714205415,0.02,0,0
17,13,0.350699850736415,0.02,0,0
17,14,0.295850265412004,0.03,0,0
17,15,0.218443156101293,0.02,0,0
17,16,0.257164511823713,0.0199999999999999,0.02,0
17,17,0.230360003585959,0.01,0,0
17,18,0.255449921542707,0.0299999999999999,0,0
17,19,0.269784308258506,0,0,0
18,9,0.337931296451128,0.02,0,0
18,10,0.227393128288374,0.01,0,0
18,11,0.201442025019541,0.02,0,0
18,12,0.221467642255228,0.02,0,0
18,13,0.349159236422421,0.02,0,0
18,14,0.334721799737822,0.0099999999999999,0,0
18,15,0.246117804564547,0.0299999999999999,0,0
18,16,0.243769388341828,0.01,0,0
18,17,0.404354485320076,0.03,0,0
18,18,0.44890845256059,0.0600000000000001,0,0
18,19,0.231865220287944,0.03,0,0
19,9,0.225757243467615,0.02,0,0
19,10,0.288052014933483,0.02,0,0
19,11,0.297011210222786,0.02,0,0
19,12,0.292375028269945,0.03,0,0
19,13,0.333032457134494,0.01,0,0
19,14,0.358414584209084,0.02,0,0
19,15,0.336755831949729,0.02,0,0
19,16,0.338258528696805,0.01,0,0
19,17,0.326970261805759,0.03,0,0
19,18,0.260455736020067,0.01,0,0
19,19,0.235964885658812,0.01,0,0
