"Layer 1","Layer 2","MSE","User Time","CPU Time"
6,6,55.8569049091866,0.06,0
6,7,118.560875227433,0.09,0
6,8,144.109631014628,0.15,0.03
6,9,130.587711925156,0.06,0.02
6,10,92.1474996056666,0.06,0
6,11,74.0562991586089,0.05,0.03
6,12,122.491677182987,0.22,0.01
7,6,67.7916810891829,0.06,0.02
7,7,161.341437730303,0.13,0.02
7,8,95.9231202715897,0.06,0
7,9,112.199251338115,0.08,0
7,10,185.752957104615,0.18,0
7,11,95.2444979047235,0.06,0
7,12,117.123942140773,0.08,0
8,6,100.421477088136,0.06,0
8,7,38.7956795154741,0.04,0
8,8,85.1038442551531,0.05,0
8,9,148.775610660877,0.03,0
8,10,27.7884984062748,0.03,0
8,11,64.3708639045262,0.11,0
8,12,52.5245483611645,0.12,0
9,6,42.2179832567733,0.04,0
9,7,70.276526513308,0.05,0
9,8,54.3356707559955,0.03,0
9,9,62.1423591829526,0.05,0
9,10,42.9455506269321,0.0800000000000001,0
9,11,103.216987460677,0.03,0.02
9,12,57.707410207182,0.05,0
10,6,90.4643181244942,0.03,0
10,7,43.1086239093561,0.05,0
10,8,93.4814509283679,0.04,0
10,9,83.899058604976,0.05,0
10,10,58.104147033769,0.03,0
10,11,115.174464823996,0.05,0
10,12,86.2876908434522,0.0399999999999999,0
11,6,56.3745446442491,0.05,0
11,7,98.6495369534081,0.0600000000000001,0
11,8,57.4126456282007,0.05,0
11,9,112.675979714706,0.05,0
11,10,65.9576954099884,0.05,0
11,11,82.6338852429845,0.03,0
11,12,41.9528217347955,0.0399999999999999,0
12,6,56.2953983875213,0.0399999999999999,0
12,7,59.7449430716679,0.03,0
12,8,89.4089188965587,0.03,0
12,9,137.193321172186,0.0399999999999999,0
12,10,61.6430634088638,0.03,0
12,11,37.1658578059545,0.0600000000000001,0
12,12,43.6981089780726,0.03,0
