"Layer 1","Layer 2","Layer 3","Layer 4","MSE","User Time","CPU Time"
34,34,34,34,0.442984580748413,0.22,0.03
34,34,34,35,0.466608971057095,0.18,0.05
34,34,34,36,0.48438609497428,0.2,0.03
34,34,34,37,0.386704765249127,0.22,0.04
34,34,34,38,0.454249117694209,0.22,0.03
34,34,34,39,0.49686875481071,0.23,0.03
34,34,34,40,0.378624810964642,0.22,0.03
34,34,35,34,0.551893190948379,0.25,0
34,34,35,35,0.464715284964409,0.23,0.01
34,34,35,36,0.610160167170053,0.24,0.04
34,34,35,37,0.466564708004215,0.21,0.05
34,34,35,38,0.488046974182286,0.24,0
34,34,35,39,0.651305049750296,0.24,0
34,34,35,40,0.383380501703738,0.27,0
34,34,36,34,0.538003622144553,0.25,0
34,34,36,35,0.512623305020533,0.21,0
34,34,36,36,0.481822548251184,0.22,0
34,34,36,37,0.56739127061321,0.25,0
34,34,36,38,0.554952371048257,0.25,0.01
34,34,36,39,0.48993702838416,0.24,0
34,34,36,40,0.391374707590083,0.24,0
34,34,37,34,0.496466340600349,0.22,0
34,34,37,35,0.375143268158363,0.23,0
34,34,37,36,0.708203358275166,0.26,0
34,34,37,37,0.459554863582308,0.2,0.02
34,34,37,38,0.513899584865473,0.25,0
34,34,37,39,0.486927127968249,0.25,0
34,34,37,40,0.493185501917386,0.22,0
34,34,38,34,0.638003999475439,0.23,0
34,34,38,35,0.44236760759659,0.25,0
34,34,38,36,0.554500409121958,0.23,0
34,34,38,37,0.514000418244509,0.24,0
34,34,38,38,0.499182825696165,0.25,0
34,34,38,39,0.601148680672307,0.25,0
34,34,38,40,0.47327314437573,0.25,0
34,34,39,34,0.475255991990755,0.24,0
34,34,39,35,0.532052063405447,0.2,0.02
34,34,39,36,0.543291756078216,0.25,0
34,34,39,37,0.461202003975119,0.22,0.01
34,34,39,38,0.470917414443225,0.23,0
34,34,39,39,0.522240654400367,0.24,0.02
34,34,39,40,0.462483045495659,0.27,0
34,34,40,34,0.518976787489469,0.24,0
34,34,40,35,0.50596645801095,0.2,0.02
34,34,40,36,0.527993376367428,0.25,0
34,34,40,37,0.494343516628571,0.23,0
34,34,40,38,0.462389409480528,0.26,0
34,34,40,39,0.592984723810919,0.25,0
34,34,40,40,0.604474496035124,0.25,0
34,35,34,34,0.410312601514196,0.24,0
34,35,34,35,0.477907282762026,0.22,0
34,35,34,36,0.530850062693857,0.2,0
34,35,34,37,0.437512600893778,0.24,0.01
34,35,34,38,0.535307630910727,0.22,0
34,35,34,39,0.470247844542307,0.22,0
34,35,34,40,0.465575402605904,0.25,0
34,35,35,34,0.418407870038324,0.25,0
34,35,35,35,0.475487605099653,0.2,0.02
34,35,35,36,0.500524173071273,0.25,0
34,35,35,37,0.407005166498662,0.25,0
34,35,35,38,0.590342406168969,0.23,0
34,35,35,39,0.482958018823276,0.24,0
34,35,35,40,0.550344443440085,0.23,0.02
34,35,36,34,0.440973778845515,0.22,0
34,35,36,35,0.553004221801453,0.24,0
34,35,36,36,0.478855127118776,0.23,0
34,35,36,37,0.4910668283358,0.25,0
34,35,36,38,0.549010500890051,0.25,0
34,35,36,39,0.37299895990391,0.25,0
34,35,36,40,0.742500059321602,0.25,0
34,35,37,34,0.493181546211688,0.22,0
34,35,37,35,0.438560943226891,0.25,0
34,35,37,36,0.497355883742782,0.24,0
34,35,37,37,0.564740502682121,0.26,0
34,35,37,38,0.47039419756936,0.22,0
34,35,37,39,0.466637499249171,0.22,0.02
34,35,37,40,0.473442207553072,0.24,0
34,35,38,34,0.536091546625793,0.23,0
34,35,38,35,0.482968997453842,0.25,0
34,35,38,36,0.511999667538194,0.25,0
34,35,38,37,0.42658977726187,0.27,0
34,35,38,38,0.484016974987611,0.25,0
34,35,38,39,0.408361140810685,0.27,0
34,35,38,40,0.745601696419843,0.25,0
34,35,39,34,0.460410246729581,0.23,0
34,35,39,35,0.534817862651143,0.25,0
34,35,39,36,0.471196231590032,0.23,0
34,35,39,37,0.497990654212394,0.25,0
34,35,39,38,0.689512342825685,0.27,0
34,35,39,39,0.402697573565832,0.25,0
34,35,39,40,0.511395798825431,0.25,0
34,35,40,34,0.379845229329417,0.25,0
34,35,40,35,0.487466420047,0.23,0
34,35,40,36,0.440886930213877,0.25,0.02
34,35,40,37,0.476866611879461,0.25,0
34,35,40,38,0.562294381924561,0.26,0
34,35,40,39,0.460056322761779,0.24,0
34,35,40,40,0.406702010460536,0.28,0
34,36,34,34,0.470462519857629,0.21,0
34,36,34,35,0.495359312344398,0.2,0
34,36,34,36,0.51170444560792,0.23,0
34,36,34,37,0.446288987779511,0.22,0
34,36,34,38,0.427683720237019,0.25,0
34,36,34,39,0.541662183788407,0.24,0
34,36,34,40,0.520235200223255,0.25,0
34,36,35,34,0.486326007306625,0.22,0
34,36,35,35,0.498781671891403,0.23,0
34,36,35,36,0.49038553886502,0.24,0
34,36,35,37,0.49694381443887,0.18,0
34,36,35,38,0.497746537050264,0.23,0
34,36,35,39,0.494147823438626,0.25,0
34,36,35,40,0.511509007088746,0.25,0
34,36,36,34,0.460244323169511,0.24,0
34,36,36,35,0.532312818669811,0.25,0
34,36,36,36,0.548759134530939,0.22,0
34,36,36,37,0.452875578826637,0.25,0.00999999999999998
34,36,36,38,0.517325142882038,0.25,0
34,36,36,39,0.523216143031226,0.26,0
34,36,36,40,0.483702865009244,0.26,0
34,36,37,34,0.51591807817706,0.23,0
34,36,37,35,0.450783935566625,0.22,0
34,36,37,36,0.574488618796418,0.25,0
34,36,37,37,0.459735998899925,0.25,0
34,36,37,38,0.462338269374468,0.25,0
34,36,37,39,0.455594423807939,0.28,0
34,36,37,40,0.608076503335659,0.26,0
34,36,38,34,0.478069395532209,0.2,0
34,36,38,35,0.51399405814487,0.25,0
34,36,38,36,0.534744428619205,0.23,0.02
34,36,38,37,0.492222429964687,0.25,0
34,36,38,38,0.48471069111138,0.25,0
34,36,38,39,0.463050080609153,0.25,0
34,36,38,40,0.43098953320284,0.28,0
34,36,39,34,0.501213136501994,0.25,0
34,36,39,35,0.391734483886178,0.24,0
