"Layer 1","Layer 2","MSE","User Time","CPU Time"
6,6,NA,0,0
6,7,NA,0.02,0
6,8,NA,0.02,0
6,9,NA,0.00999999999999998,0
6,10,NA,0.00999999999999998,0
6,11,NA,0,0
6,12,NA,0.00999999999999998,0
7,6,NA,0.02,0
7,7,NA,0.02,0
7,8,NA,0.00999999999999998,0
7,9,NA,0.02,0
7,10,NA,0,0
7,11,NA,0,0
7,12,NA,0,0
8,6,NA,0.01,0
8,7,NA,0,0
8,8,NA,0,0
8,9,NA,0.01,0
8,10,NA,0.02,0
8,11,NA,0.02,0
8,12,NA,0.02,0
9,6,NA,0,0
9,7,NA,0,0
9,8,NA,0,0
9,9,NA,0,0
9,10,NA,0,0
9,11,NA,0.02,0
9,12,NA,0.02,0
10,6,NA,0.02,0
10,7,NA,0,0
10,8,NA,0,0
10,9,NA,0,0
10,10,NA,0,0
10,11,NA,0,0
10,12,NA,0,0
11,6,NA,0,0
11,7,NA,0.01,0
11,8,NA,0.00999999999999995,0
11,9,NA,0,0
11,10,NA,0,0
11,11,NA,0,0
11,12,NA,0,0
12,6,NA,0,0
12,7,NA,0,0
12,8,NA,0.02,0
12,9,NA,0,0
12,10,NA,0.01,0
12,11,NA,0.00999999999999995,0
12,12,NA,0,0
