"Layer 1","MSE","User Time","CPU Time"
27,1.70212199890663,0.11,0
28,1.01432808216958,0.11,0.02
29,1.41945748472994,0.07,0.03
30,1.41307083970705,0.06,0.03
31,2.33024335113439,0.14,0.02
32,4.57834314098538,0.06,0.03
33,2.36805781464942,0.08,0.03
