"Layer 1","Layer 2","MSE","User Time","CPU Time"
15,15,26.3803964697718,0.03,0.01
15,16,27.6955529481002,0.06,0
15,17,27.9440941266922,0.05,0
15,18,26.4338331715701,0.04,0
15,19,25.4000952440747,0.03,0.02
15,20,27.4649822674341,0.05,0
15,21,26.9393480627428,0.05,0
16,15,27.1298608784728,0.05,0
16,16,25.987069084373,0.03,0.02
16,17,26.1074993552638,0.03,0.02
16,18,28.2400375553298,0.05,0
16,19,29.4837639647276,0.03,0
16,20,26.9358883668995,0.00999999999999995,0
16,21,27.9513420129057,0.04,0
17,15,28.5470369490608,0.03,0
17,16,28.3791573511917,0.03,0
17,17,28.3022848978517,0.03,0
17,18,29.6892314137156,0.05,0
17,19,28.9291502365632,0.05,0
17,20,27.8951083808858,0.03,0
17,21,26.6767432999389,0.03,0
18,15,28.2229119430481,0.03,0
18,16,28.3251341259534,0.03,0.01
18,17,27.1162337874203,0.03,0
18,18,26.7786726067482,0.03,0
18,19,28.4756230415887,0.04,0
18,20,25.4339858732046,0.05,0
18,21,27.0214340261755,0.06,0
19,15,29.9703856399149,0.00999999999999995,0
19,16,28.2114037844161,0.03,0
19,17,26.4840669797292,0.03,0
19,18,26.297603349754,0.03,0
19,19,28.3735070087948,0.03,0
19,20,27.4769249284725,0.05,0
19,21,27.6441113625651,0.04,0
20,15,29.4415955964411,0.03,0
20,16,28.3818952436433,0.07,0
20,17,26.7341437609741,0.04,0
20,18,27.9836199989796,0.03,0
20,19,27.0643920585623,0.03,0
20,20,27.7960767618881,0.05,0
20,21,27.5310431434456,0.04,0
21,15,26.1472654707859,0.03,0
21,16,27.4218421978761,0.03,0
21,17,27.0913094609186,0.03,0
21,18,28.3932124170777,0.04,0
21,19,26.5922747289558,0.03,0
21,20,27.2664188515069,0.02,0
21,21,27.8466189479202,0.02,0
