"Layer 1","Layer 2","Layer 3","Layer 4","MSE","User Time","CPU Time"
11,11,11,11,0.425326471551038,0.05,0
11,11,11,12,0.489200757012088,0.02,0.01
11,11,11,13,0.454658123754184,0.03,0
11,11,11,14,0.5209199522677,0.04,0
11,11,11,15,0.511859877240001,0.04,0
11,11,11,16,0.514800345701136,0.03,0.01
11,11,11,17,0.477664814902834,0.05,0
11,11,12,11,0.513199473018929,0.03,0
11,11,12,12,0.399349791271935,0.04,0
11,11,12,13,0.519677727370747,0.06,0
11,11,12,14,0.409042889153864,0.03,0
11,11,12,15,0.462088389891896,0.04,0
11,11,12,16,0.454321923015832,0.04,0
11,11,12,17,0.505175440322454,0.03,0
11,11,13,11,0.382031068291063,0.03,0
11,11,13,12,0.410239066384699,0.03,0
11,11,13,13,0.513987161995499,0.03,0
11,11,13,14,0.478560696727457,0.05,0
11,11,13,15,0.431068667981968,0.04,0
11,11,13,16,0.407147500816534,0.02,0
11,11,13,17,0.494811202500912,0.03,0
11,11,14,11,0.439435128784709,0.03,0
11,11,14,12,0.43540266577531,0.05,0
11,11,14,13,0.474480814554395,0.04,0
11,11,14,14,0.431655032034821,0.03,0
11,11,14,15,0.425048533562963,0.03,0
11,11,14,16,0.498713326312173,0.05,0
11,11,14,17,0.389672032449483,0.03,0
11,11,15,11,0.540336173883819,0.03,0
11,11,15,12,0.44326277113535,0.03,0
11,11,15,13,0.341086838407508,0.00999999999999995,0
11,11,15,14,0.491375975123788,0.03,0
11,11,15,15,0.360062543080434,0.03,0
11,11,15,16,0.439699041012066,0.03,0
11,11,15,17,0.481291446663941,0.05,0
11,11,16,11,0.468253606679799,0.04,0
11,11,16,12,0.534106485191807,0.03,0
11,11,16,13,0.574976264610039,0.03,0
11,11,16,14,0.460543907618806,0.03,0
11,11,16,15,0.372148646297551,0.05,0
11,11,16,16,0.438303481200092,0.03,0
11,11,16,17,0.42865027128341,0.03,0
11,11,17,11,0.46424786855003,0.03,0
11,11,17,12,0.612620455891323,0.03,0.02
11,11,17,13,0.481529405980509,0.03,0
11,11,17,14,0.714384643337455,0.03,0
11,11,17,15,0.453237372839074,0.02,0
11,11,17,16,0.377398519167369,0.05,0
11,11,17,17,0.413802321060513,0.01,0
11,12,11,11,0.466708818575617,0.01,0
11,12,11,12,0.459273977413193,0.03,0
11,12,11,13,0.512641839016179,0.03,0
11,12,11,14,0.558995757744672,0.03,0
11,12,11,15,0.478121850686704,0.04,0
11,12,11,16,0.411892377476946,0.03,0
11,12,11,17,0.439125143818809,0.0399999999999999,0
11,12,12,11,0.426124166568009,0.03,0
11,12,12,12,0.491247785909583,0.03,0
11,12,12,13,0.572082554741248,0.0299999999999999,0
11,12,12,14,0.559148853718949,0.03,0
11,12,12,15,0.52951337296536,0.0299999999999999,0
11,12,12,16,0.478838435483555,0.0299999999999999,0
11,12,12,17,0.499642821088276,0.0499999999999999,0
11,12,13,11,0.41661844332769,0.0299999999999999,0
11,12,13,12,0.48528611816981,0.03,0
11,12,13,13,0.404865260478614,0.0299999999999999,0
11,12,13,14,0.556474760550372,0.0299999999999999,0
11,12,13,15,0.382358526570139,0.03,0
11,12,13,16,0.441670653909699,0.04,0
11,12,13,17,0.445750569601717,0.03,0
11,12,14,11,0.418321444929378,0.03,0
11,12,14,12,0.374986723153016,0.03,0
11,12,14,13,0.431425287821282,0.01,0
11,12,14,14,0.420550073426786,0.03,0
11,12,14,15,0.421945363881508,0.04,0
11,12,14,16,0.399710645823382,0.03,0
11,12,14,17,0.418461439427723,0.03,0
11,12,15,11,0.456392671067288,0.04,0
11,12,15,12,0.498396708577648,0.03,0
11,12,15,13,0.510624534414807,0.04,0
11,12,15,14,0.419792654873006,0.01,0
11,12,15,15,0.655568975793584,0.0499999999999999,0
11,12,15,16,0.469091666002494,0.0499999999999999,0
11,12,15,17,0.462461510014838,0.03,0
11,12,16,11,0.455095864363584,0.0499999999999999,0
11,12,16,12,0.51237725801697,0.03,0
11,12,16,13,0.497419487240947,0.0299999999999999,0
11,12,16,14,0.418493295393096,0.0299999999999999,0
11,12,16,15,0.363120837625494,0.0299999999999999,0
11,12,16,16,0.41475891333945,0.05,0
11,12,16,17,0.452065716801302,0.03,0
11,12,17,11,0.548862267897615,0.0299999999999999,0
11,12,17,12,0.39028916968706,0.03,0
11,12,17,13,0.436510284687462,0.03,0
11,12,17,14,0.392403038571398,0.03,0
11,12,17,15,0.407926651571837,0.03,0
11,12,17,16,0.440524900950304,0.03,0
11,12,17,17,0.510095453626905,0.03,0
11,13,11,11,0.349454382763229,0.03,0
11,13,11,12,0.447841932627276,0.04,0
11,13,11,13,0.49696581100996,0.04,0
11,13,11,14,0.544897896642788,0.03,0
11,13,11,15,0.447143509960878,0.03,0
11,13,11,16,0.532945056419988,0.0299999999999999,0
11,13,11,17,0.559425663220075,0.05,0
11,13,12,11,0.492235466892829,0.03,0
11,13,12,12,0.643742596903277,0.0299999999999999,0
11,13,12,13,0.369448806062961,0.03,0
11,13,12,14,0.44604828274351,0.03,0
11,13,12,15,0.467202410406106,0.0299999999999999,0
11,13,12,16,0.425989746053294,0.0299999999999999,0
11,13,12,17,0.473025399577665,0.03,0
11,13,13,11,0.462926849262322,0.02,0
11,13,13,12,0.38438279486265,0.03,0
11,13,13,13,0.531382237304218,0.03,0
11,13,13,14,0.443154373076494,0.01,0
11,13,13,15,0.473546536585125,0.03,0
11,13,13,16,0.571122447879853,0.05,0
11,13,13,17,0.469267563145944,0.0299999999999999,0
11,13,14,11,0.545614235063419,0.03,0
11,13,14,12,0.513881954732139,0.01,0
11,13,14,13,0.460703517860911,0.03,0
11,13,14,14,0.43588127223742,0.0299999999999999,0
11,13,14,15,0.477318098663943,0.03,0
11,13,14,16,0.500703604256742,0.02,0
11,13,14,17,0.416218542220945,0.03,0
11,13,15,11,0.420641087862619,0.03,0
11,13,15,12,0.490808835631137,0.03,0
11,13,15,13,0.533604293110232,0.02,0
11,13,15,14,0.4480220258201,0.05,0
11,13,15,15,0.488373766400811,0.02,0
11,13,15,16,0.52366169470645,0.03,0
11,13,15,17,0.424627266441035,0.05,0
11,13,16,11,0.436431579674952,0.03,0
11,13,16,12,0.465021622432081,0.03,0
11,13,16,13,0.448700993251042,0.03,0
11,13,16,14,0.541829250553845,0.03,0
11,13,16,15,0.421181862575883,0.01,0
11,13,16,16,0.468258522414285,0.03,0
11,13,16,17,0.532860701241012,0.03,0
11,13,17,11,0.467329788758177,0.03,0
11,13,17,12,0.434580871923781,0.03,0
11,13,17,13,0.408877121321852,0.03,0
