"Layer 1","Layer 2","MSE","User Time","CPU Time"
11,11,0.398842649895716,0.03,0
11,12,0.361424168357931,0.00999999999999998,0
11,13,0.378440678309395,0.04,0
11,14,0.394931563069462,0.03,0
11,15,0.562413761313621,0.03,0.02
11,16,0.403739083437625,0.02,0.07
11,17,0.497143116749298,0.03,0
12,11,0.415732649809122,0.03,0
12,12,0.282021156380053,0.03,0
12,13,0.321917689705213,0.03,0.02
12,14,0.645301166476939,0.06,0
12,15,0.367332400650634,0.00999999999999998,0
12,16,0.540472616493793,0.06,0.03
12,17,0.519321179117586,0.03,0
13,11,0.350762505886736,0,0
13,12,0.528598119878351,0.02,0
13,13,0.758610016813138,0.03,0
13,14,0.343443290917043,0.04,0
13,15,0.646783875474918,0.01,0
13,16,0.560118801667678,0.02,0
13,17,0.352039761014024,0.00999999999999995,0
14,11,0.24147741401098,0.03,0
14,12,0.729569604476437,0.01,0
14,13,0.348798154840801,0.02,0
14,14,0.39997231580351,0.02,0
14,15,0.938717841424128,0.00999999999999995,0
14,16,0.456690227715897,0.03,0
14,17,1.17708649703262,0.02,0
15,11,0.374826586801856,0.01,0
15,12,0.336564603284736,0.02,0
15,13,0.662928418025376,0.03,0
15,14,0.511969460618953,0.03,0
15,15,0.430196951912131,0.02,0
15,16,0.390953779697118,0.03,0
15,17,0.452551922389396,0.02,0
16,11,1.3178433943196,0.03,0
16,12,0.526834709223369,0.02,0
16,13,0.979690745976885,0.02,0
16,14,0.493358350434552,0.04,0
16,15,0.340669592140991,0.04,0
16,16,0.579909260815472,0.03,0
16,17,0.785238699010303,0.04,0
17,11,0.458760690781963,0.02,0
17,12,0.360381670421032,0.03,0
17,13,0.379399309285661,0.01,0
17,14,0.814767393699411,0.02,0.01
17,15,1.40768244463459,0.01,0
17,16,0.509747801891574,0.03,0
17,17,0.398305703674835,0,0
