"1st layer","2nd layer","3rd layer","4th layer","MSE","User Time","CPU Time"
15,15,15,15,28.8506038013884,0.07,0.03
15,15,15,16,26.59785549121,0.08,0.01
15,15,15,17,27.2410206695165,0.09,0.01
15,15,15,18,27.6844353773369,0.11,0
15,15,15,19,29.1096417668769,0.05,0.05
15,15,15,20,30.7195235570384,0.11,0
15,15,15,21,26.1583743304988,0.06,0.05
15,15,16,15,28.4202992667884,0.07,0.03
15,15,16,16,27.0922133240259,0.04,0.04
15,15,16,17,29.271026713281,0.08,0.05
15,15,16,18,26.4949227640712,0.08,0.05
15,15,16,19,26.8829403379435,0.06,0
15,15,16,20,27.5659441498798,0.07,0
15,15,16,21,26.5871189346492,0.06,0
15,15,17,15,26.5841299401036,0.08,0
15,15,17,16,28.9890185626613,0.08,0.01
15,15,17,17,28.773382675542,0.06,0
15,15,17,18,29.6549961078463,0.07,0
15,15,17,19,26.8585188761907,0.08,0
15,15,17,20,27.7977220704753,0.07,0
15,15,17,21,29.5039850118518,0.06,0
15,15,18,15,28.0125391928578,0.1,0
15,15,18,16,28.9197765473909,0.08,0.02
15,15,18,17,29.3534222604509,0.07,0
15,15,18,18,26.4152985550442,0.0600000000000001,0
15,15,18,19,28.6720851853714,0.0600000000000001,0
15,15,18,20,27.1729571652552,0.0600000000000001,0
15,15,18,21,30.6075452112472,0.0600000000000001,0
15,15,19,15,27.9572248591565,0.0600000000000001,0
15,15,19,16,25.7597878809324,0.08,0
15,15,19,17,27.3517469716792,0.0600000000000001,0
15,15,19,18,29.6272597397463,0.1,0
15,15,19,19,26.793873239711,0.0599999999999999,0
15,15,19,20,28.2717042790253,0.05,0
15,15,19,21,28.989477642977,0.0800000000000001,0
15,15,20,15,26.4320657359517,0.0599999999999999,0
15,15,20,16,29.9635759122374,0.1,0
15,15,20,17,26.7965945155982,0.0700000000000001,0
15,15,20,18,27.7558802078854,0.0800000000000001,0
15,15,20,19,26.9599415737266,0.0700000000000001,0
15,15,20,20,27.6972044925174,0.0800000000000001,0
15,15,20,21,27.3560396888832,0.0800000000000001,0
15,15,21,15,28.2728238537351,0.0599999999999999,0
15,15,21,16,26.5350227838413,0.07,0
15,15,21,17,26.7550436178562,0.0599999999999999,0
15,15,21,18,29.6111586782905,0.08,0
15,15,21,19,27.350714722149,0.1,0
15,15,21,20,25.7270164128444,0.0800000000000001,0
15,15,21,21,26.3432555498519,0.0700000000000001,0
15,16,15,15,29.3242407682763,0.0600000000000001,0
15,16,15,16,26.3432996386595,0.05,0.02
15,16,15,17,26.6089960399858,0.04,0
15,16,15,18,26.9684574805152,0.0700000000000001,0
