"Layer 1","Layer 2","Layer 3","MSE","User Time","CPU Time"
6,6,6,2.39285639670671,0.03,0
6,6,7,2.28578976611682,0.03,0
6,6,8,2.47779376080685,0.03,0
6,6,9,2.56346679650242,0.00999999999999998,0
6,6,10,2.38440507479558,0.03,0
6,6,11,2.1718296255482,0.03,0
6,6,12,2.343001988292,0.03,0
6,7,6,2.3052502817191,0.03,0
6,7,7,2.31199580078489,0.03,0
6,7,8,2.2861412441583,0.03,0
6,7,9,2.40942245798063,0.00999999999999998,0.01
6,7,10,2.49305654641086,0.02,0
6,7,11,2.19077083199171,0.02,0
6,7,12,2.45231881562155,0.01,0
6,8,6,2.24186703369832,0.01,0
6,8,7,2.24841142016526,0.02,0
6,8,8,2.47828576364562,0.01,0
6,8,9,2.19534897251021,0.00999999999999995,0
6,8,10,2.32942387636455,0.02,0
6,8,11,1.98676385163657,0.02,0
6,8,12,2.3357899110471,0.02,0
6,9,6,2.46478848536546,0.02,0
6,9,7,2.52960248687931,0.02,0
6,9,8,2.51200738288092,0.00999999999999995,0
6,9,9,2.22898819519994,0.02,0
6,9,10,2.33941538602274,0.02,0
6,9,11,2.37664301763775,0.01,0
6,9,12,2.26903739797984,0.02,0
6,10,6,2.40965244438912,0,0
6,10,7,2.46053420868766,0.02,0
6,10,8,2.49629656650095,0.02,0
6,10,9,2.40218586125243,0.01,0
6,10,10,2.27850000848651,0.02,0
6,10,11,2.30767125320974,0.03,0
6,10,12,2.232817395709,0.02,0
6,11,6,2.4221667161876,0.01,0
6,11,7,2.21301902605235,0.02,0
6,11,8,2.34664152437621,0.04,0
6,11,9,2.56859076847612,0.02,0
6,11,10,2.48779629680923,0,0
6,11,11,2.22913092619879,0,0
6,11,12,2.30448585003982,0.01,0
6,12,6,2.50413465642445,0.02,0
6,12,7,2.42027995481589,0,0
6,12,8,2.6537856213383,0.02,0
6,12,9,2.5263597135522,0.02,0
6,12,10,2.35748300170979,0.03,0
6,12,11,2.27772877607367,0.02,0
6,12,12,2.44330531838185,0.03,0
7,6,6,2.36471605283965,0.02,0
7,6,7,2.42281513565017,0,0
7,6,8,2.39097656164766,0,0
7,6,9,2.22336211523438,0.02,0
7,6,10,2.39111903086686,0,0
7,6,11,2.27159403287557,0.00999999999999995,0
7,6,12,1.95851011373709,0,0
7,7,6,2.43312076579675,0.02,0
7,7,7,2.47781551886569,0.02,0
7,7,8,2.35592985954427,0.02,0
7,7,9,2.04591193364425,0.01,0
7,7,10,2.45280069469162,0.02,0
7,7,11,2.17818746509358,0.01,0
7,7,12,2.37011030147177,0.01,0
7,8,6,2.47869285659756,0,0
7,8,7,2.45796048707837,0,0
7,8,8,2.01961258484549,0.02,0
7,8,9,2.42986250218341,0.02,0
7,8,10,2.13836559847032,0.02,0
7,8,11,2.05930828946236,0.01,0
7,8,12,2.17674092783051,0.01,0
7,9,6,2.31780591938325,0,0
7,9,7,2.41528570356239,0,0
7,9,8,2.21298143665989,0.02,0
7,9,9,2.25591689095932,0,0
7,9,10,2.41973683105919,0,0
7,9,11,2.38119763214048,0.01,0
7,9,12,2.47963366441895,0.02,0
7,10,6,2.11950287665026,0.01,0
7,10,7,2.4288688696434,0.02,0
7,10,8,2.42848468873754,0.01,0
7,10,9,2.41612161615996,0.01,0
7,10,10,2.08956589325778,0.02,0
7,10,11,2.30134499898151,0.02,0
7,10,12,2.20744438565295,0.01,0
7,11,6,2.44726259544098,0.01,0
7,11,7,2.41390192672436,0,0
7,11,8,2.43255373580148,0,0
7,11,9,2.5002569694778,0.02,0
7,11,10,2.51401123727918,0.02,0
7,11,11,2.17067454512824,0.01,0
7,11,12,2.33796799698995,0.02,0
7,12,6,2.19666565162953,0.02,0
7,12,7,2.38967706829928,0.02,0
7,12,8,2.0440198471178,0.02,0
7,12,9,2.14930475255402,0.01,0
7,12,10,2.40785232918465,0.02,0
7,12,11,2.50586934602044,0.01,0
