"Layer 1","MSE","User Time","CPU Time","Reutilized"
5,0.297529454556745,0.00999999999999998,0,0
6,0.48935988330575,0.00999999999999998,0,0
7,0.324740336103834,0.00999999999999998,0,0
8,0.967264229462906,0.02,0,0
9,0.42580383109066,0.03,0,0
10,0.946299054584542,0.02,0,0
11,0.547977855147137,0.02,0,0
12,0.452922623378162,0.00999999999999998,0,0
13,0.56109137841533,0.02,0,0
14,0.533686054409742,0.02,0,0
15,0.386490443837654,0.00999999999999998,0,0
