"Layer 1","MSE","User Time","CPU Time"
34,1.86734417922631,0.09,0
35,2.42287812329644,0.05,0.04
36,1.92994154119944,0.08,0.02
37,2.01147372115226,0.06,0.01
38,2.03427129016992,0.1,0
39,2.88131335155634,0.03,0.06
40,4.1137788655698,0.07,0.02
